"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","6,397","5,775","6,727","6,212","6,722","6,154","7,384","6,608","7,500","7,869","6,390","6,149","79,887","POINT (-87.71408 41.97569)"
"Altgeld","955 E. 131st St.","Chicago","60827","4,476","4,004","4,889","4,451","4,019","4,549","5,105","4,014","3,308","4,389","3,898","3,617","50,719","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","3,693","3,279","4,287","4,167","4,250","3,946","4,939","4,445","5,026","5,252","3,808","3,244","50,336","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","4,475","4,002","5,040","4,338","4,478","5,076","5,826","5,358","5,070","5,268","4,708","3,667","57,306","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","3,336","3,046","4,176","5,591","5,985","5,660","6,634","6,211","6,435","6,352","5,565","4,923","63,914","POINT (-87.77952 41.95321)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","4,181","3,957","4,913","5,818","6,004","4,837","5,365","5,401","5,314","5,645","4,895","4,343","60,673","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","2,838","2,535","2,935","3,266","3,067","3,375","3,920","2,886","2,932","3,381","2,606","2,706","36,447","POINT (-87.67765 41.80867)"
"Beverly","1962 W. 95th St.","Chicago","60643","3,169","4,093","5,042","5,141","4,902","5,221","5,813","5,588","5,832","5,688","4,572","4,148","59,209","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","6,196","7,413","8,325","8,283","8,690","8,275","9,970","9,740","9,811","7,323","6,735","7,257","98,018","POINT (-87.6602 41.97181)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","4,216","3,643","8,404","9,482","9,664","9,456","10,478","10,239","9,715","9,914","8,270","7,201","100,682","POINT (-87.59046 41.80606)"
"Brainerd","1350 W. 89th St.","Chicago","60620","911","1,294","2,224","2,464","2,508","2,446","2,857","3,184","2,341","2,375","1,811","1,593","26,008","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","3,025","3,726","3,698","4,247","3,710","3,467","3,944","3,805","3,689","3,671","2,697","2,509","42,188","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","11,135","12,958","15,090","14,809","8,055","12,914","15,075","13,996","13,371","14,265","12,691","11,006","155,365","POINT (-87.68051 41.91277)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","5,484","6,453","7,059","7,409","8,170","8,356","10,019","8,393","8,156","8,643","7,065","6,616","91,823","POINT (-87.69647 41.98393)"
"Canaryville","642 W. 43rd St.","Chicago","60609","2,108","1,354","1,652","1,633","1,840","1,961","2,445","2,210","1,999","2,059","1,747","926","21,934","POINT (-87.64257 41.81624)"
