"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Chicago Bee","3647 S. State St.","Chicago","60609","2,183","3,391","3,558","3,893","3,946","3,429","3,955","3,957","4,558","5,038","3,821","3,554","45,283","POINT (-87.62649 41.82815)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","4,398","3,994","4,480","4,263","4,672","4,507","5,880","4,464","5,110","5,555","4,217","3,700","55,240","POINT (-87.70321 41.78186)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","13,753","13,722","19,588","17,576","21,043","19,043","23,438","22,429","16,425","18,699","15,383","14,114","215,213","POINT (-87.63181 41.85419)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","3,111","2,877","3,552","3,439","3,593","3,857","4,833","3,783","3,856","4,428","3,523","2,940","43,792","POINT (-87.7822 41.77659)"
"Coleman","731 E. 63rd St.","Chicago","60637","4,780","4,832","5,553","6,052","7,055","6,225","6,649","6,173","7,020","7,537","5,682","4,617","72,175","POINT (-87.60662 41.78014)"
"Daley, Richard J.","3400 S. Halsted St.","Chicago","60608","5,958","5,062","6,057","5,932","6,446","6,722","8,029","6,998","6,453","6,859","5,746","5,208","75,470","POINT (-87.64615 41.83257)"
"Daley, Richard M.","733 N. Kedzie Ave.","Chicago","60612","3,892","4,973","7,225","7,259","6,692","6,531","7,374","7,075","7,138","7,633","5,899","6,885","78,576","POINT (-87.70618 41.89509)"
"Douglass","3353 W. 13th St.","Chicago","60623","1,856","1,792","3,815","3,910","4,625","3,559","4,947","3,954","3,903","3,773","3,135","2,831","42,100","POINT (-87.70967 41.86454)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","5,340","6,012","6,741","7,283","8,201","6,391","5,361","6,033","7,262","7,507","5,697","4,884","76,712","POINT (-87.81368 41.94307)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","5,789","5,774","6,436","6,131","6,006","7,317","7,962","6,902","6,024","6,364","5,466","5,428","75,599","POINT (-87.76197 41.99727)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","11,414","11,827","13,935","13,285","13,950","13,663","15,234","14,902","14,744","15,039","12,884","11,544","162,421","POINT (-87.66057 41.9913)"
"Gage Park","2807 W. 55th St.","Chicago","60632","1,153","1,495","1,889","1,969","2,082","2,014","2,556","2,176","1,935","2,302","1,716","1,507","22,794","POINT (-87.69418 41.79369)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79733 41.92115)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","4,496","3,874","3,764","3,866","4,121","4,638","5,813","4,308","4,150","4,358","3,350","2,590","49,328","POINT (-87.78009 41.79282)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","2,860","2,977","3,812","5,956","5,239","4,382","4,802","4,863","6,050","5,899","4,370","3,377","54,587","POINT (-87.60041 41.76229)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","2,965","2,921","2,631","2,885","2,736","2,848","3,534","3,477","3,214","2,869","2,251","1,892","34,223","POINT (-87.6228 41.8073)"
"Harold Washtington Library Center","400 S. State St.","Chicago","60605","74,307","73,313","91,123","81,583","80,740","77,651","87,740","83,609","81,549","87,301","69,180","65,581","953,677","POINT (-87.62763 41.87633)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","1,138","1,585","2,659","2,727","2,502","2,924","2,792","2,742","2,651","2,554","2,077","1,961","28,312","POINT (-87.54911 41.65943)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","323","0","0","0","6","2,361","5,893","5,723","5,941","6,393","5,539","5,068","37,247","POINT (-87.70531 41.91073)"
"Independence","4024 N. Elston Ave.","Chicago","60618","3,405","3,096","6,996","7,130","7,245","7,022","8,302","8,232","7,857","8,278","7,319","6,895","81,777","POINT (-87.72009 41.95432)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","3,835","4,707","5,761","5,379","5,582","6,124","7,181","6,119","5,755","5,890","4,733","4,487","65,553","POINT (-87.76196 41.96763)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","1,270","2,674","3,052","3,468","3,447","3,008","3,113","3,390","3,794","4,583","3,759","3,074","38,632","POINT (-87.56556 41.71352)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","2,797","2,239","2,879","2,867","3,136","3,283","3,852","3,453","3,968","3,712","3,755","3,340","39,281","POINT (-87.63725 41.7822)"
"King","3436 S. King Dr.","Chicago","60616","1,448","2,005","4,063","4,127","4,631","4,291","4,850","5,690","5,103","5,498","4,282","4,181","50,169","POINT (-87.61732 41.83198)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","4,427","4,203","5,781","6,763","7,312","7,356","8,967","10,179","9,853","11,524","9,756","9,542","95,663","POINT (-87.72561 41.87932)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","10,846","10,208","12,209","11,218","11,523","11,591","13,424","12,538","11,435","12,018","10,778","9,920","137,708","POINT (-87.67092 41.94056)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","9,963","10,646","11,729","11,645","11,756","11,810","13,106","12,404","12,082","12,434","11,101","10,065","138,741","POINT (-87.65789 41.92559)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","8,687","7,761","8,443","9,217","9,416","9,260","9,327","9,668","9,502","9,879","7,684","7,213","106,057","POINT (-87.66059 41.86937)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","4,940","4,790","5,306","5,171","4,821","4,717","5,866","4,987","4,801","5,327","4,523","3,855","59,104","POINT (-87.70518 41.84951)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","9,877","10,297","13,134","11,949","13,309","12,183","13,042","12,981","10,992","11,816","10,074","9,667","139,321","POINT (-87.70341 41.92476)"
"Lozano","1805 S. Loomis St.","Chicago","60608","8,023","9,572","10,815","10,130","3,124","4,527","8,711","8,495","8,396","8,729","8,579","9,811","98,912","POINT (-87.66129 41.85762)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","4,130","4,031","5,155","5,305","5,727","5,151","5,602","5,456","5,353","5,344","4,437","5,021","60,712","POINT (-87.67957 41.88081)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","2,544","2,588","3,326","2,894","3,054","2,917","4,044","3,636","3,273","3,481","2,815","2,540","37,112","POINT (-87.7381 41.96812)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","6,363","5,978","5,632","5,832","6,023","6,004","6,154","5,722","5,690","6,856","6,290","5,213","71,757","POINT (-87.67344 41.83041)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","9,417","9,120","10,685","10,210","10,759","10,599","12,080","12,239","11,023","11,237","9,421","8,789","125,579","POINT (-87.64627 41.94004)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","1,461","2,487","3,973","3,748","3,998","4,396","5,367","4,429","4,513","4,796","3,524","3,407","46,099","POINT (-87.70121 41.69282)"
"Near North","310 W. Division St.","Chicago","60610","9,670","8,980","10,614","10,499","10,678","10,358","11,730","11,318","10,614","11,001","9,323","8,381","123,166","POINT (-87.63663 41.90379)"
"North Austin","5724 W. North Ave.","Chicago","60639","1,613","2,059","2,766","3,107","3,031","3,228","3,991","3,649","3,447","3,689","2,970","2,407","35,957","POINT (-87.76886 41.90933)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","3,630","3,183","3,633","3,432","3,747","3,748","3,971","3,678","3,425","3,742","3,134","3,654","42,977","POINT (-87.73404 41.91003)"
"Northtown","6800 N. Western Ave.","Chicago","60645","6,652","6,292","7,655","8,369","9,401","9,906","11,787","10,268","9,944","9,761","7,213","6,497","103,745","POINT (-87.69033 42.00503)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","5,806","5,478","5,511","6,321","6,403","5,363","5,903","6,023","6,861","7,647","5,822","5,495","72,633","POINT (-87.81387 41.978)"
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","4,446","4,164","4,746","4,684","4,707","4,682","5,321","4,637","4,854","5,230","4,337","3,500","55,308","POINT (-87.7547 41.93873)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","4,417","3,167","3,619","3,379","3,478","3,911","4,014","3,893","3,423","3,591","2,858","2,846","42,596","POINT (-87.61829 41.69437)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","5,209","4,755","5,617","4,947","4,907","4,708","5,291","5,056","4,582","4,807","4,248","4,161","58,288","POINT (-87.79832 41.99194)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","10,487","9,650","12,039","11,900","11,730","10,516","10,775","10,963","11,021","11,335","9,658","9,211","129,285","POINT (-87.67341 42.00669)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","2,989","2,902","3,207","3,099","3,100","3,273","3,656","3,358","3,177","3,697","3,042","2,657","38,157","POINT (-87.7246 41.7494)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","1,222","1,479","2,744","2,716","2,794","2,680","3,224","3,257","2,560","2,711","2,150","1,887","29,424","POINT (-87.65489 41.79485)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","4,374","3,195","4,552","179","2,181","4,333","6,263","6,054","5,955","5,814","4,600","4,303","51,803","POINT (-87.54984 41.73037)"
"South Shore","2505 E. 73rd St.","Chicago","60649","2,768","2,702","4,759","4,129","4,834","4,679","5,681","5,583","4,949","5,264","4,160","3,779","53,287","POINT (-87.56373 41.76264)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","26,160","25,992","27,182","25,112","26,442","29,558","32,728","30,889","26,876","26,543","18,247","14,793","310,522","POINT (-87.68467 41.96267)"
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","2,773","2,997","4,671","3,725","4,166","4,234","4,955","4,873","4,351","4,479","3,483","3,514","48,221","POINT (-87.65437 41.75711)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","1,459","1,907","3,274","3,608","4,147","4,090","4,639","4,220","3,574","3,906","2,945","2,728","40,497","POINT (-87.72483 41.84181)"
"Uptown","929 W. Buena Ave.","Chicago","60613","8,385","8,098","9,551","9,051","9,627","9,916","10,876","10,739","9,675","10,142","8,580","7,825","112,465","POINT (-87.65422 41.95843)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","3,234","3,033","4,006","4,054","3,996","3,933","4,581","4,009","3,759","4,439","3,653","2,912","45,609","POINT (-87.53348 41.703)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","1,763","3,016","3,729","3,805","3,794","3,652","3,904","3,733","4,210","4,605","3,545","3,430","43,186","POINT (-87.67412 41.6922)"
"Water Works","163 E. Pearson Street","Chicago","60611","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.62307 41.89759)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","3,495","3,710","4,606","4,421","2,213","4,451","5,443","4,810","4,827","4,737","3,964","3,536","50,213","POINT (-87.78589 41.93685)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","1,882","1,539","2,519","3,158","3,318","2,931","3,840","3,140","3,308","3,460","2,589","2,269","33,953","POINT (-87.74769 41.8953)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","3,358","3,087","3,177","3,296","3,487","3,728","4,506","4,762","3,922","4,041","3,482","2,633","43,479","POINT (-87.66852 41.77939)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","3,204","3,201","4,067","4,241","4,235","4,194","5,111","4,109","1,919","431","967","2,741","38,420","POINT (-87.72384 41.77866)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","6,184","5,924","7,048","6,655","6,861","6,862","8,097","7,543","7,329","7,733","6,687","6,132","83,055","POINT (-87.65477 41.88387)"
"West Pullman","830 W. 119th St.","Chicago","60643","3,873","3,521","4,433","4,438","4,088","4,057","4,860","4,576","4,598","4,989","3,901","3,517","50,851","POINT (-87.64311 41.6778)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","9,122","5,116","9,118","8,961","9,563","9,041","9,976","9,185","9,127","9,345","8,233","8,116","104,903","POINT (-87.66849 41.8956)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","3,964","4,250","5,588","6,178","7,008","6,621","7,399","7,325","7,290","7,552","5,612","4,898","73,685","POINT (-87.61425 41.75111)"
"Woodson Regional Library","9525 S. Halsted St.","Chicago","60628","9,566","10,737","11,954","12,573","12,228","12,868","14,348","12,628","12,653","13,595","10,012","9,115","142,277","POINT (-87.64285 41.72048)"
"Wrightwood-Ashburn","8530 S. Kedzie Ave.","Chicago","60652","2,432","2,847","3,280","3,131","3,077","3,109","3,662","3,040","3,621","3,595","2,932","2,472","37,198","POINT (-87.70227 41.73742)"
