"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","837","954","1,097","1,137","1,137","1,304","2,303","0","930","1,724","1,237","950","13,610","POINT (-87.600377 41.762277)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","0","704","1,629","1,662","2,029","2,478","2,627","2,660","2,278","2,800","2,333","2,128","23,328","POINT (-87.622776 41.807273)"
"Harold Washtington Library Center","400 S. State St.","Chicago","60605","39,287","36,109","43,918","38,621","24,131","49,671","52,519","43,215","52,795","57,025","54,392","52,268","543,951","POINT (-87.627695 41.876301)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","1,165","1,081","1,450","1,507","1,451","1,523","1,611","1,428","1,461","1,568","1,365","1,362","16,972","POINT (-87.548914 41.659153)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","2,527","1,962","2,634","2,570","2,839","2,915","3,305","3,375","3,079","2,853","2,918","3,115","34,092","POINT (-87.705655 41.910536)"
"Independence","4024 N. Elston Ave.","Chicago","60618","2,412","2,172","2,554","2,486","2,490","2,429","3,039","3,665","2,963","2,996","3,033","2,792","33,031","POINT (-87.719889 41.954219)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","2,656","2,338","3,901","5,630","4,029","4,227","4,475","4,328","3,834","4,061","4,034","3,429","46,942","POINT (-87.761964 41.967648)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","2,002","1,747","2,367","2,425","110","222","959","1,192","991","941","882","789","14,627","POINT (-87.565489 41.713513)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","497","428","635","587","639","646","876","929","852","854","736","1,717","9,396","POINT (-87.637516 41.78199)"
"King","3436 S. King Dr.","Chicago","60616","1,209","1,101","1,481","1,474","1,480","1,498","1,711","1,492","1,329","1,403","1,845","1,362","17,385","POINT (-87.617335 41.832238)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","477","359","424","629","650","1,004","1,326","1,272","2,427","2,174","2,179","2,170","15,091","POINT (-87.725593 41.879302)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","2,888","3,225","5,433","5,369","6,630","5,374","9,603","2,192","6,908","7,098","6,446","6,001","67,167","POINT (-87.670433 41.940599)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","4,915","4,435","5,858","5,630","5,764","7,657","6,967","7,273","6,874","7,174","7,287","6,040","75,874","POINT (-87.658126 41.925316)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","2,801","2,488","811","2,835","3,314","3,536","4,215","4,359","4,920","6,862","5,647","6,305","48,093","POINT (-87.660263 41.869359)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","967","1,030","1,158","1,058","1,317","1,154","1,713","1,670","1,596","1,724","1,721","1,463","16,571","POINT (-87.705179 41.849599)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","7,285","6,269","7,746","7,003","6,563","7,634","8,569","8,214","7,770","8,685","8,643","8,307","92,688","POINT (-87.703483 41.924806)"
"Lozano","1805 S. Loomis St.","Chicago","60608","3,634","4,546","3,215","3,959","7,947","7,910","4,440","4,323","3,918","3,171","4,508","4,158","55,729","POINT (-87.661298 41.857604)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","0","0","0","0","0","0","0","0","1,239","2,986","2,780","2,831","9,836","POINT (-87.679091 41.881026)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","1,302","1,061","1,682","1,566","1,533","1,520","2,795","2,261","2,105","2,100","2,194","1,675","21,794","POINT (-87.738155 41.968148)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","368","2,793","3,784","3,621","3,409","3,679","4,062","4,369","4,553","4,392","4,310","3,795","43,135","POINT (-87.673442 41.830421)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","4,605","5,611","6,347","6,577","7,036","7,657","7,875","8,351","8,264","8,694","7,916","7,274","86,207","POINT (-87.646055 41.940054)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","1,400","1,162","1,583","1,532","1,479","1,743","1,913","1,798","1,569","1,248","1,558","1,387","18,372","POINT (-87.700878 41.692925)"
"Near North","310 W. Division St.","Chicago","60610","4,771","4,786","6,168","6,179","6,708","7,670","6,837","6,536","6,649","6,686","6,992","5,750","75,732","POINT (-87.636643 41.903838)"
"North Austin","5724 W. North Ave.","Chicago","60639","1,072","868","1,262","1,249","1,350","1,969","1,864","1,710","1,428","1,445","1,318","1,282","16,817","POINT (-87.768877 41.909401)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","1,669","1,425","2,190","1,923","1,980","2,233","2,466","2,169","2,284","2,142","2,088","2,024","24,593","POINT (-87.733923 41.909856)"
"Northtown","6800 N. Western Ave.","Chicago","60645","5,957","5,228","7,482","6,957","7,333","8,733","8,909","9,035","7,797","7,640","7,640","6,818","89,529","POINT (-87.690175 42.00536)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","3,528","2,912","3,868","3,563","3,688","4,291","4,375","4,047","5,658","4,963","4,734","4,153","49,780","POINT (-87.813329 41.978015)"
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","2,301","1,971","2,789","2,645","2,533","2,724","3,199","3,326","3,447","3,523","3,402","3,116","34,976","POINT (-87.754876 41.938748)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","1,558","1,676","835","889","2,124","2,887","2,906","2,595","2,456","2,676","2,329","2,095","25,026","POINT (-87.618295 41.694366)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","2,759","2,471","2,950","2,866","3,285","4,137","3,952","3,791","3,381","3,520","3,261","3,393","39,766","POINT (-87.798265 41.991862)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","4,179","4,718","6,600","5,291","6,506","5,446","7,667","7,419","7,437","8,301","5,635","6,496","75,695","POINT (-87.67344 42.006673)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","1,856","2,117","1,625","1,598","3,369","3,596","4,579","4,124","3,734","3,768","3,553","3,513","37,432","POINT (-87.724291 41.749388)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","1,420","1,264","1,699","1,644","1,404","1,707","1,809","1,824","1,669","1,587","1,489","1,321","18,837","POINT (-87.65487 41.794843)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","768","1,726","1,866","2,294","2,737","2,783","3,409","3,580","3,375","2,729","3,142","2,927","31,336","POINT (-87.549849 41.730371)"
"South Shore","2505 E. 73rd St.","Chicago","60649","1,066","868","1,155","1,514","1,620","1,486","1,388","1,819","1,784","1,682","1,539","1,580","17,501","POINT (-87.563672 41.762654)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","13,873","12,812","16,196","14,320","14,497","13,147","15,148","16,132","15,602","16,374","12,616","14,660","175,377","POINT (-87.684637 41.962677)"
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","2,094","2,043","2,695","2,698","2,419","2,557","2,944","3,165","2,994","3,092","2,690","2,773","32,164","POINT (-87.65393 41.757373)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","1,371","1,155","1,856","1,554","1,522","1,842","1,925","1,662","1,818","1,645","1,538","1,675","19,563","POINT (-87.724477 41.842073)"
"Uptown","929 W. Buena Ave.","Chicago","60613","4,948","3,901","4,675","5,357","4,901","5,713","5,877","6,088","6,197","6,305","5,801","5,496","65,259","POINT (-87.654217 41.95846)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","2,007","2,769","2,370","2,357","2,184","2,188","3,058","3,058","3,141","3,674","3,405","3,357","33,568","POINT (-87.533513 41.70272)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","325","457","704","707","516","900","990","977","975","1,783","3,088","633","12,055","POINT (-87.67426 41.692473)"
"Water Works","163 E. Pearson Street","Chicago","60611","0","0","0","0","0","0","0","0","1,024","3,207","3,365","2,998","10,594","POINT (-87.623234 41.897609)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","1,954","1,675","2,323","2,153","2,225","3,387","2,728","2,856","2,847","3,106","2,967","2,472","30,693","POINT (-87.785858 41.936833)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","330","490","667","618","692","693","786","887","1,102","991","881","817","8,954","POINT (-87.747411 41.895019)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","2,038","1,657","2,047","1,947","2,211","2,225","2,467","3,104","2,958","3,021","2,759","2,471","28,905","POINT (-87.66821 41.779364)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","1,030","914","1,363","1,406","1,307","699","0","0","0","0","0","0","6,719","POINT (-87.723756 41.778629)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","2,514","2,322","2,685","2,823","2,728","2,675","3,442","3,423","3,346","3,629","3,569","3,237","36,393","POINT (-87.654421 41.883595)"
"West Pullman","830 W. 119th St.","Chicago","60643","883","990","1,872","1,445","1,490","1,471","1,645","1,470","1,203","1,243","1,098","1,122","15,932","POINT (-87.643327 41.677819)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","3,402","2,938","3,580","3,627","4,617","4,973","4,058","2,096","2,969","6,183","5,076","4,759","48,278","POINT (-87.668233 41.89606)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","1,830","1,515","1,921","2,215","2,311","2,436","1,639","3,665","3,651","2,854","3,016","3,113","30,166","POINT (-87.61416 41.751132)"
"Woodson Regional Library","9525 S. Halsted St.","Chicago","60628","3,655","3,446","5,049","6,815","3,638","3,144","5,060","5,636","5,256","5,312","4,550","4,426","55,987","POINT (-87.643122 41.720675)"
"Wrightwood-Ashburn","8530 S. Kedzie Ave.","Chicago","60652","1,417","0","0","734","908","1,223","1,435","1,299","1,279","1,440","1,316","1,223","12,274","POINT (-87.702091 41.738331)"
