"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","3,419","3,366","4,404","4,299","4,256","4,958","5,325","5,877","6,740","7,259","6,445","6,492","62,840","POINT (-87.713595 41.975693)"
"Altgeld","955 E. 131st St.","Chicago","60827","339","270","412","470","724","998","1,437","1,397","162","155","1,744","2,652","10,760","POINT (-87.5989 41.657262)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","2,949","2,857","3,310","3,325","2,911","2,244","2,937","2,993","2,847","3,095","2,709","2,488","34,665","POINT (-87.726723 41.801206)"
"Austin","5615 W. Race Ave.","Chicago","60644","2,991","2,412","3,799","2,957","2,615","2,946","2,874","3,083","2,926","3,171","3,164","2,383","35,321","POINT (-87.766942 41.889281)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","3,101","3,072","4,830","3,651","4,121","4,523","4,536","4,337","4,483","4,613","3,488","3,965","48,720","POINT (-87.779388 41.953025)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","2,985","2,513","4,235","3,864","4,046","3,479","4,270","4,583","4,489","4,840","4,136","3,413","46,853","POINT (-87.585869 41.746322)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","1,440","1,482","2,382","1,491","1,948","1,970","2,560","2,873","2,283","2,957","1,877","2,122","25,385","POINT (-87.677601 41.808523)"
"Beverly","1962 W. 95th St.","Chicago","60643","1,709","1,221","1,741","2,081","1,761","1,816","2,350","2,000","1,994","2,178","2,368","2,237","23,456","POINT (-87.672288 41.721148)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","0","0","1,629","4,587","3,738","2,300","3,663","5,547","5,549","6,515","5,552","4,581","43,661","POINT (-87.660739 41.971414)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","3,491","2,572","4,279","4,316","4,527","4,822","5,970","6,237","5,925","6,649","6,316","5,906","61,010","POINT (-87.590212 41.807619)"
"Brainerd","1350 W. 89th St.","Chicago","60620","617","815","1,160","129","0","469","624","655","714","754","602","774","7,313","POINT (-87.657726 41.732282)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1,250","1,004","1,515","1,418","1,451","1,481","2,581","2,499","320","0","1,270","1,427","16,216","POINT (-87.703067 41.814848)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","5,015","4,257","4,969","5,355","5,364","4,530","6,287","5,834","5,961","6,668","7,070","5,676","66,986","POINT (-87.680298 41.912224)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","5,058","4,386","5,771","5,662","5,382","6,008","7,148","7,031","6,210","6,390","6,078","5,559","70,683","POINT (-87.696439 41.983843)"
"Canaryville","642 W. 43rd St.","Chicago","60609","0","0","0","0","0","0","396","808","1,744","1,778","1,586","1,599","7,911","POINT (-87.642569 41.81627)"
"Chicago Bee","3647 S. State St.","Chicago","60609","496","488","595","653","866","974","898","1,130","1,076","1,145","931","936","10,188","POINT (-87.626436 41.828152)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","2,444","2,207","3,018","2,960","3,233","3,605","4,959","5,416","4,056","3,890","3,524","3,557","42,869","POINT (-87.703231 41.781967)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","2,963","2,583","4,102","6,748","6,209","7,770","11,264","11,362","10,363","11,385","10,353","8,681","93,783","POINT (-87.631794 41.854267)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","440","380","1,100","525","1,535","0","455","1,605","1,515","1,590","380","1,152","10,677","POINT (-87.782282 41.7768)"
"Coleman","731 E. 63rd St.","Chicago","60637","3,059","2,538","2,316","3,029","1,382","2,802","2,913","3,625","3,568","3,778","3,444","3,827","36,281","POINT (-87.606849 41.780405)"
"Daley, Richard J.","3400 S. Halsted St.","Chicago","60608","2,480","2,162","2,959","3,141","4,858","3,370","3,473","653","0","0","0","0","23,096","POINT (-87.646149 41.8327)"
"Daley, Richard M.","733 N. Kedzie Ave.","Chicago","60612","6,556","6,016","6,788","5,320","4,750","5,961","4,218","5,543","5,565","4,430","4,142","4,819","64,108","POINT (-87.706545 41.894322)"
"Douglass","3353 W. 13th St.","Chicago","60623","435","326","484","548","484","184","589","1,165","1,055","728","1,152","895","8,045","POINT (-87.709767 41.864527)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","4,240","3,646","4,945","5,441","4,854","5,150","7,909","8,380","8,512","6,217","6,054","5,705","71,053","POINT (-87.813908 41.94331)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","3,693","3,427","4,527","4,316","3,982","4,167","5,480","5,383","4,771","4,556","4,563","4,018","52,883","POINT (-87.76204 41.997245)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","7,563","6,508","7,403","7,607","3,654","6,060","10,020","9,843","9,328","9,424","8,436","8,461","94,307","POINT (-87.660306 41.990923)"
"Gage Park","2807 W. 55th St.","Chicago","60632","0","0","0","0","0","0","0","406","740","1,308","1,243","1,122","4,819","POINT (-87.694138 41.793722)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.798468 41.921134)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","2,594","2,330","3,215","2,816","2,705","3,375","3,626","3,139","3,204","3,526","3,122","3,419","37,071","POINT (-87.780075 41.79286)"
