"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","3,419","6,208","8,004","6,925","7,068","6,394","7,005","6,848","7,061","6,955","6,719","6,469","79,075","POINT (-87.71357 41.9757)"
"Altgeld","955 E. 131st St.","Chicago","60827","339","822","3,378","3,231","3,217","3,466","4,771","4,217","4,146","4,613","3,542","3,204","38,946","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","2,949","2,360","3,250","3,169","2,896","4,950","3,198","3,390","3,329","4,599","5,054","2,703","41,847","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","2,991","2,312","3,410","3,486","1,636","3,883","5,135","4,145","3,804","3,918","3,492","2,982","41,194","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","3,101","3,642","4,957","4,893","4,326","5,147","5,029","5,149","4,840","5,656","5,303","3,944","55,987","POINT (-87.77944 41.95301)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","2,985","4,007","4,777","5,025","4,666","4,188","5,093","4,747","3,630","3,639","3,029","1,950","47,736","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","1,440","1,689","2,689","2,942","2,729","2,933","2,717","2,943","2,816","3,508","2,576","2,276","31,258","POINT (-87.67763 41.80849)"
"Beverly","1962 W. 95th St.","Chicago","60643","1,709","1,943","1,403","99","0","1,489","2,773","2,871","2,592","2,685","2,490","2,179","22,233","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","0","5,133","6,393","7,186","7,870","5,395","4,471","3,789","3,907","3,799","3,932","3,332","55,207","POINT (-87.66009 41.97146)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","3,491","5,724","7,464","7,252","7,130","7,061","6,992","7,065","7,194","6,380","5,979","4,894","76,626","POINT (-87.5902 41.80763)"
"Brainerd","1350 W. 89th St.","Chicago","60620","617","536","995","1,088","1,354","1,147","1,182","1,215","1,098","973","1,301","836","12,342","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1,250","1,727","2,959","3,207","2,356","3,090","2,871","3,264","3,017","3,270","3,264","2,681","32,956","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","5,015","5,954","7,115","7,525","6,111","11,320","8,472","8,434","8,088","7,620","7,122","3,317","86,093","POINT (-87.68036 41.91225)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","5,058","5,714","7,070","6,613","6,087","6,615","8,904","7,810","6,659","8,755","7,259","3,437","79,981","POINT (-87.69782 41.98473)"
"Canaryville","642 W. 43rd St.","Chicago","60609","0","1,427","1,854","1,894","33","0","736","1,184","1,038","957","887","950","10,960","POINT (-87.64257 41.81624)"
"Chicago Bee","3647 S. State St.","Chicago","60609","512","900","1,002","1,086","1,211","819","1,074","993","1,162","985","841","977","11,562","POINT (-87.62649 41.82815)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","2,444","2,794","3,927","3,810","3,833","4,635","4,397","4,968","4,236","4,369","4,241","3,423","47,077","POINT (-87.70322 41.78197)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","2,963","6,955","11,013","11,999","13,147","15,962","16,974","15,109","13,290","14,005","11,877","11,473","144,767","POINT (-87.63181 41.85419)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","1,505","918","1,290","1,290","730","575","870","1,605","1,440","1,156","2,425","1,770","15,574","POINT (-87.7819 41.77645)"
"Coleman","731 E. 63rd St.","Chicago","60637","3,059","1,540","4,054","4,297","4,225","4,162","4,816","5,462","2,750","3,187","2,506","2,270","42,328","POINT (-87.60717 41.7804)"
"Daley, Richard J.","3400 S. Halsted St.","Chicago","60608","2,480","0","0","0","957","2,086","2,105","2,049","1,873","2,150","2,112","2,154","17,966","POINT (-87.64615 41.83257)"
"Daley, Richard M.","733 N. Kedzie Ave.","Chicago","60612","6,556","4,072","3,827","5,137","5,130","4,408","4,118","3,433","3,749","3,686","2,541","3,656","50,313","POINT (-87.70654 41.8949)"
"Douglass","3353 W. 13th St.","Chicago","60623","435","1,100","1,456","1,586","2,803","0","4,316","3,921","3,733","2,738","1,626","2,256","25,970","POINT (-87.70967 41.86454)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","4,240","5,603","6,706","5,857","6,394","5,177","7,638","6,869","6,169","6,495","5,513","5,443","72,104","POINT (-87.81368 41.94307)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","3,693","4,302","5,447","5,241","5,187","6,707","6,437","6,411","5,317","5,992","6,298","5,184","66,216","POINT (-87.76197 41.99727)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","7,563","3,509","8,040","9,664","8,411","8,531","9,696","9,588","8,944","9,539","8,103","6,262","97,850","POINT (-87.66032 41.9912)"
"Gage Park","2807 W. 55th St.","Chicago","60632","0","911","1,586","1,875","1,633","1,570","1,470","1,678","1,131","2,032","1,620","1,527","17,033","POINT (-87.69418 41.79369)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79733 41.92115)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","2,594","2,929","4,083","3,782","3,370","5,176","6,041","4,817","4,982","3,982","4,529","3,924","50,209","POINT (-87.78009 41.79282)"
