"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","9,878","9,473","5,077","0","0","3,188","4,156","4,566","4,295","4,272","3727","3,567","52,199","POINT (-87.713595 41.975693)"
"Altgeld","13281 S. Corliss Ave.","Chicago","60827","2,730","1,809","1,127","0","0","0","0","0","0","0","0","0","5,666","POINT (-87.602139 41.653968)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","6,620","5,803","4,045","0","0","2,697","3,767","3,754","3,737","3,999","3198","3,229","40,849","POINT (-87.726723 41.801206)"
"Austin","5615 W. Race Ave.","Chicago","60644","9,335","9,562","5,390","0","0","1,838","3,614","4,584","4,122","3,932","3152","2,923","48,452","POINT (-87.766942 41.889281)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","7,867","7,380","4,222","0","0","1,972","2,810","2,823","5,558","6,360","2820","2,737","44,549","POINT (-87.779388 41.953025)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","8,908","7,616","4,437","0","0","2,713","3,939","4,140","3,933","3,899","3575","2,083","45,243","POINT (-87.585869 41.746322)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","3,226","3,246","1,848","0","0","1,643","1,652","1,810","1,820","1,870","1503","1,398","20,016","POINT (-87.677601 41.808523)"
"Beverly","1962 W. 95th St.","Chicago","60643","2,881","2,843","1,537","0","0","1,119","1,360","2,003","1,442","1,753","1348","1,136","17,422","POINT (-87.672288 41.721148)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","9,959","9,130","6,567","0","0","2,147","2,596","2,802","2,700","2,787","2265","413","41,366","POINT (-87.66074 41.971414)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","7,216","6,828","3,628","0","0","309","0","0","0","0","140","1,954","20,075","POINT (-87.590213 41.80762)"
"Brainerd","1350 W. 89th St.","Chicago","60620","2,455","2,279","1,522","0","0","707","494","600","686","726","559","580","10,608","POINT (-87.657726 41.732282)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","3,894","3,562","2,639","0","0","561","1,346","1,323","1,174","1,638","1194","1,139","18,470","POINT (-87.703067 41.814848)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","10,699","9,981","5,663","0","0","2,034","3,654","4,991","4,948","5,154","4552","4,813","56,489","POINT (-87.680298 41.912224)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","10,069","9,802","8,101","0","0","3,299","5,719","6,141","5,455","5,560","5100","5,095","64,341","POINT (-87.696439 41.983843)"
"Canaryville","642 W. 43rd St.","Chicago","60609","2,493","2,555","1,355","0","0","0","0","0","0","0","0","0","6,403","POINT (-87.642569 41.81627)"
"Chicago Bee","3647 S. State St.","Chicago","60609","1,905","2,577","1,414","0","0","527","479","540","590","612","506","523","9,673","POINT (-87.626436 41.828152)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","2,301","5,013","3,568","0","0","1,905","3,726","3,706","2,917","3,224","2730","2,529","31,619","POINT (-87.703231 41.781967)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","19,325","14,701","10,222","0","0","1,884","3,375","4,147","4,159","4,854","3129","3,176","68,972","POINT (-87.631794 41.854267)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","4,334","4,137","3,327","0","0","3,125","3,251","3,085","2,800","2,300","2035","1,894","30,288","POINT (-87.782282 41.7768)"
"Coleman","731 E. 63rd St.","Chicago","60637","6,541","6,593","4,032","0","0","2,399","3,196","3,624","3,334","3,692","3370","3,356","40,137","POINT (-87.60684900000001 41.780405)"
"Daley, Richard J.","3400 S. Halsted St.","Chicago","60608","4,565","4,210","2,989","0","0","1,503","1,887","2,104","2,298","2,744","2211","1,559","26,070","POINT (-87.646149 41.8327)"
"Daley, Richard M.","733 N. Kedzie Ave.","Chicago","60612","10,899","11,767","7,358","0","0","5,363","5,653","5,363","6,430","7,365","6105","6,099","72,402","POINT (-87.706545 41.89433)"
"Douglass","3353 W. 13th St.","Chicago","60623","0","0","0","0","0","388","1,230","756","568","919","663","512","5,036","POINT (-87.709792 41.864527)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","7,328","7,572","4,237","0","0","3,678","4,873","6,846","6,185","5,341","4086","4,224","54,370","POINT (-87.813899 41.94331)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","7,485","6,533","4,488","0","0","3,775","5,091","4,750","4,749","4,559","2329","3,798","47,557","POINT (-87.762043 41.997245)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","15,208","13,339","16,636","0","0","5,031","7,816","7,342","5,542","8,189","5950","6,397","91,450","POINT (-87.660344 41.990916)"
"Gage Park","2807 W. 55th St.","Chicago","60632","2,058","1,942","1,311","0","0","0","0","0","0","0","0","0","5,311","POINT (-87.694138 41.793722)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","1,591","1,375","634","0","0","0","0","0","0","0","0","0","3,600","POINT (-87.79846800000001 41.921134)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","5,282","4,928","3,215","0","0","2,448","2,899","2,941","2,865","2,957","2413","2,337","32,285","POINT (-87.780098 41.792854)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","4,210","3,399","2,046","0","0","673","1,085","1,150","1,280","1,521","1128","1,043","17,535","POINT (-87.600377 41.762277)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","4,885","4,729","6,570","0","0","2,322","2,951","2,806","2,718","2,974","406","0","30,361","POINT (-87.622776 41.807273)"
"Harold Washtington Library Center","400 S. State St.","Chicago","60605","104,255","102,202","75,066","0","0","23,673","36,325","35,144","44,570","51,962","40119","41,058","554,374","POINT (-87.627695 41.876301)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","3,017","2,785","2,064","0","0","1,378","1,832","1,857","1,698","1,998","961","1,332","18,922","POINT (-87.548914 41.65915300000001)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","4,846","4,760","6,954","0","0","947","2,441","3,156","3,432","4,809","3148","2,786","37,279","POINT (-87.705655 41.910536)"
"Independence","4024 N. Elston Ave.","Chicago","60618","5,491","5,189","2,275","0","0","1,965","2,776","2,622","2,865","2,998","2025","1,716","29,922","POINT (-87.719889 41.954219)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","5,270","4,718","2,997","0","0","2,835","3,551","2,569","2,661","3,458","2832","2,452","33,343","POINT (-87.761964 41.967648)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","3,563","3,191","2,427","0","0","2,145","2,561","2,678","3,099","2,876","1811","1,697","26,048","POINT (-87.565489 41.713513)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","5,448","5,301","3,274","0","0","360","610","857","736","814","664","582","18,646","POINT (-87.637516 41.78199)"
"King","3436 S. King Dr.","Chicago","60616","2,904","3,518","1,960","0","0","65","1,260","1,438","1,588","1,585","1290","1,294","16,902","POINT (-87.61733500000001 41.832238000000004)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","0","0","0","0","0","0","0","0","0","0","0","108","108","POINT (-87.725593 41.879302)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","12,707","11,844","6,818","0","0","4,330","5,711","4,372","3,794","2,242","3484","2,436","57,738","POINT (-87.670434 41.940599)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","11,563","11,031","13,002","0","0","4,139","5,547","5,466","4,993","6,030","4960","5,009","71,740","POINT (-87.658126 41.925316)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","10,850","10,504","3,401","0","0","2,996","3,099","2,300","2,087","1,240","2886","1,570","40,933","POINT (-87.660263 41.869359)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","5,288","4,917","3,508","0","0","614","1,443","1,652","1,762","1,893","1430","1,332","23,839","POINT (-87.705179 41.849599)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","12,501","11,545","6,711","0","0","4,243","6,795","8,731","7,027","0","4890","6,146","68,589","POINT (-87.703483 41.924806)"
"Lozano","1805 S. Loomis St.","Chicago","60608","10,498","9,411","6,806","0","0","1,945","3,316","3,001","3,204","4,051","3390","2,148","47,770","POINT (-87.661298 41.857604)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","7,161","6,683","0","0","0","0","0","0","0","0","0","0","13,844","POINT (-87.679091 41.881026)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","3,412","2,898","2,123","0","0","696","1,393","1,833","1,751","1,971","1530","1,348","18,955","POINT (-87.738158 41.96815)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","6,531","5,301","3,513","0","0","3,604","4,401","4,118","4,015","3,820","2851","610","38,764","POINT (-87.67345 41.830421)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.646055 41.940054)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","3,582","2,222","1,233","0","0","1,267","1,468","1,437","1,387","1,709","1448","1,455","17,208","POINT (-87.700878 41.692925)"
"Near North","310 W. Division St.","Chicago","60610","10,765","9,489","6,197","0","0","4,539","6,207","6,005","6,181","6,109","4796","4,860","65,148","POINT (-87.636644 41.903838)"
"North Austin","5724 W. North Ave.","Chicago","60639","3,864","3,893","1,597","0","0","594","1,260","1,528","1,448","1,403","1192","1,128","17,907","POINT (-87.768878 41.909401)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","3,209","2,994","2,029","0","0","444","1,013","2,274","2,178","2,259","1795","1,567","19,762","POINT (-87.733923 41.909856)"
"Northtown","6800 N. Western Ave.","Chicago","60645","0","13,474","7,864","0","0","5,612","9,002","9,342","9,046","7,657","5881","6,184","74,062","POINT (-87.690175 42.00536)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","7,781","6,343","3,920","0","0","1,616","2,382","2,927","3,467","3,263","3626","3,289","38,614","POINT (-87.813329 41.978015)"
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","5,365","5,073","6,851","0","0","1,662","2,497","3,058","3,013","3,049","2182","2,357","35,107","POINT (-87.754875 41.938748)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","3,775","3,410","2,215","0","0","725","2,492","1,654","0","0","1149","1,729","17,149","POINT (-87.618295 41.694366)"
