"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","5,561","5,082","5,921","5,671","4,666","5,392","5,985","5,697","5,316","4,955","5,416","4,824","64,486","POINT (-87.71357 41.9757)"
"Altgeld","955 E. 131st St.","Chicago","60827","150","139","179","289","297","198","257","229","314","223","173","193","2,641","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","2,341","2,131","2,628","2,690","2,049","2,432","2,505","2,377","2,259","2,054","2,099","1,778","27,343","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","521","576","667","644","524","643","592","573","747","683","666","753","7,589","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","5,054","4,857","5,787","5,604","4,626","5,883","6,068","5,834","5,419","4,917","4,976","4,457","63,482","POINT (-87.77944 41.95301)"
"Auto-Renewals",,,,"511,436","445,609","516,133","504,009","559,180","512,518","530,951","555,741","516,317","588,190","557,173","539,322","6,336,579","POINT (-89.64361 39.8013)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1,236","1,032","1,378","1,457","1,328","1,362","1,462","1,587","1,246","1,298","1,230","951","15,567","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","771","836","1,141","1,244","1,048","1,254","1,117","1,232","959","989","790","861","12,242","POINT (-87.67763 41.80849)"
"Beverly","1962 W. 95th St.","Chicago","60643","3,164","2,673","1,250","0","18","1,979","3,365","3,149","3,069","2,887","2,806","2,601","26,961","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","6,392","5,288","6,249","6,456","7,310","7,530","6,891","6,817","6,194","5,937","5,857","5,893","76,814","POINT (-87.66009 41.97146)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","7,234","6,544","7,336","7,355","6,531","7,217","7,174","6,970","6,616","6,126","6,129","5,785","81,017","POINT (-87.5902 41.80763)"
"Brainerd","1350 W. 89th St.","Chicago","60620","255","264","370","386","399","421","337","373","361","276","256","201","3,899","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1,394","1,321","1,327","1,705","1,609","1,578","1,609","1,512","1,425","1,603","1,579","1,278","17,940","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","8,411","7,519","8,607","8,530","7,528","8,274","8,496","8,883","8,856","8,178","8,481","7,104","98,867","POINT (-87.68036 41.91225)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","5,948","5,600","6,369","5,991","5,265","6,640","6,747","6,344","5,669","5,962","6,083","5,431","72,049","POINT (-87.69782 41.98473)"
"Canaryville","642 W. 43rd St.","Chicago","60609","1,035","1,058","1,339","1,356","69","0","399","670","674","816","718","864","8,998","POINT (-87.64257 41.81624)"
"Chicago Bee","3647 S. State St.","Chicago","60609","799","543","709","803","707","931","778","770","714","835","718","788","9,095","POINT (-87.62649 41.82815)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","1,376","1,235","1,582","1,682","1,028","1,363","1,600","1,349","1,353","1,416","1,266","1,183","16,433","POINT (-87.70322 41.78197)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","4,795","4,258","5,316","5,343","4,791","5,367","5,477","5,362","4,991","4,847","4,035","3,957","58,539","POINT (-87.63181 41.85419)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","1,712","1,563","1,818","1,846","1,575","2,136","1,914","1,970","1,733","2,270","1,988","1,455","21,980","POINT (-87.7819 41.77645)"
"Coleman","731 E. 63rd St.","Chicago","60637","759","751","878","919","768","1,053","1,058","981","954","965","1,130","843","11,059","POINT (-87.60717 41.7804)"
"Daley, Richard J.- Bridgeport","3400 S. Halsted St.","Chicago","60608","0","0","0","7","1,716","3,426","3,979","3,739","3,444","3,097","2,958","2,941","25,307","POINT (-87.64615 41.83257)"
"Daley, Richard M.- W Humboldt","733 N. Kedzie Ave.","Chicago","60612","1,275","1,279","1,348","1,306","1,282","1,194","1,245","1,414","1,262","1,176","1,062","977","14,820","POINT (-87.70654 41.8949)"
"Douglass","3353 W. 13th St.","Chicago","60623","273","447","451","517","479","0","224","360","378","368","404","349","4,250","POINT (-87.70967 41.86454)"
"Downloadable Media",,,,"210,184","192,686","209,752","207,739","219,205","213,283","232,207","242,096","226,457","232,472","233,684","243,533","2,663,298","POINT (-89.64361 39.8013)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","2,971","2,868","3,669","3,378","3,286","3,986","3,897","3,797","3,308","3,221","3,386","2,744","40,511","POINT (-87.81368 41.94307)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","6,738","5,972","6,872","6,602","5,609","7,397","7,621","7,818","6,225","6,238","6,537","5,630","79,259","POINT (-87.76197 41.99727)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","10,727","9,679","11,340","10,747","9,700","10,825","11,022","10,531","9,957","9,925","10,431","9,355","124,239","POINT (-87.66032 41.9912)"
"Gage Park","2807 W. 55th St.","Chicago","60632","309","326","492","608","628","655","967","761","494","706","786","761","7,493","POINT (-87.69418 41.79369)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79733 41.92115)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","3,017","2,750","3,117","2,957","2,629","3,517","3,770","3,433","3,122","2,407","3,156","2,493","36,368","POINT (-87.78009 41.79282)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","509","477","591","608","629","573","519","538","436","446","456","404","6,186","POINT (-87.60041 41.76229)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","611","532","510","600","732","577","756","783","714","593","421","681","7,510","POINT (-87.6228 41.8073)"
"Harold Washington Library Center","400 S. State Street","Chicago","60605","22,510","20,712","24,151","23,657","21,229","23,305","23,715","26,029","22,770","22,560","22,288","20,480","273,406","POINT (-87.62763 41.87633)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","776","756","1,087","973","790","1,210","1,108","406","162","915","845","706","9,734","POINT (-87.54893 41.65918)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","3,418","2,726","3,554","3,255","3,255","3,700","3,777","3,917","3,635","3,682","3,661","3,095","41,675","POINT (-87.70568 41.91042)"
"Independence","4024 N. Elston Ave.","Chicago","60618","6,271","5,590","6,532","6,155","5,537","6,672","6,646","6,657","6,072","6,078","6,419","5,217","73,846","POINT (-87.72009 41.95432)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","5,166","4,381","5,378","5,447","4,609","5,215","5,317","5,309","4,772","4,565","4,856","4,606","59,621","POINT (-87.76179 41.96762)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","346","487","508","401","388","537","634","524","422","453","339","296","5,335","POINT (-87.56556 41.71352)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","443","461","363","287","265","479","450","511","638","402","466","376","5,141","POINT (-87.63753 41.782)"
"King","3436 S. King Dr.","Chicago","60616","1,033","959","980","964","1,032","929","1,157","999","1,021","969","1,017","880","11,940","POINT (-87.61732 41.83214)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","453","404","478","392","535","593","729","695","557","492","476","649","6,453","POINT (-87.72561 41.87932)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","12,262","1,744","957","8,660","9,251","10,803","10,886","10,899","10,538","9,917","9,775","8,481","104,173","POINT (-87.67092 41.94056)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","11,413","10,360","13,204","13,180","11,754","13,373","13,666","12,795","11,304","10,720","11,015","9,629","142,413","POINT (-87.65805 41.92529)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","3,823","3,291","4,146","3,953","3,464","4,013","4,057","3,872","3,754","3,610","3,931","3,086","45,000","POINT (-87.66059 41.86937)"
