"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Edgewater","6000 N. Broadway St.","Chicago","60660","11,193","10,185","11,125","10,500","10,898","11,595","11,650","10,854","10,376","10,137","9,685","9,539","127,737","POINT (-87.66070097099998 41.991152010000064)"
"Gage Park","2807 W. 55th St.","Chicago","60632","0","0","0","0","0","0","18","545","423","669","608","510","2,773","POINT (-87.69417703499994 41.793441019000056)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79731647599993 41.921091352000076)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","2,437","2,449","3,093","2,500","2,628","3,348","3,691","2,723","2,893","3,099","2,593","2,273","33,727","POINT (-87.78021903099994 41.792989989000034)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","336","376","428","398","460","462","307","0","377","627","596","498","4,865","POINT (-87.60042402299996 41.762564015000066)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","6","162","418","469","525","616","712","691","671","632","684","583","6,169","POINT (-87.62227597999998 41.807196015000045)"
"Harold Washington Library Center","400 S. State Street","Chicago","60605","20,965","18,837","21,898","21,220","22,635","25,011","24,932","24,348","24,256","23,970","22,693","21,046","271,811","POINT (-87.62839401499997 41.876313985000024)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","823","775","1,004","960","948","1,118","1,117","1,049","1,080","1,055","885","701","11,515","POINT (-87.54892896299998 41.65940898100007)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","3,107","2,961","3,211","2,867","3,014","3,000","3,394","2,893","3,263","3,164","2,962","2,813","36,649","POINT (-87.70530602299993 41.91045498600005)"
"Independence","4024 N. Elston Ave.","Chicago","60618","5,069","4,572","5,989","5,474","5,372","6,068","6,791","6,559","5,961","6,320","6,091","5,281","69,547","POINT (-87.72033502699998 41.95412998200004)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","3,868","3,332","4,559","4,174","4,175","4,866","5,573","5,385","4,925","5,395","5,085","4,116","55,453","POINT (-87.76198696699998 41.96736198900004)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","267","178","284","260","41","102","272","326","348","303","464","360","3,205","POINT (-87.56553200399998 41.71323701800003)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","323","268","303","270","274","332","355","533","399","439","470","368","4,334","POINT (-87.63724899299996 41.78199800300007)"
"King","3436 S. King Dr.","Chicago","60616","845","804","930","900","976","1,201","1,344","1,029","1,217","1,110","1,189","1,159","12,704","POINT (-87.61740244999999 41.83221959000008)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","344","234","421","420","488","466","479","566","435","458","454","461","5,226","POINT (-87.72527699699998 41.87931500000008)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","9,936","8,912","11,336","10,740","10,787","12,202","11,856","11,427","10,767","10,886","10,992","9,308","129,149","POINT (-87.67089302999995 41.94032398100006)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","8,658","7,667","9,869","9,269","9,727","10,208","10,190","10,048","9,936","9,856","10,238","8,933","114,599","POINT (-87.65814801099998 41.925597019000065)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","3,978","3,273","4,237","3,465","3,835","4,460","4,906","4,461","3,842","3,865","3,896","3,575","47,793","POINT (-87.66052296199996 41.86942820300004)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","1,041","924","1,280","1,157","1,223","1,395","1,829","1,318","1,478","1,443","1,541","1,138","15,767","POINT (-87.70482599199994 41.84964000300005)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","7,374","7,246","8,600","8,373","8,623","9,533","9,856","9,227","9,132","9,220","9,424","8,686","105,294","POINT (-87.70349402299996 41.92508501100008)"
"Lozano","1805 S. Loomis St.","Chicago","60608","1,823","1,760","2,210","1,829","2,177","2,305","2,255","2,355","2,314","2,112","2,109","1,859","25,108","POINT (-87.66092996499998 41.85762200600004)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","0","0","0","0","0","0","0","7","171","547","620","530","1,875","POINT (-87.67958900299999 41.88105701100005)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","2,396","1,917","2,867","2,457","2,364","2,265","2,615","2,504","2,627","2,498","2,602","2,120","30,188","POINT (-87.73819501899999 41.96839200000005)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","127","1,592","2,512","2,222","2,405","2,677","3,123","3,733","4,041","3,706","3,705","3,076","37,408","POINT (-87.67359300899994 41.83017198500005)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","7,473","7,031","7,944","8,022","8,035","8,101","8,093","8,334","8,640","8,994","7,904","7,565","91,433","POINT (-87.64621896999995 41.94032000000004)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","3,330","2,750","3,261","3,392","3,230","3,845","3,746","3,663","3,176","2,951","2,862","2,862","41,816","POINT (-87.70122101899995 41.693149997000035)"
"Near North","310 W. Division St.","Chicago","60610","7,399","6,872","7,910","7,329","8,085","8,318","8,412","7,284","6,777","6,853","6,639","5,610","82,376","POINT (-87.63657902699998 41.90413901200003)"
"North Austin","5724 W. North Ave.","Chicago","60639","610","472","549","523","547","497","644","647","564","638","395","498","6,941","POINT (-87.76889700799995 41.909612018000075)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","876","614","783","720","1,020","974","1,002","1,017","1,025","1,213","1,112","855","18,393","POINT (-87.73398202299995 41.91014301100006)"
"Northtown","6800 N. Western Ave.","Chicago","60645","9,320","8,239","9,846","8,881","9,253","10,035","10,412","9,839","8,712","9,200","8,452","8,037","106,764","POINT (-87.69042596599996 42.00547500600004)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","4,375","3,797","4,725","4,339","4,386","5,128","5,511","4,719","4,630","5,156","4,850","4,575","54,673","POINT (-87.81385401599994 41.97838398300007)"
"Patron Initiated renewals (automated phone)",,,,"494","691","607","831","807","937","1,148","1,124","1,091","1,176","1,096","831","10,833",
"Patron Initiated renewals (online)",,,,"32,827","29,852","31,102","29,174","29,518","29,278","28,197","27,596","26,360","27,854","27,557","28,679","347,994",
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","3,040","2,903","3,681","3,430","3,641","3,450","3,855","3,481","3,766","3,612","3,238","3,057","38,450","POINT (-87.75493602599994 41.93894499100003)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","222","288","271","302","325","335","342","357","324","365","468","353","7,079","POINT (-87.61795896499996 41.69437199400005)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","3,850","3,744","4,532","3,523","4,199","4,403","4,971","4,548","3,874","4,435","4,010","3,480","52,091","POINT (-87.79802001399997 41.99215398300004)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","4,582","6,311","6,404","6,489","5,983","6,257","7,070","6,453","6,383","6,528","6,449","6,002","70,194","POINT (-87.67335866399998 42.006785587000024)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","984","896","1,185","1,091","975","1,028","1,348","1,222","1,274","1,474","1,419","1,285","13,093","POINT (-87.72458196999997 41.74917501500005)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","158","199","204","140","174","199","273","253","189","173","159","197","2,859","POINT (-87.65514603199995 41.79484800500006)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","154","291","628","605","564","721","875","963","861","656","640","738","7,885","POINT (-87.54953597999997 41.73037901600003)"
"South Shore","2505 E. 73rd St.","Chicago","60649","687","694","893","902","929","1,153","1,292","1,038","975","941","975","927","32,150","POINT (-87.56371799299995 41.76244901600006)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","22,742","20,954","24,275","23,702","23,039","25,051","24,576","24,156","23,213","23,756","24,048","21,671","260,163","POINT (-87.68438998999994 41.96275701400003)"
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","723","659","728","633","638","611","758","753","771","723","869","651","9,986","POINT (-87.65437699299997 41.75737498900003)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","1,746","1,562","2,159","1,766","1,677","1,895","2,070","1,829","2,640","2,503","2,187","1,636","23,670","POINT (-87.72487298899995 41.84206699600003)"
"Uptown","929 W. Buena Ave.","Chicago","60613","6,972","5,496","5,671","5,047","5,163","5,812","6,126","5,643","5,797","5,623","5,343","4,768","67,461","POINT (-87.65421103099999 41.958200988000044)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","1,091","1,109","1,550","1,497","1,259","1,681","2,009","1,603","1,818","1,882","1,573","1,554","18,626","POINT (-87.53353098799994 41.702956991000065)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","800","705","850","803","815","953","1,098","914","880","1,060","891","772","10,541","POINT (-87.67380297499994 41.692205985000044)"
"Water Works","163 E. Pearson Street","Chicago","60611","0","0","0","0","0","0","123","1,561","1,825","2,166","2,239","2,286","10,200","POINT (-87.62349998899998 41.89724401700005)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","2,877","2,234","3,398","2,727","2,518","3,090","3,322","3,186","3,356","3,192","3,037","2,618","35,555","POINT (-87.78619901599996 41.936736988000064)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","155","173","135","111","161","201","225","270","337","346","310","260","2,684","POINT (-87.74799497199996 41.895320998000045)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","355","309","238","318","231","332","310","310","345","504","390","254","3,896","POINT (-87.66838499699998 41.77907900500003)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","1,174","1,010","1,538","1,243","1,428","629","13","0","0","0","0","0","7,035","POINT (-87.72380899099994 41.77890801400008)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","3,468","3,130","3,701","3,830","3,727","4,043","4,209","4,126","3,823","4,057","3,845","3,547","45,506","POINT (-87.65475702799995 41.883784985000034)"
"West Pullman","830 W. 119th St.","Chicago","60643","562","344","591","539","581","493","735","682","637","835","668","694","7,361","POINT (-87.64309696299995 41.678082017000065)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","3,631","3,003","3,596","3,508","3,787","3,361","3,725","4,217","4,401","4,087","4,280","3,868","45,464","POINT (-87.66850200799996 41.89578200300008)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","601","441","585","611","783","813","668","843","936","744","572","545","8,142","POINT (-87.61424603299997 41.75093500500003)"
"Woodson Regional Library","9525 S. Halsted St.","Chicago","60628","2,020","1,681","1,909","2,071","1,939","1,589","2,162","2,056","2,173","2,220","1,872","1,636","23,328","POINT (-87.64280401499997 41.72086698100003)"
"Wrightwood-Ashburn","8530 S. Kedzie Ave.","Chicago","60652","597","0","447","486","606","791","679","746","740","755","833","607","7,287","POINT (-87.70250403699998 41.73764801200008)"
