"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","4,274","3,486","5,170","4,864","4,561","5,711","5,983","5,675","5,603","5,699","5,370","5,238","61,634","POINT (-87.71406100499996 41.975447006000024)"
"Altgeld","955 E. 131st St.","Chicago","60827","127","81","156","173","146","153","206","248","171","146","173","154","1,934","POINT (-87.59858989999998 41.65721704300006)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","1,852","1,587","1,858","1,791","1,842","2,328","2,847","2,538","2,395","2,579","2,574","2,129","26,320","POINT (-87.72667803199994 41.80089198600007)"
"Austin","5615 W. Race Ave.","Chicago","60644","680","626","667","549","565","682","581","512","625","611","563","447","7,108","POINT (-87.76581397599995 41.88902598000004)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","4,715","4,232","5,796","4,717","5,354","6,140","6,020","5,749","5,311","5,480","4,718","4,702","62,934","POINT (-87.77955501699995 41.953195986000026)"
"Auto-Renewals",,,,"671,609","646,073","656,125","672,808","528,412","471,670","478,883","513,804","479,910","505,541","502,847","501,666","6,629,348",
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1,342","1,099","1,241","1,264","1,368","1,378","1,242","1,432","1,589","1,476","1,355","1,217","16,003","POINT (-87.58626296499995 41.74633099300007)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","856","647","1,070","1,006","943","1,090","1,241","1,179","1,073","1,363","1,032","916","12,416","POINT (-87.67814396299997 41.80798098100007)"
"Beverly","1962 W. 95th St.","Chicago","60643","2,827","2,245","2,868","2,782","2,869","3,118","3,637","3,196","3,080","3,177","3,395","2,655","35,849","POINT (-87.67214897399998 41.721352000000024)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","162","1,265","5,408","5,055","5,312","5,845","6,276","5,696","5,540","5,640","5,614","5,260","57,073","POINT (-87.66075201699994 41.97158198400007)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","6,012","5,296","6,948","6,582","6,980","7,013","7,787","7,423","6,576","6,929","6,932","6,279","80,757","POINT (-87.59033900099996 41.80583999100003)"
"Brainerd","1350 W. 89th St.","Chicago","60620","311","349","501","60","85","278","197","280","277","337","314","332","3,321","POINT (-87.65773997999997 41.73252901600006)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1,491","1,090","1,704","1,471","1,525","1,643","1,914","1,551","200","26","1,170","1,172","14,957","POINT (-87.70319504099996 41.815067000000056)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","7,291","6,310","7,795","7,504","7,660","8,099","8,006","7,335","7,450","7,997","7,550","6,710","89,707","POINT (-87.68035200799994 41.91256001700003)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","5,277","4,665","5,837","5,800","5,365","6,208","6,639","6,571","5,725","5,829","6,116","5,854","69,886","POINT (-87.69633202199998 41.983373017000076)"
"Canaryville","642 W. 43rd St.","Chicago","60609","0","0","0","0","0","0","131","869","1,042","969","941","935","4,887","POINT (-87.64259698199999 41.81648899000004)"
"Chicago Bee","3647 S. State St.","Chicago","60609","595","582","506","610","594","704","634","726","777","865","777","521","7,891","POINT (-87.62622997499994 41.82817399100003)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","1,111","902","1,264","1,184","1,452","1,661","2,000","1,634","1,509","1,895","1,563","1,380","17,555","POINT (-87.70353903399996 41.78196699000006)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","3,460","2,654","4,009","3,597","4,333","4,730","5,682","5,269","5,466","5,500","5,240","4,414","54,354","POINT (-87.63212899099995 41.85376201400004)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","1,667","1,262","1,465","1,517","1,579","2,025","2,072","1,754","1,714","1,696","1,830","1,603","20,184","POINT (-87.78226496999997 41.77645798400005)"
"Coleman","731 E. 63rd St.","Chicago","60637","836","716","883","657","1,013","766","1,205","1,110","1,147","1,024","988","812","11,157","POINT (-87.60683500599998 41.78013499900004)"
"Daley, Richard J.- Bridgeport","3400 S. Halsted St.","Chicago","60608","4,034","3,152","3,647","3,708","3,555","3,532","3,910","864","0","0","0","0","26,402","POINT (-87.64646497899997 41.83263798300004)"
"Daley, Richard M.- W Humboldt","733 N. Kedzie Ave.","Chicago","60612","1,541","1,477","1,455","1,499","1,246","1,309","1,321","1,335","1,221","1,432","1,458","989","16,283","POINT (-87.70645903299999 41.89468773600004)"
"Douglass","3353 W. 13th St.","Chicago","60623","366","273","347","318","393","475","389","410","543","517","358","463","4,852","POINT (-87.70967805399994 41.864482714000076)"
"Downloadable Media",,,,"217,891","202,027","202,055","191,216","195,811","189,325","193,068","198,273","180,638","181,426","177,454","187,409","2,316,593",
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","3,229","2,701","3,431","3,092","3,034","3,721","3,820","3,373","3,073","3,151","3,008","2,564","38,197","POINT (-87.81379976199997 41.943288933000076)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","6,378","5,498","6,690","6,451","5,971","6,744","7,849","7,082","6,354","6,003","6,511","5,137","76,668","POINT (-87.76208696299994 41.997127008000064)"
