"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","5,420","4,713","5,962","5,274","4,537","5,426","5,220","5,226","4,657","4,295","4,811","4,310","59,851","POINT (-87.71408 41.97569)"
"Altgeld","955 E. 131st St.","Chicago","60827","115","123","165","145","153","135","90","99","109","176","146","113","1,569","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","2,014","2,263","2,656","631","314","2,072","1,871","1,883","1,976","2,023","2,048","1,863","21,614","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","690","615","812","842","563","608","449","639","757","961","921","817","8,674","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","5,561","5,035","5,591","4,960","4,596","5,683","5,614","685","5","3,837","4,051","3,887","49,505","POINT (-87.77952 41.95321)"
"Auto-Renewals",,,,"580,360","504,281","557,969","565,505","613,405","537,961","572,096","574,882","495,537","588,839","548,512","544,543","6,683,890",
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1,243","1,302","1,479","1,335","1,115","1,515","1,336","1,327","1,365","1,206","1,054","1,050","15,327","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","989","889","984","1,134","943","1,058","1,001","964","973","952","786","700","11,373","POINT (-87.67763 41.80849)"
"Beverly","1962 W. 95th St.","Chicago","60643","3,252","3,380","3,769","2,895","2,579","3,725","3,244","3,263","2,687","2,890","2,627","2,562","36,873","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","6,248","5,796","6,706","6,116","5,831","6,345","6,328","6,435","5,988","5,714","5,334","5,800","72,641","POINT (-87.6602 41.97181)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","6,444","6,191","7,707","6,442","5,850","6,900","6,791","7,019","6,637","6,278","5,915","6,422","78,596","POINT (-87.59046 41.80606)"
"Brainerd","1350 W. 89th St.","Chicago","60620","325","243","421","269","211","377","279","272","331","275","317","221","3,541","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1,340","1,591","1,735","1,685","1,557","1,921","1,693","1,592","1,372","1,837","1,386","1,724","19,433","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","8,392","8,117","9,189","8,221","7,282","8,614","8,139","8,490","8,182","8,181","7,972","7,552","98,331","POINT (-87.68051 41.91277)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","6,130","5,793","7,239","5,783","5,071","6,792","6,468","6,081","6,028","5,873","5,720","5,531","72,509","POINT (-87.69663 41.98353)"
"Canaryville","642 W. 43rd St.","Chicago","60609","993","847","1,179","1,003","890","898","763","744","599","899","734","817","10,366","POINT (-87.64257 41.81624)"
