"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","4,603","4,527","4,934","4,206","3,875","5,239","5,104","5,093","4,284","4,482","4,891","3,930","55,168","POINT (-87.71408 41.97569)"
"Altgeld","955 E. 131st St.","Chicago","60827","140","205","173","121","185","241","129","324","319","260","158","187","2,442","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","2,238","2,117","2,225","1,968","1,625","1,900","1,964","1,832","2,029","2,183","1,999","1,563","23,643","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","903","747","894","822","652","1,248","1,574","1,392","1,348","1,295","1,348","1,021","13,244","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","4,939","4,643","4,121","3,828","4,328","4,901","4,723","4,440","4,250","3,925","4,201","3,271","51,570","POINT (-87.77952 41.95321)"
"Auto-Renewals",,,,"557,822","533,948","560,510","570,023","567,331","549,627","573,800","579,627","581,612","598,127","564,348","567,187","6,803,962",
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1,280","1,304","1,356","32","887","1,185","1,382","1,179","1,234","1,277","1,071","1,022","13,209","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","735","758","822","727","685","830","1,014","835","952","901","719","617","9,595","POINT (-87.67763 41.80849)"
"Beverly","1962 W. 95th St.","Chicago","60643","2,914","2,594","3,259","3,062","2,732","3,377","3,480","3,474","2,917","3,204","3,366","2,099","36,478","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","6,470","6,215","6,170","5,525","5,547","6,036","6,349","6,316","5,914","5,434","5,773","5,281","71,030","POINT (-87.6602 41.97181)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","6,650","6,466","7,358","6,415","6,199","6,610","7,074","6,623","7,114","6,267","6,793","5,771","79,340","POINT (-87.59046 41.80606)"
"Brainerd","1350 W. 89th St.","Chicago","60620","294","305","440","393","351","318","511","219","345","283","210","196","3,865","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1,559","1,707","1,900","1,767","1,276","1,556","1,459","1,493","1,603","1,496","1,303","984","18,103","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","9,187","8,829","9,441","8,338","8,178","8,926","9,481","9,371","9,449","8,950","7,808","6,840","104,798","POINT (-87.68051 41.91277)"
