"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","6,211","5,688","6,465","5,946","5,854","6,543","6,875","6,219","5,380","5,516","5,622","4,762","71,081","POINT (-87.69663 41.98353)"
"Canaryville","642 W. 43rd St.","Chicago","60609","755","674","919","744","752","789","960","1,016","1,006","810","927","813","10,165","POINT (-87.64257 41.81624)"
"Chicago Bee","3647 S. State St.","Chicago","60609","727","909","713","799","582","841","845","664","776","637","657","537","8,687","POINT (-87.62649 41.82815)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","1,134","1,234","1,066","1,047","1,004","1,203","1,143","798","906","1,058","900","774","12,267","POINT (-87.70321 41.78186)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","3,646","3,923","4,791","1,421","0","6","1,126","4,142","3,732","3,742","3,533","2,748","32,810","POINT (-87.63181 41.85419)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","1,824","1,830","1,815","1,733","1,658","1,742","2,109","1,867","1,660","1,861","1,822","1,441","21,362","POINT (-87.7822 41.77659)"
"Coleman","731 E. 63rd St.","Chicago","60637","967","922","987","989","797","869","1,060","1,050","980","955","963","876","11,415","POINT (-87.60662 41.78014)"
"Daley, Richard J.- Bridgeport","3400 S. Halsted St.","Chicago","60608","3,358","3,247","3,584","3,547","3,945","4,465","4,793","3,885","3,570","3,256","3,099","2,732","43,481","POINT (-87.64615 41.83257)"
"Daley, Richard M.- W Humboldt","733 N. Kedzie Ave.","Chicago","60612","980","809","1,075","876","827","937","955","1,109","1,037","794","895","690","10,984","POINT (-87.70618 41.89509)"
"Douglass","3353 W. 13th St.","Chicago","60623","396","464","454","316","371","351","534","329","384","433","440","363","4,835","POINT (-87.70967 41.86454)"
"Downloadable Media",,,,"385,037","343,940","376,144","348,588","364,942","349,982","361,329","360,165","365,543","372,055","387,076","404,963","4,419,764",
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","3,077","2,957","3,515","3,029","2,855","3,449","3,466","3,149","3,214","3,112","3,007","2,311","37,141","POINT (-87.81368 41.94307)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","6,245","5,435","6,282","5,488","5,269","7,122","6,938","6,341","5,695","5,222","5,623","4,846","70,506","POINT (-87.76197 41.99727)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","10,806","9,963","11,034","9,587","9,614","10,231","11,252","10,945","10,542","9,845","10,053","8,672","122,544","POINT (-87.66057 41.9913)"
"Gage Park","2807 W. 55th St.","Chicago","60632","674","724","761","732","495","788","1,012","770","699","762","687","539","8,643","POINT (-87.69418 41.79369)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79733 41.92115)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","2,576","2,371","2,672","2,449","2,641","3,399","3,462","2,907","3,104","2,952","2,964","2,277","33,774","POINT (-87.78009 41.79282)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","456","355","405","603","447","413","424","490","517","480","318","312","5,220","POINT (-87.60041 41.76229)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","588","571","690","682","648","591","825","743","532","840","551","436","7,697","POINT (-87.6228 41.8073)"
"Harold Washington Library Center","400 S. State Street","Chicago","60605","19,660","18,380","19,274","18,167","18,109","19,265","16,553","20,444","19,162","22,570","22,548","20,583","234,715","POINT (-87.62763 41.87633)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","928","956","973","1,062","894","1,024","1,023","742","880","960","812","732","10,986","POINT (-87.54911 41.65943)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","4,002","3,566","4,004","3,387","3,274","3,735","4,156","4,240","3,709","3,661","3,883","3,370","44,987","POINT (-87.70531 41.91073)"
"Independence","4024 N. Elston Ave.","Chicago","60618","7,198","6,456","7,319","6,120","5,989","6,605","7,270","6,479","6,621","6,401","6,792","5,682","78,932","POINT (-87.72009 41.95432)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","4,955","5,061","5,650","4,682","4,797","5,592","5,503","5,012","4,917","4,651","5,406","3,709","59,935","POINT (-87.76197 41.96763)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","433","438","431","422","438","422","410","489","499","500","426","355","5,263","POINT (-87.56556 41.71352)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","260","247","257","313","207","204","275","367","277","365","345","291","3,408","POINT (-87.63725 41.7822)"
"King","3436 S. King Dr.","Chicago","60616","869","973","1,094","1,066","830","881","1,028","1,189","1,034","977","761","718","11,420","POINT (-87.61732 41.83198)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","466","712","641","430","491","594","713","598","688","728","634","537","7,232","POINT (-87.72561 41.87932)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","11,021","10,073","10,948","9,648","9,557","11,428","11,718","11,565","10,747","9,975","10,595","8,813","126,088","POINT (-87.67092 41.94056)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","12,291","10,336","11,547","11,169","10,440","11,410","11,689","11,635","11,828","11,067","11,715","9,663","134,790","POINT (-87.65789 41.92559)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","3,337","3,262","3,847","3,457","3,447","4,283","4,243","3,602","3,589","3,550","3,626","2,803","43,046","POINT (-87.66059 41.86937)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","1,515","1,421","1,701","1,467","1,305","1,437","1,625","1,516","1,449","1,393","1,225","1,056","17,110","POINT (-87.70518 41.84951)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","10,566","9,214","10,917","9,068","9,126","10,553","10,661","10,409","9,942","9,640","9,802","8,420","118,318","POINT (-87.70341 41.92476)"
"Lozano","1805 S. Loomis St.","Chicago","60608","2,164","2,069","1,373","822","717","842","642","686","773","2,198","2,081","1,795","16,162","POINT (-87.66129 41.85762)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","1,106","1,148","1,345","1,025","1,039","1,149","1,337","1,250","1,216","1,213","1,210","1,088","14,126","POINT (-87.67957 41.88081)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","2,435","2,497","2,641","2,815","2,294","2,907","2,952","2,632","2,637","2,569","2,707","2,406","31,492","POINT (-87.7381 41.96812)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","2,676","2,835","3,256","2,968","3,109","3,185","3,272","3,285","3,050","2,734","2,774","2,723","35,867","POINT (-87.67344 41.83041)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","9,095","8,658","9,277","8,257","8,392","8,612","9,102","8,639","8,442","8,048","8,033","6,736","101,291","POINT (-87.64627 41.94004)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","3,845","3,262","3,628","3,561","3,407","4,606","4,336","3,632","3,374","3,356","3,165","2,689","42,861","POINT (-87.70121 41.69282)"
"Near North","310 W. Division St.","Chicago","60610","7,451","6,405","7,343","6,704","6,499","7,156","7,327","6,801","7,205","7,803","7,264","7,014","84,972","POINT (-87.63663 41.90379)"
"North Austin","5724 W. North Ave.","Chicago","60639","474","446","553","482","493","656","492","513","640","499","621","398","6,267","POINT (-87.76886 41.90933)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","1,192","1,401","1,412","1,307","1,307","1,290","1,328","1,067","1,465","1,149","1,271","1,071","15,260","POINT (-87.73404 41.91003)"
"Northtown","6800 N. Western Ave.","Chicago","60645","7,673","7,173","7,738","7,162","7,354","7,855","8,153","8,005","7,112","7,215","6,913","6,406","88,759","POINT (-87.69033 42.00503)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","5,281","4,781","5,024","4,718","4,121","5,303","5,111","4,998","4,729","4,214","4,208","3,651","56,139","POINT (-87.81387 41.978)"
"Patron Initiated renewals (automated phone)",,,,"526","492","559","532","571","617","505","416","568","497","337","296","5,916",
"Patron Initiated renewals (online)",,,,"28,002","26,433","29,371","26,481","26,626","26,517","28,227","29,056","27,287","28,831","26,453","29,684","332,968",
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","3,182","3,034","3,416","3,113","3,223","3,544","3,479","3,446","3,428","3,217","3,084","2,708","38,874","POINT (-87.7547 41.93873)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","525","493","488","520","493","534","550","462","523","477","491","383","5,939","POINT (-87.61829 41.69437)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","4,645","4,343","5,279","4,522","4,631","5,369","5,173","4,841","4,616","4,437","4,376","3,745","55,977","POINT (-87.79832 41.99194)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","6,303","6,377","6,913","6,149","6,166","6,428","6,882","7,003","7,055","6,382","5,893","5,328","76,879","POINT (-87.67341 42.00669)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","1,078","1,017","1,042","902","826","981","1,032","883","817","985","843","681","11,087","POINT (-87.7246 41.7494)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","172","209","267","149","184","209","243","249","278","237","199","212","2,608","POINT (-87.65489 41.79485)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","537","577","797","726","544","537","647","587","703","759","524","494","7,432","POINT (-87.54984 41.73037)"
"South Shore","2505 E. 73rd St.","Chicago","60649","919","992","1,339","943","980","1,238","1,122","986","1,137","934","820","853","12,263","POINT (-87.56373 41.76264)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","27,065","24,856","29,000","24,852","23,964","27,544","27,687","27,085","25,514","24,970","26,430","22,884","311,851","POINT (-87.68467 41.96267)"
"Talking Book and Braille downloadable",,,,"6,612","3,972","4,214","4,689","4,881","3,791","4,963","4,153","3,837","4,009","4,188","4,500","53,809",
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","640","566","782","616","564","626","607","550","671","518","620","455","7,215","POINT (-87.65437 41.75711)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","1,751","1,701","1,758","1,777","1,853","1,575","1,617","1,473","1,814","1,899","1,744","1,395","20,357","POINT (-87.72483 41.84181)"
"Uptown","929 W. Buena Ave.","Chicago","60613","6,308","5,859","6,285","5,677","5,871","6,297","6,513","6,302","5,663","5,786","5,548","4,882","70,991","POINT (-87.65422 41.95843)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","1,564","1,617","1,721","1,764","1,760","1,987","2,118","1,893","1,700","1,672","1,619","1,191","20,606","POINT (-87.53348 41.703)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","1,488","1,384","1,416","1,297","1,395","1,569","1,779","1,341","1,455","1,246","1,408","1,018","16,796","POINT (-87.67412 41.6922)"
"Water Works","163 E. Pearson Street","Chicago","60611","3,103","2,787","2,633","2,648","2,589","2,597","2,962","2,941","2,870","0","0","0","25,130","POINT (-87.62307 41.89759)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","3,407","3,382","3,236","3,052","2,660","3,483","3,218","2,977","3,287","3,680","3,373","2,308","38,063","POINT (-87.78589 41.93685)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","529","742","562","497","491","416","448","487","646","537","457","347","6,159","POINT (-87.74769 41.8953)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","311","345","440","639","381","462","484","566","604","575","514","260","5,581","POINT (-87.66852 41.77939)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","1,798","1,928","1,928","2,150","2,188","1,974","1,708","1,693","1,940","1,867","1,481","1,303","21,958","POINT (-87.72384 41.77866)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","4,814","4,362","4,941","4,165","4,662","5,133","5,229","5,417","4,924","4,689","4,558","3,626","56,520","POINT (-87.65477 41.88387)"
"West Pullman","830 W. 119th St.","Chicago","60643","665","625","599","785","94","422","588","557","690","572","687","531","6,815","POINT (-87.64311 41.6778)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","4,951","4,824","5,311","4,960","4,702","5,053","5,204","4,939","5,361","5,364","5,097","4,521","60,287","POINT (-87.66849 41.8956)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","592","766","826","688","674","723","886","838","910","838","605","517","8,863","POINT (-87.61425 41.75111)"
"Woodson Regional Library","9525 S. Halsted St.","Chicago","60628","1,932","2,135","2,073","1,866","2,052","2,161","2,697","2,139","2,306","2,124","2,056","1,724","25,265","POINT (-87.64285 41.72048)"
"Wrightwood-Ashburn","8530 S. Kedzie Ave.","Chicago","60652","840","801","983","741","622","993","960","823","910","890","737","782","10,082","POINT (-87.70227 41.73742)"
