"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park","5150 N. Kimball Avenue","CHICAGO","60625","8,427","7,023","9,702","9,344","8,865","11,650","11,778","11,306","10,466","10,997","10,567","9,934","120,059"
"Altgeld","13281 S. Corliss Avenue","CHICAGO","60827","1,258","708","854","804","816","870","713","480","702","927","787","692","9,611"
"Archer Heights","5055 S. Archer Avenue","CHICAGO","60632","8,104","6,899","9,329","9,124","7,472","8,314","8,116","9,177","9,033","9,709","8,809","7,865","101,951"
"Austin","5615 W. Race Avenue","CHICAGO","60644","1,755","1,316","1,942","2,200","2,133","2,359","2,080","2,405","2,417","2,571","2,233","2,116","25,527"
"Austin-Irving","6100 W. Irving Park Road","CHICAGO","60634","12,593","11,791","14,807","14,382","11,754","14,402","14,605","15,164","14,306","15,357","14,069","12,404","165,634"
"Avalon","8148 S. Stony Island Avenue ","CHICAGO","60617","5,664","4,367","5,937","5,980","5,596","6,286","6,184","6,933","6,574","6,955","6,113","5,295","71,884"
"Back of the Yards","4650 S. Damen Avenue","CHICAGO","60609","5,485","5,171","6,024","6,592","5,170","4,033","4,832","3,129","34","0","0","0","40,470"
"Beverly","1962 W. 95th Street","CHICAGO","60643","8,049","7,473","9,239","9,449","8,299","10,053","10,086","9,595","8,439","9,610","8,749","7,578","106,619"
"Bezazian","1226 W. Ainslie Street","CHICAGO","60640","8,875","7,424","10,887","11,298","11,739","15,133","17,067","18,348","15,412","15,517","14,860","15,243","161,803"
"Blackstone","4904 S. Lake Park Avenue","CHICAGO","60615","9,351","7,938","10,687","10,760","9,879","11,639","11,133","12,428","11,102","11,781","11,179","11,005","128,882"
"Brainerd","1350 W. 89th Street","CHICAGO","60620","1,140","1,042","1,436","1,512","1,296","1,367","1,550","1,523","1,666","1,696","1,370","1,059","16,657"
"Brighton Park","4314 S. Archer Avenue","CHICAGO","60632","7,416","6,102","8,493","8,430","7,183","8,457","8,793","8,493","8,449","10,208","9,505","7,562","99,091"
"Bucktown-Wicker Park","1701 N. Milwaukee Avenue","CHICAGO","60647","13,113","12,220","15,705","14,535","14,146","15,115","14,948","15,804","15,233","15,428","14,650","12,499","173,396"
"Budlong Woods","5630 N. Lincoln Avenue","CHICAGO","60659","12,841","10,823","13,647","13,244","11,637","14,817","15,273","15,410","12,609","13,648","13,791","12,531","160,271"
"Canaryville","642 W. 43rd Street","CHICAGO","60609","2,665","2,419","3,466","2,908","2,608","2,849","3,078","3,189","3,124","3,383","3,115","2,877","35,681"
"Chicago Bee","3647 S. State Street","CHICAGO","60609","1,175","1,054","1,397","1,310","1,197","1,252","1,279","1,451","1,511","1,647","1,503","1,353","16,129"
"Chicago Lawn","6120 S. Kedzie Avenue ","CHICAGO","60629","4,578","3,623","5,756","5,470","4,397","5,148","5,674","5,760","6,538","7,463","6,229","5,303","65,939"
"Chinatown","2353 S. Wentworth Avenue","CHICAGO","60616","14,027","11,021","14,094","14,346","13,080","13,615","13,609","13,664","12,098","13,107","12,661","13,127","158,449"
"Clearing","6423 W. 63rd Place","CHICAGO","60638","6,718","5,460","7,109","6,218","5,844","6,709","7,385","6,692","6,343","6,928","6,960","5,577","77,943"
"Coleman","731 E. 63rd Street","CHICAGO","60637","2,306","2,001","2,646","2,747","2,784","2,846","2,827","3,339","3,383","3,723","2,862","2,516","33,980"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","6,995","6,201","8,667","8,371","7,894","8,414","8,754","8,968","9,035","9,232","8,542","8,229","99,302"
"Daley, Richard M.-W Humboldt","733 N. Kedzie Avenue","CHICAGO","60612","0","0","3","5","3","0","5,544","8,248","6,748","6,421","6,207","5,132","38,311"
"Douglass","3353 W. 13th Street","CHICAGO","60623","1,587","1,142","1,965","2,128","1,872","1,820","2,127","2,823","2,290","2,373","2,082","1,982","24,191"
"Dunning","7455 W. Cornelia Avenue","CHICAGO","60634","0","0","1","5","6,242","8,177","8,417","8,336","7,218","8,562","7,516","6,418","60,892"
"Edgebrook","5331 W. Devon Avenue","CHICAGO","60646","10,231","8,938","11,917","11,354","9,871","12,560","11,815","11,229","10,423","11,224","10,649","9,077","129,288"
"Edgewater","1210 W. Elmdale Avenue","CHICAGO","60660","11,573","9,666","13,273","13,317","12,808","7,011","1,515","1,617","1,604","1,543","1,420","1,583","76,930"
"Gage Park","2807 W. 55th Street","CHICAGO","60632","2,109","1,849","2,960","3,213","2,401","2,686","2,842","2,849","2,993","3,926","3,170","2,980","33,978"
"Galewood-Mont Clare","6871 W. Belden Avenue","CHICAGO","60707","519","546","758","760","572","847","1,073","1,188","807","823","781","544","9,218"
"Garfield Ridge","6348 S. Archer Avenue","CHICAGO","60638","6,138","5,229","7,473","6,397","5,925","9,112","8,990","6,944","7,060","7,959","7,172","6,082","84,481"
"Greater Grand Crossing","1000 East 73rd Street","CHICAGO","60619","0","3","190","971","2,463","3,660","3,503","4,432","3,642","4,142","3,665","3,251","29,922"
"Hall","4801 S. Michigan Avenue","CHICAGO","60615","2,416","1,914","2,720","2,644","2,693","3,134","3,373","2,953","2,894","2,944","2,836","2,875","33,396"
"Harold Washington Library Center","400 S. State Street","CHICAGO","60605","79,210","67,574","89,122","88,527","82,581","82,100","80,219","85,193","81,400","82,236","79,702","68,856","966,720"
"Hegewisch","3048 E. 130th Street","CHICAGO","60633","3,221","2,749","3,668","3,492","3,181","3,324","3,852","3,934","3,570","3,755","3,617","3,073","41,436"
"Humboldt Park","1605 N. Troy Street","CHICAGO","60647","6,251","5,736","7,798","8,184","7,509","7,502","7,019","7,120","6,609","7,424","6,943","6,730","84,825"
"Independence","3548 W. Irving Park Road","CHICAGO","60618","8,860","7,653","9,773","10,897","9,401","11,998","12,958","11,913","10,682","11,534","10,603","9,614","125,886"
"Jefferson Park","5363 W. Lawrence Avenue","CHICAGO","60630","8,819","8,308","10,663","11,099","9,422","10,735","10,591","11,447","10,447","11,033","10,757","9,755","123,076"
