"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Jeffery Manor","2401 E. 100th Street","CHICAGO","60617","1,223","1,115","1,757","1,811","1,429","1,531","1,437","1,702","1,554","1,684","1,613","1,463","18,319"
"Kelly","6151 S. Normal Boulevard","CHICAGO","60621","963","827","1,315","1,143","1,004","1,384","1,585","1,918","1,705","2,200","1,729","1,575","17,348"
"King","3436 S. King Drive","CHICAGO","60616","1,903","1,795","2,586","2,875","3,108","3,255","3,446","3,732","3,505","3,711","3,257","3,107","36,280"
"Legler","115 S. Pulaski Road","CHICAGO","60624","1,344","1,080","1,635","1,699","1,425","1,690","1,485","1,075","1,866","1,791","1,795","1,602","18,487"
"Lincoln Belmont","1659 W. Melrose Street","CHICAGO","60657","14,395","12,810","17,392","16,567","14,487","18,539","17,242","17,970","16,568","17,209","16,397","14,692","194,268"
"Lincoln Park","1150 W. Fullerton Avenue","CHICAGO","60614","11,018","9,450","12,384","12,234","11,213","13,035","13,260","12,480","11,702","11,917","11,478","10,706","140,877"
"Little Village","2311 S. Kedzie Avenue","CHICAGO","60623","0","0","0","0","0","0","0","2","0","15,910","14,632","11,732","42,276"
"Logan Square","3030 W. Fullerton Avenue","CHICAGO","60647","11,179","10,074","13,568","13,074","11,784","13,474","13,254","14,015","13,316","14,825","13,995","13,183","155,741"
"Lozano","1805 S. Loomis Street","CHICAGO","60608","5,076","4,761","6,317","6,354","5,622","6,251","6,204","7,287","6,854","7,698","6,589","6,029","75,042"
"Manning","6 S. Hoyne Avenue","CHICAGO","60612","3,308","3,087","3,771","3,914","3,401","3,864","4,079","3,991","3,887","3,993","3,798","3,608","44,701"
"Mayfair","4400 W. Lawrence Avenue","CHICAGO","60630","3,998","3,481","5,227","5,528","4,723","6,321","6,965","6,688","5,764","6,146","5,564","5,613","66,018"
"McKinley Park","1915 W. 35th Street","CHICAGO","60609","7,396","6,460","8,744","8,587","7,632","8,859","8,415","9,425","8,833","9,537","9,165","8,328","101,381"
"Merlo","644 W. Belmont Avenue","CHICAGO","60657","9,547","8,804","10,948","9,937","9,314","11,206","11,556","11,287","11,042","11,746","11,158","10,615","127,160"
"Mount Greenwood","11010 S. Kedzie Avenue","CHICAGO","60655","7,363","5,868","8,418","7,284","6,552","8,778","9,325","7,682","6,964","7,326","7,148","5,981","88,689"
"Near North","310 W. Division Street","CHICAGO","60610","11,032","10,021","12,911","12,621","12,437","13,988","13,955","14,729","13,989","13,355","13,006","12,194","154,238"
"North Austin","5724 W. North Avenue","CHICAGO","60639","2,481","2,045","2,674","2,832","2,202","2,694","3,302","3,225","3,160","3,074","2,796","2,272","32,757"
"North Pulaski","4300 W. North Avenue","CHICAGO","60639","3,848","3,176","4,111","5,066","3,885","5,105","5,916","5,512","5,349","6,386","5,952","5,372","59,678"
"Northtown","6435 N. California Avenue","CHICAGO","60645","10,191","8,314","11,569","11,577","10,902","14,202","15,310","14,152","11,623","12,266","12,673","12,227","145,006"
"Oriole Park","7454 W. Balmoral Avenue","CHICAGO","60656","11,999","11,206","13,675","12,755","10,364","12,781","12,219","12,066","10,856","11,324","10,503","9,878","139,626"
"Portage-Cragin","5108 W. Belmont Avenue","CHICAGO","60641","9,185","7,634","9,760","10,163","7,995","9,735","10,617","11,203","10,188","11,418","10,718","9,517","118,133"
"Pullman","11001 S. Indiana Avenue","CHICAGO","60628","1,916","1,206","1,975","2,176","2,019","2,347","2,092","2,426","2,476","2,611","2,530","2,033","25,807"
"Roden","6083 N. Northwest Highway","CHICAGO","60631","6,336","5,830","7,513","6,978","6,180","8,519","8,985","7,592","6,628","7,113","6,999","6,082","84,755"
"Rogers Park","6907 N. Clark Street","CHICAGO","60626","10,537","9,683","13,812","13,745","13,368","18,314","20,367","19,773","18,419","18,972","17,255","16,597","190,842"
"Roosevelt","1101 W. Taylor Street","CHICAGO","60607","6,357","6,171","8,228","7,683","7,257","8,545","8,134","8,289","7,696","7,598","7,019","6,665","89,642"
"Scottsdale","4101 W. 79th Street","CHICAGO","60652","4,475","4,049","5,551","5,088","4,399","4,985","5,803","5,878","4,716","5,302","4,832","4,659","59,737"
"Sherman Park","5440 S. Racine Avenue","CHICAGO","60609","987","594","1,232","1,520","1,669","1,553","1,919","2,124","2,070","2,163","2,103","1,884","19,818"
"South Chicago","9055 S. Houston Avenue","CHICAGO","60617","3,791","2,879","4,479","4,207","4,226","5,118","4,327","5,228","5,013","5,448","4,933","4,519","54,168"
"South Shore","2505 E. 73rd Street","CHICAGO","60649","2,620","2,158","3,146","3,555","3,114","3,498","3,825","4,102","4,085","4,386","3,830","3,635","41,954"
"Sulzer Regional","4455 N. Lincoln Avenue","CHICAGO","60625","50,375","42,237","57,391","50,874","49,563","53,322","54,941","56,920","51,054","54,375","52,274","46,408","619,734"
"Thurgood Marshall","7506 S. Racine Avenue","CHICAGO","60620","2,998","2,377","3,355","3,439","2,635","3,229","3,359","3,640","3,709","4,321","3,246","3,227","39,535"
"Toman","2708 S. Pulaski Road","CHICAGO","60623","9,018","8,186","11,518","12,127","9,735","12,723","12,150","12,045","12,374","13,302","11,558","10,455","135,191"
"Uptown","929 W. Buena Avenue","CHICAGO","60613","7,374","6,813","8,818","9,142","8,497","10,014","10,888","10,424","9,764","10,001","8,865","8,741","109,341"
"Vodak-East Side","3710 E. 106th Street","CHICAGO","60617","5,965","5,399","6,620","6,206","5,419","6,820","4,920","6,388","6,590","6,711","5,998","4,980","72,016"
"Walker","11071 S. Hoyne Avenue","CHICAGO","60643","3,168","2,901","3,869","3,921","3,813","4,667","4,519","4,636","4,195","4,237","3,646","4,062","47,634"
"Water Works","163 E. Pearson Street","CHICAGO","60611","2,609","2,870","3,718","3,529","3,669","3,666","4,099","4,292","4,138","4,321","4,219","3,917","45,047"
"West Belmont","3104 N. Narragansett Avenue","CHICAGO","60634","8,889","8,470","11,577","11,686","9,020","10,337","11,273","10,405","9,659","11,313","11,445","9,835","123,909"
"West Chicago Avenue","4856 W. Chicago Avenue","CHICAGO","60651","1,277","934","1,961","2,131","2,091","2,068","1,884","2,170","2,147","2,207","1,612","1,609","22,091"
"West Englewood","1745 W. 63rd Street","CHICAGO","60636","1,522","1,422","1,878","1,975","1,724","1,819","1,815","2,193","2,401","2,578","2,097","1,834","23,258"
"West Lawn","4020 W. 63rd Street","CHICAGO","60629","7,606","6,076","8,552","8,896","7,313","8,150","5,703","7,723","8,201","10,621","8,101","7,980","94,922"
"West Pullman","830 W. 119th Street","CHICAGO","60643","3,312","2,713","3,495","3,550","3,010","2,968","3,844","3,811","3,209","3,923","3,162","3,147","40,144"
"West Town","1625 W. Chicago Avenue","CHICAGO","60622","9,030","7,727","10,450","10,607","10,139","10,410","10,601","11,311","11,084","10,657","10,797","9,275","122,088"
"Whitney M. Young, Jr.","7901 S. King Drive","CHICAGO","60619","2,588","2,033","3,099","3,087","3,005","2,911","3,123","3,644","3,547","3,848","3,324","3,190","37,399"
"Woodson Regional","9525 S. Halsted Street","CHICAGO","60628","10,564","8,874","10,948","9,299","9,025","10,020","10,366","10,892","10,901","13,272","11,421","9,474","125,056"
"Wrightwood-Ashburn","8530 S. Kedzie Avenue","CHICAGO","60652","3,062","2,780","3,334","3,279","3,036","3,801","4,600","3,953","3,536","4,093","3,583","3,200","42,257"
"Online Renewals",,,,"127,858","117,531","146,967","142,510","145,686","130,903","141,475","145,348","134,683","151,399","147,839","145,848","1,678,047"
"Talking Books",,,,"9,454","8,163","11,139","10,623","7,431","11,557","8,063","9,635","9,640","10,680","9,218","8,356","113,959"
"eBooks/Downloadable Media",,,,"13,841","11,974","14,228","14,158","15,176","15,154","15,687","16,896","17,866","19,689","20,171","23,337","198,177"
