"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2013","50,927","919,469"
"February","2013","48,984","968,453"
"March","2013","69,759","1,038,212"
"April","2013","114,109","1,152,321"
"May","2013","113,753","1,266,074"
"June","2013","135,646","1,401,720"
"July","2013","146,590","1,548,310"
"August","2013","117,172","1,665,482"
"September","2013","161,535","1,827,017"
"October","2013","182,595","2,009,612"
"November","2013","186,981","2,196,593"
"December","2013","178,934","2,375,527"
