"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Lincoln Belmont*","1659 W. Melrose Street","CHICAGO","60657","10,773","11,056","13,601","13,719","13,115","14,693","14,081","14,347","13,033","13,986","12,087","11,410","155,901"
"Lincoln Park ","1150 W. Fullerton Avenue","CHICAGO","60614","8,801","8,699","11,788","10,449","8,988","10,952","11,899","10,458","10,903","13,331","12,163","9,880","128,311"
"Little Village*","2311 S. Kedzie Avenue","CHICAGO","60623","9,995","9,634","11,795","11,939","10,509","13,456","15,002","11,575","11,936","14,540","12,153","10,933","143,467"
"Logan Square*","3030 W. Fullerton Avenue","CHICAGO","60647","10,741","10,905","13,153","13,631","12,503","13,711","14,946","13,460","12,842","13,688","12,053","11,724","153,357"
"Lozano","1805 S. Loomis Street","CHICAGO","60608","13,298","12,941","15,418","15,855","14,353","13,508","14,632","12,816","14,683","16,037","15,062","13,041","171,644"
"Manning*","6 S. Hoyne Avenue","CHICAGO","60612","6,582","6,309","7,027","8,712","7,661","10,081","10,260","8,897","8,666","10,580","8,960","9,727","103,462"
"Mayfair  ","4400 W. Lawrence Avenue","CHICAGO","60630","4,595","5,021","6,786","6,775","6,091","7,303","7,622","6,870","6,667","6,460","5,345","5,019","74,554"
"McKinley Park*","1915 W. 35th Street","CHICAGO","60609","7,215","6,612","9,334","9,345","8,575","10,665","12,244","10,595","9,649","10,367","8,524","7,883","111,008"
"Merlo","644 W. Belmont Avenue","CHICAGO","60657","8,019","7,184","9,734","9,133","8,901","9,359","9,884","9,417","9,317","12,140","9,129","8,166","110,383"
"Mount Greenwood*","11010 S. Kedzie Avenue","CHICAGO","60655","5,933","6,400","7,017","6,756","6,059","7,377","8,750","6,587","6,438","8,349","6,286","5,782","81,734"
"Near North*","310 W. Division Street","CHICAGO","60610","10,812","10,405","11,996","12,641","12,047","13,373","14,998","13,114","12,198","12,427","10,694","11,047","145,752"
"North Austin  ","5724 W. North Avenue","CHICAGO","60639","5,653","5,666","6,863","7,444","6,556","7,180","7,862","7,847","6,846","7,205","5,602","6,323","81,047"
"North Pulaski  ","4300 W. North Avenue","CHICAGO","60639","5,272","4,257","5,091","6,119","5,482","6,610","8,157","6,876","6,342","6,786","2,863","5,240","69,095"
"Northtown ","6435 N. California Avenue","CHICAGO","60645","9,781","8,625","11,147","12,271","11,084","13,179","14,884","13,247","13,393","13,832","11,431","10,522","143,396"
"Oriole Park*","7454 W. Balmoral Avenue","CHICAGO","60656","7,239","7,886","9,002","8,951","8,020","8,870","9,252","7,679","8,141","9,029","7,212","7,891","99,172"
"Portage-Cragin ","5108 W. Belmont Avenue","CHICAGO","60641","5,471","5,940","8,453","7,569","6,529","6,943","8,538","8,155","8,035","9,641","7,664","6,516","89,454"
"Pullman ","11001 S. Indiana Avenue","CHICAGO","60628","5,047","5,123","6,158","6,763","6,418","6,750","7,470","7,694","6,976","7,567","6,068","6,402","78,436"
"Roden","6083 N. Northwest Highway","CHICAGO","60631","4,438","4,410","7,788","5,363","4,699","5,394","4,084","3,482","5,135","10,091","5,903","4,451","65,238"
"Rogers Park ","6907 N. Clark Street","CHICAGO","60626","12,456","12,478","15,595","16,894","15,125","15,922","19,189","17,306","8,992","14,863","12,398","12,009","173,227"
"Roosevelt*","1101 W. Taylor Street","CHICAGO","60607","7,777","6,632","8,001","8,723","8,466","9,400","10,228","9,784","8,612","9,527","5,087","7,276","99,513"
"Scottsdale  ","4101 W. 79th Street","CHICAGO","60652","5,464","5,015","5,831","6,417","5,879","5,867","6,657","6,494","6,555","7,291","5,848","4,852","72,170"
"Sherman Park ","5440 S. Racine Avenue","CHICAGO","60609","4,466","4,146","5,847","6,058","5,617","6,171","7,395","7,320","6,491","6,798","5,828","4,612","70,749"
"South Chicago ","9055 S. Houston Avenue","CHICAGO","60617","6,793","5,970","6,398","6,301","7,409","8,453","10,155","9,985","9,864","11,336","9,081","7,613","99,358"
"South Shore  ","2505 E. 73rd Street","CHICAGO","60649","7,521","6,644","8,135","9,043","9,338","10,898","11,822","11,007","11,591","13,024","9,893","10,029","118,945"
"Sulzer Regional*","4455 N. Lincoln Avenue","CHICAGO","60625","32,412","31,285","45,341","44,731","40,801","44,242","49,552","44,396","38,121","39,383","38,207","37,471","485,942"
"Thurgood Marshall*","7506 S. Racine Avenue","CHICAGO","60620","7,925","8,430","10,634","11,540","9,496","11,519","15,060","13,042","9,477","12,901","10,607","11,244","131,875"
"Toman* ","2708 S. Pulaski Road","CHICAGO","60623","4,046","4,091","6,056","6,168","4,903","6,448","8,031","6,264","6,255","10,247","6,187","6,087","74,783"
"Uptown*","929 W. Buena Avenue","CHICAGO","60613","10,132","9,710","12,932","13,076","12,940","12,979","13,632","11,556","13,653","13,752","11,255","10,848","146,465"
"Vodak-East Side*","3710 E. 106th Street","CHICAGO","60617","6,052","6,280","7,685","7,371","6,763","7,165","8,114","7,326","8,412","8,981","7,774","6,894","88,817"
"Walker ","11071 S. Hoyne Avenue","CHICAGO","60643","4,011","4,103","4,949","4,949","4,380","5,202","5,584","4,940","5,100","7,178","5,909","4,699","61,004"
"West Belmont ","3104 N. Narragansett Avenue","CHICAGO","60634","6,981","7,285","11,331","9,782","8,472","10,067","11,251","9,826","9,706","12,893","9,940","7,869","115,403"
"West Chicago Avenue*","4856 W. Chicago Avenue","CHICAGO","60651","8,523","7,230","8,055","7,840","7,233","7,878","9,258","8,430","7,824","9,664","7,810","6,958","96,703"
"West Englewood*","1745 W. 63rd Street","CHICAGO","60636","8,425","7,031","9,142","9,953","9,460","9,817","13,149","12,120","10,489","12,599","10,202","10,578","122,965"
"West Lawn ","4020 W. 63rd Street","CHICAGO","60629","6,277","6,170","7,641","8,735","7,211","8,339","9,438","9,041","9,508","9,767","7,949","7,164","97,240"
"West Pullman*","830 W. 119th Street","CHICAGO","60643","5,669","5,546","6,379","7,239","6,436","7,294","8,411","7,739","8,221","9,364","7,901","6,608","86,807"
"West Town","1625 W. Chicago Avenue","CHICAGO","60622","10,342","10,354","11,720","11,503","10,708","10,735","12,989","11,267","12,158","12,811","11,126","11,061","136,774"
"Whitney M. Young, Jr. ","7901 S. King Drive","CHICAGO","60619","7,489","7,689","11,975","9,520","8,130","9,612","10,229","10,875","10,237","15,516","6,095","8,383","115,750"
"Woodson Regional","9525 S. Halsted Street","CHICAGO","60628","18,930","22,005","33,516","26,231","25,237","26,931","31,660","29,430","29,208","33,804","26,955","24,833","328,740"
"Wrightwood-Ashburn*","8530 S. Kedzie Avenue","CHICAGO","60652","4,779","4,556","5,808","6,189","6,702","6,959","8,456","6,976","7,120","7,643","10,638","5,918","81,744"
