"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park  ","5150 N. Kimball Avenue","CHICAGO","60625","7,946","8,268","10,024","9,166","9,185","9,515","10,298","9,742","4,341","0","0","0","78,485"
"Altgeld  ","13281 S. Corliss Avenue","CHICAGO","60827","4,196","4,108","4,520","4,665","4,172","4,746","5,037","6,170","6,185","6,944","6,318","4,997","62,058"
"Archer Heights*","5055 S. Archer Avenue","CHICAGO","60632","8,817","8,466","9,107","8,938","9,556","9,046","11,715","12,661","10,511","11,896","10,596","8,864","120,173"
"Austin ","5615 W. Race Avenue","CHICAGO","60644","7,210","7,797","8,602","8,383","7,891","7,739","9,702","10,971","9,649","9,644","8,004","7,500","103,092"
"Austin-Irving  ","6100 W. Irving Park Road","CHICAGO","60634","10,076","10,788","11,895","11,660","10,365","11,179","11,558","11,985","11,568","12,326","10,505","10,059","133,964"
"Avalon*","8148 S. Stony Island Avenue ","CHICAGO","60617","9,723","9,702","9,848","10,589","9,262","10,580","11,480","12,495","12,194","13,361","10,653","9,431","129,318"
"Beverly*","1962 W. 95th Street","CHICAGO","60643","7,605","8,228","9,315","8,560","7,946","9,676","9,975","9,975","9,212","10,175","8,427","7,177","106,271"
"Bezazian ","1226 W. Ainslie Street","CHICAGO","60640","13,400","13,368","16,213","14,499","15,607","15,653","17,866","17,875","15,162","17,015","15,409","13,011","185,078"
"Blackstone ","4904 S. Lake Park Avenue","CHICAGO","60615","11,691","12,135","13,566","11,936","11,521","13,942","14,495","14,465","14,315","15,362","12,447","14,006","159,881"
"Brainerd*","1350 W. 89th Street","CHICAGO","60620","3,946","4,393","4,382","4,303","4,423","4,775","4,839","6,075","5,132","6,919","5,412","4,766","59,365"
"Brighton Park ","4314 S. Archer Avenue","CHICAGO","60632","7,648","7,141","8,080","8,093","7,035","7,775","6,490","8,333","7,814","8,852","5,940","4,229","87,430"
"Bucktown-Wicker Park ","1701 N. Milwaukee Avenue","CHICAGO","60647","10,718","11,452","13,501","11,439","11,348","12,103","13,219","13,264","12,348","17,908","17,095","11,041","155,436"
"Budlong Woods*","5630 N. Lincoln Avenue","CHICAGO","60659","11,864","13,224","15,257","14,100","13,484","14,224","15,533","13,935","14,585","17,982","15,187","12,331","171,706"
"Canaryville ","642 W. 43rd Street","CHICAGO","60609","3,916","4,201","4,242","3,968","3,952","4,829","4,905","5,571","5,243","6,529","4,985","4,647","56,988"
"Chicago Bee*","3647 S. State Street","CHICAGO","60609","5,210","5,641","7,540","5,473","6,014","5,353","4,587","5,642","5,271","10,269","7,440","4,006","72,446"
"Chicago Lawn  ","6120 S. Kedzie Avenue ","CHICAGO","60629","6,892","6,685","7,743","7,369","7,383","8,649","9,105","9,007","8,052","9,055","8,149","7,177","95,266"
"Chinatown ","2353 S. Wentworth Avenue","CHICAGO","60616","16,882","19,180","23,265","21,333","21,470","22,244","20,851","22,154","21,728","25,657","22,504","18,107","255,375"
"Clearing*","6423 W. 63rd Place","CHICAGO","60638","7,766","8,799","10,308","9,347","8,712","8,753","8,195","8,129","8,552","10,168","7,828","6,722","103,279"
"Coleman*","731 E. 63rd Street","CHICAGO","60637","8,632","8,851","8,808","8,781","8,493","8,755","9,404","12,280","12,285","12,238","12,417","8,438","119,382"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","7,965","8,464","9,284","8,254","8,446","8,865","9,595","9,467","8,556","9,366","9,580","7,726","105,568"
"Daley, Richard M.-W Humboldt*","733 N. Kedzie Avenue","CHICAGO","60612","10,097","9,998","11,569","13,418","12,261","14,076","16,249","17,884","15,928","17,241","14,167","14,135","167,023"
"Douglass  ","3353 W. 13th Street","CHICAGO","60623","7,352","5,445","8,333","7,699","8,355","9,163","11,228","12,402","7,402","11,866","9,272","8,547","107,064"
"Dunning*","7455 W. Cornelia Avenue","CHICAGO","60634","7,053","9,537","12,453","11,098","12,888","13,527","12,851","11,715","12,035","13,316","10,462","9,126","136,061"
"Edgebrook ","5331 W. Devon Avenue","CHICAGO","60646","8,466","8,970","10,852","8,447","8,483","9,756","10,283","10,141","8,396","9,968","9,680","7,583","111,025"
"Edgewater  ","1210 W. Elmdale Avenue","CHICAGO","60660",,,,,,,,,,,,,
