"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2011","22,263","22,263"
"February","2011","19,657","41,920"
"March","2011","24,506","66,426"
"April","2011","23,998","90,424"
"May","2011","23,242","113,666"
"June","2011","26,044","139,710"
"July","2011","27,735","167,445"
"August","2011","33,934","201,379"
"September","2011","32,714","234,093"
"October","2011","34,760","268,853"
"November","2011","33,535","302,388"
"December","2011","31,842","334,230"
