"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park ","5150 N. Kimball Avenue","CHICAGO","60625","1,666","1,296","1,735","1,841","1,683","2,138","2,267","2,434","1,746","1,837","1,729","1,594","21,966"
"Altgeld ","13281 S. Corliss Avenue","CHICAGO","60827","3,036","1,895","2,286","2,647","2,509","2,928","1,970","1,345","2,822","3,713","3,460","3,171","31,782"
"Archer Heights ","5055 S. Archer Avenue","CHICAGO","60632","2,069","1,712","2,332","2,265","1,979","2,287","1,930","2,365","2,141","2,260","2,138","1,843","25,321"
"Austin ","5615 W. Race Avenue","CHICAGO","60644","2,879","2,141","2,796","2,897","2,704","3,055","2,515","3,080","2,842","2,995","2,752","2,551","33,207"
"Austin-Irving ","6100 W. Irving Park Road","CHICAGO","60634","2,442","2,801","4,403","4,503","3,728","2,554","2,397","2,647","2,464","2,552","2,425","2,177","35,093"
"Avalon","8148 S. Stony Island Avenue ","CHICAGO","60617","4,090","2,945","4,267","4,279","4,006","4,292","4,461","5,109","4,697","5,071","4,464","4,090","51,771"
"Back of the Yards","4650 S. Damen Avenue","CHICAGO","60609","2,217","1,647","2,304","2,426","2,135","1,524","2,117","1,732","0","0","0","0","16,102"
"Beverly","1962 W. 95th Street","CHICAGO","60643","2,595","2,063","2,941","2,887","2,752","2,833","2,967","3,416","3,072","3,206","2,985","2,717","34,434"
"Bezazian","1226 W. Ainslie Street","CHICAGO","60640","2,104","1,710","2,519","2,539","2,429","2,947","2,801","3,101","2,674","2,802","2,572","2,287","30,485"
"Blackstone","4904 S. Lake Park Avenue","CHICAGO","60615","2,623","1,972","2,788","2,859","2,670","3,169","2,755","3,366","2,839","3,123","2,986","2,647","33,797"
"Brainerd","1350 W. 89th Street","CHICAGO","60620","1,719","1,330","1,719","1,774","1,512","1,869","1,912","2,082","2,013","1,938","1,811","1,623","21,302"
"Brighton Park ","4314 S. Archer Avenue","CHICAGO","60632","2,756","1,562","2,811","3,020","2,399","2,743","3,094","2,991","2,391","2,917","2,857","2,544","32,085"
"Bucktown-Wicker Park","1701 N. Milwaukee Avenue","CHICAGO","60647","2,547","2,081","2,882","2,577","2,174","2,634","2,494","2,916","2,403","2,500","2,347","2,181","29,736"
"Budlong Woods","5630 N. Lincoln Avenue","CHICAGO","60659","2,793","2,202","2,920","2,527","2,501","2,462","2,424","3,140","2,530","2,664","2,630","2,550","31,343"
"Canaryville","642 W. 43rd Street","CHICAGO","60609","1,563","1,207","1,717","1,556","1,551","1,611","1,301","1,723","1,512","1,460","1,344","1,233","17,778"
"Chicago Bee","3647 S. State Street","CHICAGO","60609","2,003","1,564","2,020","1,931","1,990","1,794","1,765","2,114","2,193","2,208","2,211","2,187","23,980"
"Chicago Lawn","6120 S. Kedzie Avenue ","CHICAGO","60629","2,822","2,074","2,787","2,761","2,314","2,816","2,889","3,369","2,909","3,174","2,565","2,374","32,854"
"Chinatown ","2353 S. Wentworth Avenue","CHICAGO","60616","4,238","3,370","4,319","4,541","4,149","4,785","4,611","4,910","3,986","4,192","3,933","3,518","50,552"
"Clearing","6423 W. 63rd Place","CHICAGO","60638","1,658","1,247","1,733","1,579","1,484","1,767","1,835","2,021","1,756","1,840","1,758","1,723","20,401"
"Coleman","731 E. 63rd Street","CHICAGO","60637","3,136","2,327","3,099","3,484","3,126","3,154","3,344","3,842","3,155","3,386","3,165","2,750","37,968"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","2,663","1,999","2,803","2,811","2,499","2,808","2,676","3,101","2,667","2,862","2,583","2,368","31,840"
"Daley, Richard M.-W Humboldt","733 N. Kedzie Avenue","CHICAGO","60612","0","0","0","0","0","0","2,666","5,628","5,034","5,053","4,284","4,417","27,082"
"Douglass","3353 W. 13th Street","CHICAGO","60623","2,811","1,972","2,785","3,183","2,814","3,373","3,551","4,127","3,282","3,678","3,237","2,793","37,606"
"Dunning","7455 W. Cornelia Avenue","CHICAGO","60634","0","0","0","0","1,225","1,421","1,558","2,084","1,512","2,099","1,954","1,691","13,544"
"Edgebrook","5331 W. Devon Avenue","CHICAGO","60646","1,124","862","1,327","1,265","1,133","1,273","1,229","1,274","1,132","1,251","1,119","1,102","14,091"
"Edgewater ","1210 W. Elmdale Avenue","CHICAGO","60660","4,707","3,840","5,029","4,941","4,369","2,195","0","0","0","0","0","0","25,081"
"Gage Park","2807 W. 55th Street","CHICAGO","60632","1,871","1,289","1,734","2,245","1,759","2,119","2,167","2,098","1,941","2,284","1,818","1,567","22,892"
"Garfield Ridge","6348 S. Archer Avenue","CHICAGO","60638","1,407","1,128","1,657","1,564","1,444","1,721","1,665","1,745","1,828","1,907","1,746","1,522","19,334"
