"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Greater Grand Crossing","1000 East 73rd Street","CHICAGO","60619","0","0","0","245","990","1,839","2,418","2,846","2,372","2,756","2,740","2,722","18,928"
"Hall ","4801 S. Michigan Avenue","CHICAGO","60615","1,808","1,351","1,915","1,794","1,679","1,792","1,884","1,911","1,984","1,872","1,773","1,509","21,272"
"Harold Washington Library Center","400 S. State Street","CHICAGO","60605","34,659","28,151","37,084","35,499","34,603","36,856","35,414","39,305","34,805","36,290","33,258","31,293","417,217"
"Hegewisch","3048 E. 130th Street","CHICAGO","60633","955","828","991","917","740","891","1,048","1,123","926","1,017","873","702","11,011"
"Humboldt Park","1605 N. Troy Street","CHICAGO","60647","2,941","2,296","3,009","3,155","2,613","2,932","2,894","3,521","2,771","3,015","2,937","2,527","34,611"
"Independence ","3548 W. Irving Park Road","CHICAGO","60618","1,724","1,367","2,038","2,124","1,893","2,272","2,431","2,611","2,147","2,192","2,183","1,936","24,918"
"Jefferson Park","5363 W. Lawrence Avenue","CHICAGO","60630","1,575","1,339","1,815","1,851","1,614","2,018","2,080","2,388","1,890","1,674","1,658","1,589","21,491"
"Jeffery Manor ","2401 E. 100th Street","CHICAGO","60617","2,277","1,721","2,262","2,083","1,812","2,082","1,703","2,177","1,949","2,102","2,135","1,852","24,155"
"Kelly ","6151 S. Normal Boulevard","CHICAGO","60621","1,931","481","0","0","342","2,134","1,993","2,301","2,084","2,010","1,755","1,496","16,527"
"King","3436 S. King Drive","CHICAGO","60616","2,493","1,935","2,767","2,809","2,628","2,879","2,689","3,146","3,125","3,087","3,017","2,630","33,205"
"Legler","115 S. Pulaski Road","CHICAGO","60624","3,487","2,486","3,318","3,480","3,023","3,749","3,099","2,136","3,676","3,795","3,375","3,345","38,969"
"Lincoln Belmont ","1659 W. Melrose Street","CHICAGO","60657","2,404","2,045","2,899","2,525","2,634","2,910","2,651","3,021","2,692","2,631","2,515","2,319","31,246"
"Lincoln Park","1150 W. Fullerton Avenue","CHICAGO","60614","2,812","2,447","3,084","2,796","2,739","2,944","2,580","2,772","2,729","2,771","2,751","2,490","32,915"
"Little Village","2311 S. Kedzie Avenue","CHICAGO","60623","0","0","0","0","0","0","0","0","0","3,776","4,579","4,425","12,780"
"Logan Square","3030 W. Fullerton Avenue","CHICAGO","60647","3,931","3,169","4,298","4,345","3,797","4,053","3,827","4,615","4,000","3,942","3,502","3,234","46,713"
"Lozano","1805 S. Loomis Street","CHICAGO","60608","3,994","3,015","4,264","4,606","4,301","4,481","4,133","5,050","4,185","4,683","4,285","4,055","51,052"
"Manning","6 S. Hoyne Avenue","CHICAGO","60612","2,816","2,004","2,755","2,960","2,822","3,116","2,916","3,423","2,553","2,850","2,740","2,599","33,554"
"Mayfair ","4400 W. Lawrence Avenue","CHICAGO","60630","1,965","1,347","1,733","1,856","1,319","1,825","2,027","2,340","1,622","1,560","1,488","1,346","20,428"
"McKinley Park","1915 W. 35th Street","CHICAGO","60609","1,859","2,145","2,487","2,552","2,228","2,483","2,555","2,726","2,461","2,791","2,591","2,248","29,126"
"Merlo","644 W. Belmont Avenue","CHICAGO","60657","2,188","1,894","2,320","2,301","2,277","2,263","2,087","2,317","1,998","2,064","2,011","1,924","25,644"
"Mount Greenwood","11010 S. Kedzie Avenue","CHICAGO","60655","1,207","973","1,400","1,248","1,259","1,226","1,166","1,405","1,260","1,353","1,074","930","14,501"
"Near North","310 W. Division Street","CHICAGO","60610","2,553","1,963","2,556","2,576","2,365","2,584","2,562","2,878","2,613","2,446","2,457","2,291","29,844"
"North Austin","5724 W. North Avenue","CHICAGO","60639","2,402","1,953","2,332","2,233","1,906","2,407","2,618","2,918","2,573","2,740","2,449","2,315","28,846"
"North Pulaski","4300 W. North Avenue","CHICAGO","60639","1,679","1,199","1,498","1,733","1,480","1,703","1,656","1,977","1,740","1,853","1,612","1,313","19,443"
"Northtown","6435 N. California Avenue","CHICAGO","60645","2,277","1,819","2,547","2,747","2,390","2,789","3,274","3,401","2,516","2,698","2,435","2,213","31,106"
"Oriole Park","7454 W. Balmoral Avenue","CHICAGO","60656","1,609","1,324","1,736","1,665","1,460","1,555","1,361","1,686","1,433","1,325","1,264","1,303","17,721"
"Portage-Cragin","5108 W. Belmont Avenue","CHICAGO","60641","2,111","1,562","1,910","2,037","1,827","2,100","2,050","2,210","2,145","2,329","2,142","1,850","24,273"
"Pullman","11001 S. Indiana Avenue","CHICAGO","60628","1,897","1,339","1,810","1,854","1,617","1,894","1,923","2,093","2,025","2,160","2,036","1,635","22,283"
"Roden","6083 N. Northwest Highway","CHICAGO","60631","954","671","973","922","882","916","951","990","859","824","828","810","10,580"
"Rogers Park","6907 N. Clark Street","CHICAGO","60626","4,069","3,150","4,678","4,817","4,624","5,487","5,741","5,987","4,872","5,169","4,899","4,208","57,701"
"Roosevelt ","1101 W. Taylor Street","CHICAGO","60607","2,294","1,691","2,342","2,463","2,257","2,438","2,144","2,322","2,214","2,458","2,120","2,192","26,935"
"Scottsdale","4101 W. 79th Street","CHICAGO","60652","1,724","1,412","1,837","1,709","1,499","1,614","1,725","1,984","1,592","1,680","1,454","1,288","19,518"
"Sherman Park","5440 S. Racine Avenue","CHICAGO","60609","3,034","1,662","2,412","2,817","2,245","2,658","2,804","3,344","2,877","3,420","2,707","2,646","32,626"
"South Chicago","9055 S. Houston Avenue","CHICAGO","60617","3,253","2,530","3,109","3,190","2,846","3,200","2,745","3,315","3,180","3,181","3,118","2,932","36,599"
"South Shore","2505 E. 73rd Street","CHICAGO","60649","1,987","1,461","2,093","2,224","1,927","2,133","2,202","2,490","2,167","2,436","2,036","1,552","24,708"
"Sulzer Regional","4455 N. Lincoln Avenue","CHICAGO","60625","8,771","6,515","8,761","9,789","10,827","12,059","12,675","14,910","12,738","13,807","13,172","12,347","136,371"
"Thurgood Marshall","7506 S. Racine Avenue","CHICAGO","60620","4,220","3,045","3,898","4,354","3,367","4,263","4,058","4,596","4,122","4,816","4,308","4,430","49,477"
"Toman","2708 S. Pulaski Road","CHICAGO","60623","4,252","3,261","4,362","4,635","4,221","5,100","5,522","5,467","4,865","5,402","4,667","4,519","56,273"
"Uptown ","929 W. Buena Avenue","CHICAGO","60613","2,939","2,461","2,997","2,960","2,983","3,362","3,237","3,114","2,770","2,853","2,720","2,397","34,793"
"Vodak-East Side ","3710 E. 106th Street","CHICAGO","60617","3,504","2,578","3,321","3,173","3,188","3,404","2,184","3,201","3,313","3,563","3,617","3,183","38,229"
"Walker","11071 S. Hoyne Avenue","CHICAGO","60643","1,048","713","987","1,144","1,179","1,235","1,220","1,280","1,107","1,043","963","921","12,840"
"Water Works","163 E. Pearson Street","CHICAGO","60611","331","252","426","494","521","569","603","703","605","628","553","443","6,128"
"West Belmont","3104 N. Narragansett Avenue","CHICAGO","60634","2,146","1,590","2,312","2,175","1,987","2,100","2,127","2,205","1,979","2,177","2,097","1,893","24,788"
"West Chicago Avenue","4856 W. Chicago Avenue","CHICAGO","60651","2,526","1,664","2,246","2,475","2,245","2,481","2,343","2,823","2,590","2,784","2,391","2,389","28,957"
"West Englewood","1745 W. 63rd Street","CHICAGO","60636","2,888","2,127","2,941","3,080","2,629","2,880","2,825","3,087","3,197","3,301","2,987","3,138","35,080"
"West Lawn","4020 W. 63rd Street","CHICAGO","60629","1,483","1,129","1,652","1,636","1,498","1,608","1,136","1,820","1,657","1,793","1,501","1,277","18,190"
"West Pullman","830 W. 119th Street","CHICAGO","60643","3,074","2,277","2,973","3,158","2,783","2,834","3,009","3,346","2,926","2,943","2,686","2,509","34,518"
"West Town","1625 W. Chicago Avenue","CHICAGO","60622","3,800","2,943","3,877","4,446","3,726","3,924","4,149","4,647","3,956","4,209","3,954","3,258","46,889"
"Whitney M. Young, Jr.","7901 S. King Drive","CHICAGO","60619","3,897","2,931","4,010","3,914","3,577","3,463","3,352","4,276","3,740","4,160","3,726","3,553","44,599"
"Woodson Regional","9525 S. Halsted Street","CHICAGO","60628","9,672","7,238","9,852","8,663","9,906","11,600","12,657","15,049","14,890","15,305","14,244","12,771","141,847"
"Wrightwood-Ashburn","8530 S. Kedzie Avenue","CHICAGO","60652","1,388","1,025","1,462","1,477","1,428","1,590","1,584","1,680","1,416","1,591","1,385","1,279","17,305"
"YOUmedia","400 S. State Street","CHICAGO","60605","998","820","1,460","1,196","1,145","1,135","1,170","1,221","1,277","1,113","1,200","976","13,711"
