"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park","5150 N. Kimball Avenue","CHICAGO","60625","0","0","0","0","0","0","0","74","119","126","159","94","572"
"Altgeld","13281 S. Corliss Avenue","CHICAGO","60827","871","722","754","620","675","614","873","816","892","993","797","891","9,518"
"Archer Heights","5055 S. Archer Avenue","CHICAGO","60632","8,747","7,676","8,630","7,910","7,270","6,774","8,164","7,154","7,539","8,791","8,300","6,899","93,854"
"Austin","5615 W. Race Avenue","CHICAGO","60644","2,038","1,744","1,865","2,100","1,718","1,926","2,300","1,734","1,990","2,205","1,777","1,550","22,947"
"Austin-Irving","6100 W. Irving Park Road","CHICAGO","60634","12,945","11,684","13,635","12,639","11,645","11,793","14,335","12,022","11,679","12,298","12,604","9,664","146,943"
"Avalon","8148 S. Stony Island Avenue ","CHICAGO","60617","4,962","4,488","4,856","4,912","5,129","5,360","5,718","5,066","4,672","5,105","4,827","3,620","58,715"
"Back of the Yards","2111 W. 47th Street","CHICAGO","60609","0","0","0","0","0","0","0","588","5,207","5,660","5,077","4,169","20,701"
"Beverly","1962 W. 95th Street","CHICAGO","60643","6,771","6,004","7,191","6,921","6,127","7,436","8,502","7,246","6,306","6,951","6,531","5,056","81,042"
"Bezazian","1226 W. Ainslie Street","CHICAGO","60640","13,614","11,636","14,450","14,738","14,729","14,875","14,676","13,230","11,514","12,018","11,493","9,871","156,844"
"Blackstone","4904 S. Lake Park Avenue","CHICAGO","60615","10,873","9,516","11,640","11,046","11,059","11,303","12,408","11,680","10,291","10,851","10,723","8,352","129,742"
"Brainerd","1350 W. 89th Street","CHICAGO","60620","1,231","983","1,110","1,130","1,087","1,190","1,343","1,225","1,203","1,321","1,128","1,080","14,031"
"Brighton Park","4314 S. Archer Avenue","CHICAGO","60632","6,577","5,764","7,347","6,344","5,460","5,691","7,478","6,374","6,214","7,453","6,822","5,313","76,837"
"Bucktown-Wicker Park","1701 N. Milwaukee Avenue","CHICAGO","60647","13,786","11,999","13,805","12,653","10,881","12,226","12,772","12,213","11,530","11,786","10,884","9,205","143,740"
"Budlong Woods","5630 N. Lincoln Avenue","CHICAGO","60659","13,938","12,107","13,763","13,155","12,122","13,612","15,444","13,270","11,652","12,706","12,072","10,244","154,085"
"Canaryville","642 W. 43rd Street","CHICAGO","60609","3,157","2,592","3,013","2,771","2,697","3,166","3,199","2,775","2,749","3,192","2,520","2,227","34,058"
"Chicago Bee","3647 S. State Street","CHICAGO","60609","1,257","1,271","1,292","1,318","1,218","1,376","1,463","1,388","1,336","1,717","1,492","1,489","16,617"
"Chicago Lawn","6120 S. Kedzie Avenue ","CHICAGO","60629","5,246","4,141","5,221","4,795","4,433","4,994","6,171","5,105","5,578","6,730","5,817","4,610","62,841"
"Chinatown","2353 S. Wentworth Avenue","CHICAGO","60616","11,694","9,478","12,030","10,980","10,620","9,953","10,805","10,524","8,937","9,885","9,869","9,114","123,889"
"Clearing","6423 W. 63rd Place","CHICAGO","60638","5,465","4,777","5,783","5,093","4,443","4,788","5,280","4,904","4,962","4,858","4,764","3,533","58,650"
"Coleman","731 E. 63rd Street","CHICAGO","60637","3,940","3,031","3,373","3,351","3,410","3,380","3,665","3,514","3,514","4,129","3,550","3,242","42,099"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","7,969","6,333","7,567","7,245","6,959","7,910","8,573","8,094","6,854","7,542","7,113","5,907","88,066"
"Daley, Richard M.-W Humboldt","733 N. Kedzie Avenue","CHICAGO","60612","5,735","4,608","4,988","4,878","4,298","4,460","4,907","4,864","4,626","5,477","4,823","3,682","57,346"
"Douglass","3353 W. 13th Street","CHICAGO","60623","2,302","2,728","2,170","2,178","1,952","2,129","2,513","2,508","2,335","2,410","2,436","1,900","27,561"
"Dunning","7455 W. Cornelia Avenue","CHICAGO","60634","6,725","6,463","7,259","6,794","6,436","7,371","8,088","7,067","6,874","7,677","6,833","4,877","82,464"
"Edgebrook","5331 W. Devon Avenue","CHICAGO","60646","9,881","8,898","10,046","9,486","8,540","9,442","11,177","9,588","9,007","8,827","9,090","7,711","111,693"
"Edgewater","1210 W. Elmdale Avenue","CHICAGO","60660","1,300","1,186","1,362","1,304","328","8,509","23,446","21,375","17,177","18,619","16,799","13,948","125,353"
"Gage Park","2807 W. 55th Street","CHICAGO","60632","3,043","1,807","2,628","2,434","2,186","1,908","2,975","2,680","2,267","2,469","2,744","2,251","29,392"
"Galewood-Mont Clare","6871 W. Belden Avenue","CHICAGO","60707","764","662","1,070","2,917","874","830","1,225","1,022","787","971","892","745","12,759"
"Garfield Ridge","6348 S. Archer Avenue","CHICAGO","60638","6,566","5,842","6,761","6,690","5,762","6,380","7,216","5,965","5,974","6,946","6,225","4,792","75,119"
"Greater Grand Crossing","1000 East 73rd Street","CHICAGO","60619","3,053","2,490","2,764","3,208","2,708","2,866","3,391","3,026","3,216","3,019","2,867","2,351","34,959"
"Hall","4801 S. Michigan Avenue","CHICAGO","60615","2,348","2,018","2,209","2,337","2,148","2,397","2,349","2,338","2,269","2,485","2,329","1,727","26,954"
"Harold Washington Library Center","400 S. State Street","CHICAGO","60605","73,367","67,611","73,344","71,827","68,327","67,420","73,830","68,605","65,579","69,481","64,274","58,084","821,749"
"Hegewisch","3048 E. 130th Street","CHICAGO","60633","2,898","2,975","3,525","3,166","2,641","2,722","3,284","3,204","2,949","2,956","3,369","2,420","36,109"
"Humboldt Park","1605 N. Troy Street","CHICAGO","60647","25","3,220","6,407","6,385","5,484","6,083","7,826","6,784","6,542","7,355","6,347","5,491","67,949"
"Independence","3548 W. Irving Park Road","CHICAGO","60618","9,589","8,259","10,386","9,483","8,529","9,440","11,135","9,933","9,009","9,302","9,112","7,399","111,576"
