"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Jefferson Park","5363 W. Lawrence Avenue","CHICAGO","60630","8,568","7,634","9,058","8,266","7,751","8,598","9,745","8,621","8,173","9,586","8,486","6,783","101,269"
"Jeffery Manor","2401 E. 100th Street","CHICAGO","60617","1,426","1,236","1,333","1,248","1,241","1,222","1,446","1,475","1,331","1,331","1,150","904","15,343"
"Kelly","6151 S. Normal Boulevard","CHICAGO","60621","1,413","1,113","1,038","1,237","1,234","1,456","1,837","1,323","1,190","1,548","1,379","1,159","15,927"
"King","3436 S. King Drive","CHICAGO","60616","3,209","2,903","3,601","3,305","3,176","3,384","3,473","3,410","3,260","3,463","3,531","2,701","39,416"
"Legler","115 S. Pulaski Road","CHICAGO","60624","1,784","1,582","1,752","1,693","1,482","1,482","1,637","1,467","1,618","1,749","1,565","1,400","19,211"
"Lincoln Belmont","1659 W. Melrose Street","CHICAGO","60657","15,530","14,001","16,559","14,995","14,082","15,294","16,190","15,566","13,378","14,840","14,024","10,845","175,304"
"Lincoln Park","1150 W. Fullerton Avenue","CHICAGO","60614","10,849","9,890","11,036","10,703","9,646","10,631","11,133","10,378","9,293","10,253","9,938","7,925","121,675"
"Little Village","2311 S. Kedzie Avenue","CHICAGO","60623","10,344","9,170","10,438","9,690","8,211","7,998","9,187","7,822","8,218","8,954","8,852","6,432","105,316"
"Logan Square","3030 W. Fullerton Avenue","CHICAGO","60647","13,371","11,297","13,201","12,846","11,234","11,070","11,532","11,706","11,254","12,487","12,388","9,090","141,476"
"Lozano","1805 S. Loomis Street","CHICAGO","60608","6,057","5,744","7,227","6,574","5,764","6,003","7,075","6,110","5,828","6,687","6,232","5,255","74,556"
"Manning","6 S. Hoyne Avenue","CHICAGO","60612","3,158","2,765","2,722","2,726","2,465","2,405","2,885","2,678","2,789","3,286","2,679","2,383","32,941"
"Mayfair","4400 W. Lawrence Avenue","CHICAGO","60630","6,375","5,928","7,174","7,220","6,524","6,352","7,510","6,348","6,404","6,848","6,400","5,233","78,316"
"McKinley Park","1915 W. 35th Street","CHICAGO","60609","9,082","7,355","8,613","8,044","6,823","7,343","9,076","7,396","7,061","7,174","6,910","6,135","91,012"
"Merlo","644 W. Belmont Avenue","CHICAGO","60657","9,414","8,452","9,996","9,559","9,046","9,086","9,097","8,733","8,214","9,043","8,567","6,943","106,150"
"Mount Greenwood","11010 S. Kedzie Avenue","CHICAGO","60655","7,123","6,099","6,863","6,947","6,078","7,630","8,768","7,255","7,048","7,330","6,789","5,681","83,611"
"Near North","310 W. Division Street","CHICAGO","60610","12,495","10,739","12,253","11,625","11,120","11,743","12,770","12,041","10,700","11,195","10,644","9,344","136,669"
"North Austin","5724 W. North Avenue","CHICAGO","60639","2,079","1,871","2,051","2,108","1,757","2,173","2,488","2,252","2,277","2,461","2,131","1,894","25,542"
"North Pulaski","4300 W. North Avenue","CHICAGO","60639","5,113","4,508","5,293","4,805","3,812","4,559","5,048","4,905","4,426","4,674","4,264","3,925","55,332"
"Northtown","6435 N. California Avenue","CHICAGO","60645","11,411","10,371","11,090","11,166","11,555","11,294","13,323","11,468","10,788","12,196","11,103","9,741","135,506"
"Oriole Park","7454 W. Balmoral Avenue","CHICAGO","60656","9,767","8,332","9,083","8,839","8,091","8,321","9,455","8,549","8,166","8,356","8,270","6,598","101,827"
"Portage-Cragin","5108 W. Belmont Avenue","CHICAGO","60641","9,164","8,153","9,649","8,271","7,880","7,667","9,296","7,685","7,759","8,782","8,628","6,942","99,876"
"Pullman","11001 S. Indiana Avenue","CHICAGO","60628","1,844","1,816","1,743","1,990","1,721","1,666","2,231","2,418","1,946","2,206","1,980","1,850","23,411"
"Roden","6083 N. Northwest Highway","CHICAGO","60631","6,689","5,666","6,606","6,256","6,136","6,454","7,966","6,699","5,663","5,923","6,425","4,693","75,176"
"Rogers Park","6907 N. Clark Street","CHICAGO","60626","14,752","12,851","14,672","14,198","13,236","13,523","14,042","12,737","11,544","12,424","11,579","9,746","155,304"
"Roosevelt","1101 W. Taylor Street","CHICAGO","60607","6,622","6,407","7,179","6,348","6,102","6,819","7,191","6,696","6,285","7,145","6,485","5,303","78,582"
"Scottsdale","4101 W. 79th Street","CHICAGO","60652","3,889","3,737","3,837","3,612","3,577","3,826","4,633","4,020","3,593","4,329","3,790","3,016","45,859"
"Sherman Park","5440 S. Racine Avenue","CHICAGO","60609","1,929","1,684","1,522","1,477","1,349","1,573","1,773","1,590","1,495","1,455","1,220","956","18,023"
"South Chicago","9055 S. Houston Avenue","CHICAGO","60617","4,365","3,611","4,049","4,017","3,882","3,994","4,740","4,534","3,810","4,149","3,418","2,722","47,291"
"South Shore","2505 E. 73rd Street","CHICAGO","60649","4,400","3,712","4,104","3,927","1,082","88","2,755","3,754","3,766","4,093","3,922","3,484","39,087"
"Sulzer Regional","4455 N. Lincoln Avenue","CHICAGO","60625","49,314","44,494","50,849","48,329","45,079","47,316","51,022","46,388","44,131","46,814","45,697","37,465","556,898"
"Thurgood Marshall","7506 S. Racine Avenue","CHICAGO","60620","3,555","2,734","3,045","3,186","2,811","3,104","3,869","3,607","3,569","3,546","3,424","2,802","39,252"
"Toman","2708 S. Pulaski Road","CHICAGO","60623","10,498","8,703","9,515","8,198","7,702","8,416","9,675","7,913","8,248","9,394","9,484","7,351","105,097"
"Uptown","929 W. Buena Avenue","CHICAGO","60613","7,955","6,879","7,891","8,236","7,910","8,377","9,583","8,540","7,410","8,108","7,340","6,051","94,280"
"Vodak-East Side","3710 E. 106th Street","CHICAGO","60617","5,742","5,633","5,933","5,566","4,465","4,789","5,854","5,160","5,041","5,473","4,975","3,751","62,382"
"Walker","11071 S. Hoyne Avenue","CHICAGO","60643","3,820","2,865","3,466","3,189","3,057","3,840","3,578","2,990","3,237","3,285","3,057","2,514","38,898"
"Water Works","163 E. Pearson Street","CHICAGO","60611","3,654","3,269","3,825","3,909","3,531","3,958","3,854","3,637","3,666","3,893","3,279","2,833","43,308"
"West Belmont","3104 N. Narragansett Avenue","CHICAGO","60634","9,953","8,902","10,113","9,461","8,292","8,245","10,234","8,807","8,653","9,338","8,886","7,292","108,176"
"West Chicago Avenue","4856 W. Chicago Avenue","CHICAGO","60651","2,362","1,859","2,400","2,291","2,290","1,936","2,129","2,180","1,792","2,250","1,976","1,611","25,076"
"West Englewood","1745 W. 63rd Street","CHICAGO","60636","2,119","1,707","1,858","1,956","1,371","1,698","1,856","2,294","2,135","2,190","2,078","1,685","22,947"
"West Lawn","4020 W. 63rd Street","CHICAGO","60629","7,340","6,138","7,908","7,198","5,862","6,196","7,356","6,049","6,414","7,108","6,732","5,403","79,704"
"West Pullman","830 W. 119th Street","CHICAGO","60643","3,573","2,849","2,585","2,748","2,665","2,875","3,483","3,202","3,204","3,251","2,815","2,165","35,415"
"West Town","1625 W. Chicago Avenue","CHICAGO","60622","10,402","8,569","9,362","9,224","8,110","8,450","9,498","8,917","8,281","9,546","9,014","6,826","106,199"
"Whitney M. Young, Jr.","7901 S. King Drive","CHICAGO","60619","3,378","2,751","2,961","3,311","2,792","3,235","3,428","3,205","2,919","3,410","2,971","2,508","36,869"
"Woodson Regional","9525 S. Halsted Street","CHICAGO","60628","10,273","8,501","9,274","9,425","7,811","7,917","9,409","8,433","9,025","9,848","8,717","7,683","106,316"
"Wrightwood-Ashburn","8530 S. Kedzie Avenue","CHICAGO","60652","3,616","2,895","3,559","3,341","2,664","2,994","3,964","3,372","3,060","3,303","2,962","2,629","38,359"
"eBooks/Downloadable Media",,,,"37,183","33,467","37,772","35,651","36,746","37,706","41,277","41,874","39,702","40,947","39,736","42,608","464,669"
"Online Renewals",,,,"134,756","128,148","140,811","145,170","153,277","143,812","181,625","193,979","196,541","217,185","212,339","221,894","2,069,537"
"Talking Books",,,,"8,856","7,362","8,033","9,909","9,747","10,019","11,337","9,506","8,304","12,111","9,499","8,205","112,888"
