"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2012","33,089","367,319"
"February","2012","34,428","401,747"
"March","2012","38,230","439,977"
"April","2012","39,164","479,141"
"May","2012","39,272","518,413"
"June","2012","40,431","558,844"
"July","2012","46,069","604,913"
"August","2012","50,608","655,521"
"September","2012","49,951","705,472"
"October","2012","53,894","759,366"
"November","2012","55,583","814,949"
"December","2012","53,593","868,542"
