"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park","5150 N. Kimball Avenue","CHICAGO","60625","35","0","7","40","3","0","0","139","11,407","15,251","12,544","11,058","50,484"
"Altgeld","13281 S. Corliss Avenue","CHICAGO","60827","791","604","522","611","587","729","743","742","776","751","831","822","8,509"
"Archer Heights","5055 S. Archer Avenue","CHICAGO","60632","6,695","6,682","7,986","8,059","6,509","6,417","7,360","6,664","7,298","8,327","6,705","6,515","85,217"
"Austin","5615 W. Race Avenue","CHICAGO","60644","1,472","1,500","1,601","2,014","1,794","2,167","2,280","2,203","1,918","2,203","1,965","2,277","23,394"
"Austin-Irving","6100 W. Irving Park Road","CHICAGO","60634","10,144","9,554","11,474","11,294","10,182","11,213","12,229","11,093","10,969","11,502","9,968","9,034","128,656"
"Avalon","8148 S. Stony Island Avenue ","CHICAGO","60617","4,377","3,792","4,388","4,573","4,817","5,314","5,397","4,833","5,149","5,157","4,774","4,248","56,819"
"Back of the Yards","2111 W. 47th Street","CHICAGO","60609","3,935","3,675","4,319","4,544","4,047","4,813","6,459","4,775","4,430","4,735","4,294","3,751","53,777"
"Beverly","1962 W. 95th Street","CHICAGO","60643","5,558","5,070","6,277","6,222","5,228","6,032","6,808","5,660","5,284","5,799","4,969","4,853","67,760"
"Bezazian","1226 W. Ainslie Street","CHICAGO","60640","9,960","8,737","10,628","11,312","11,373","12,069","12,874","11,918","11,036","12,133","10,652","10,502","133,194"
"Blackstone","4904 S. Lake Park Avenue","CHICAGO","60615","7,975","7,738","10,162","10,083","9,475","10,510","11,359","10,331","9,538","9,305","8,549","7,971","112,996"
"Brainerd","1350 W. 89th Street","CHICAGO","60620","1,121","1,062","1,081","1,073","1,130","1,262","1,568","1,482","1,713","1,347","1,213","1,325","15,377"
"Brighton Park","4314 S. Archer Avenue","CHICAGO","60632","5,278","5,058","6,012","6,938","6,105","5,662","6,942","5,940","6,136","6,470","5,469","4,780","70,790"
"Bucktown-Wicker Park","1701 N. Milwaukee Avenue","CHICAGO","60647","9,275","9,014","10,776","10,815","9,922","11,046","12,088","11,281","10,769","11,402","9,881","9,458","125,727"
"Budlong Woods","5630 N. Lincoln Avenue","CHICAGO","60659","10,963","9,892","11,657","11,634","10,992","12,346","14,063","12,405","10,664","10,427","10,026","9,337","134,406"
"Canaryville","642 W. 43rd Street","CHICAGO","60609","2,437","2,047","2,456","2,224","2,056","2,487","2,690","2,342","2,849","2,689","2,394","2,002","28,673"
"Chicago Bee","3647 S. State Street","CHICAGO","60609","1,517","1,351","1,464","1,616","1,476","1,665","1,604","1,696","1,696","2,023","1,963","1,801","19,872"
"Chicago Lawn","6120 S. Kedzie Avenue ","CHICAGO","60629","4,405","4,142","4,261","5,465","4,214","4,665","5,626","4,961","4,290","4,627","3,682","4,269","54,607"
"Chinatown","2353 S. Wentworth Avenue","CHICAGO","60616","7,959","8,162","9,069","9,349","8,791","9,011","9,949","9,358","8,056","8,358","7,713","8,251","104,026"
"Clearing","6423 W. 63rd Place","CHICAGO","60638","3,698","3,492","4,475","4,111","3,635","4,544","4,565","4,374","4,225","4,888","4,171","3,876","50,054"
"Coleman","731 E. 63rd Street","CHICAGO","60637","2,966","2,820","2,972","3,318","3,331","3,176","3,738","3,658","3,476","3,793","3,605","3,354","40,207"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","5,851","5,785","7,164","7,838","7,378","7,779","7,810","7,504","6,902","7,145","6,716","6,392","84,264"
"Daley, Richard M.-W Humboldt","733 N. Kedzie Avenue","CHICAGO","60612","3,727","3,605","4,197","4,395","4,697","4,426","5,527","5,089","4,740","4,986","3,986","3,158","52,533"
"Douglass","3353 W. 13th Street","CHICAGO","60623","2,014","1,369","1,780","2,060","1,682","1,945","2,127","2,103","2,177","2,089","1,870","1,649","22,865"
"Dunning","7455 W. Cornelia Avenue","CHICAGO","60634","5,649","5,825","7,418","6,296","6,210","6,497","7,319","6,463","5,951","6,227","5,256","4,956","74,067"
"Edgebrook","5331 W. Devon Avenue","CHICAGO","60646","7,988","7,574","9,421","9,017","8,217","10,596","11,103","9,998","8,575","9,169","8,033","7,771","107,462"
"Edgewater","1210 W. Elmdale Avenue","CHICAGO","60660","14,797","13,192","16,391","16,809","16,562","17,292","18,344","16,861","16,949","16,706","15,380","15,132","194,415"
"Gage Park","2807 W. 55th Street","CHICAGO","60632","1,989","1,753","1,971","2,583","1,669","1,971","2,332","2,130","1,896","2,210","1,855","2,112","24,471"
"Galewood-Mont Clare","6871 W. Belden Avenue","CHICAGO","60707","677","692","852","960","242","857","1,203","1,054","1,268","1,285","872","886","10,848"
