"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Garfield Ridge","6348 S. Archer Avenue","CHICAGO","60638","5,109","5,119","6,231","6,515","5,560","6,620","6,737","5,632","5,722","6,655","5,333","4,553","69,786"
"Greater Grand Crossing","1000 East 73rd Street","CHICAGO","60619","2,400","2,468","2,625","2,845","2,640","2,943","3,184","2,458","3,170","3,086","2,834","2,485","33,138"
"Hall","4801 S. Michigan Avenue","CHICAGO","60615","1,837","1,674","1,919","2,182","1,975","2,464","2,620","1,845","2,047","2,140","2,178","2,093","24,974"
"Harold Washington Library Center","400 S. State Street","CHICAGO","60605","60,466","57,843","66,426","66,768","62,683","65,323","69,301","65,026","64,061","63,378","58,847","55,067","755,189"
"Hegewisch","3048 E. 130th Street","CHICAGO","60633","2,525","2,487","3,195","3,206","2,737","3,046","3,905","2,615","2,815","3,333","3,047","2,634","35,545"
"Humboldt Park","1605 N. Troy Street","CHICAGO","60647","5,861","5,279","6,274","6,112","5,964","6,408","7,074","7,189","6,304","6,753","6,891","6,033","76,142"
"Independence","3548 W. Irving Park Road","CHICAGO","60618","7,042","6,557","8,060","8,421","7,485","8,956","9,823","8,914","8,131","7,890","7,512","7,174","95,965"
"Jefferson Park","5363 W. Lawrence Avenue","CHICAGO","60630","6,842","7,263","8,713","8,212","8,245","9,414","9,943","9,187","8,493","8,875","7,077","7,375","99,639"
"Jeffery Manor","2401 E. 100th Street","CHICAGO","60617","1,019","859","1,127","1,292","1,088","1,184","1,534","1,351","1,257","1,297","1,379","1,034","14,421"
"Kelly","6151 S. Normal Boulevard","CHICAGO","60621","1,190","965","1,084","1,285","1,061","1,202","1,377","1,463","1,054","1,448","1,004","1,030","14,163"
"King","3436 S. King Drive","CHICAGO","60616","2,482","2,589","2,883","3,131","3,173","3,109","3,507","3,238","3,424","3,498","2,935","2,756","36,725"
"Legler","115 S. Pulaski Road","CHICAGO","60624","1,228","967","1,216","1,627","1,432","1,702","1,832","1,973","1,867","1,702","1,425","1,425","18,396"
"Lincoln Belmont","1659 W. Melrose Street","CHICAGO","60657","13,083","12,055","14,323","14,155","13,579","15,496","15,198","15,102","13,420","13,733","12,596","11,857","164,597"
"Lincoln Park","1150 W. Fullerton Avenue","CHICAGO","60614","8,658","7,436","9,695","9,720","8,880","10,795","11,486","10,292","9,078","9,754","9,106","8,481","113,381"
"Little Village","2311 S. Kedzie Avenue","CHICAGO","60623","7,115","6,608","7,960","8,330","6,675","7,455","8,923","7,067","7,210","8,118","7,177","6,885","89,523"
"Logan Square","3030 W. Fullerton Avenue","CHICAGO","60647","10,413","9,312","11,461","11,267","10,898","11,551","13,277","11,965","10,989","11,666","10,559","9,334","132,692"
"Lozano","1805 S. Loomis Street","CHICAGO","60608","5,727","5,254","6,454","6,770","5,635","5,724","6,048","5,235","5,381","5,865","5,063","4,931","68,087"
"Manning","6 S. Hoyne Avenue","CHICAGO","60612","2,191","2,046","2,654","2,740","2,828","2,977","3,148","3,172","3,275","3,470","2,642","2,691","33,834"
"Mayfair","4400 W. Lawrence Avenue","CHICAGO","60630","4,974","4,908","5,941","6,626","5,880","6,741","7,277","6,454","5,407","5,223","4,387","4,323","68,141"
"McKinley Park","1915 W. 35th Street","CHICAGO","60609","5,976","5,710","7,366","7,651","6,014","7,334","7,927","7,335","7,256","7,071","5,982","5,557","81,179"
"Merlo","644 W. Belmont Avenue","CHICAGO","60657","7,784","7,302","8,564","8,611","8,597","8,542","9,149","8,927","8,049","8,573","7,691","7,262","99,051"
"Mount Greenwood","11010 S. Kedzie Avenue","CHICAGO","60655","5,806","6,145","6,950","7,031","6,012","7,842","7,570","6,199","6,669","6,201","5,717","5,426","77,568"
"Near North","310 W. Division Street","CHICAGO","60610","9,254","8,701","10,128","10,304","9,409","10,505","11,478","11,152","9,698","10,098","9,207","9,007","118,941"
"North Austin","5724 W. North Avenue","CHICAGO","60639","2,003","1,818","1,881","2,054","1,840","2,022","2,167","2,142","2,143","2,346","1,801","1,829","24,046"
"North Pulaski","4300 W. North Avenue","CHICAGO","60639","3,508","3,546","3,872","5,179","3,979","4,371","4,829","4,182","3,922","4,162","2,093","3,277","46,920"
"Northtown","6435 N. California Avenue","CHICAGO","60645","9,663","7,811","9,490","10,294","9,615","10,717","11,470","10,787","10,178","10,454","9,187","9,120","118,786"
"Oriole Park","7454 W. Balmoral Avenue","CHICAGO","60656","7,071","6,801","8,644","8,710","7,607","8,592","8,877","7,769","7,834","7,689","6,729","6,935","93,258"
"Portage-Cragin","5108 W. Belmont Avenue","CHICAGO","60641","6,598","6,453","8,244","7,858","7,193","7,555","8,596","7,767","7,898","8,232","7,314","6,749","90,457"
"Pullman","11001 S. Indiana Avenue","CHICAGO","60628","1,722","1,549","1,733","1,937","1,702","1,770","2,267","1,897","1,829","2,192","1,634","1,541","21,773"
"Roden","6083 N. Northwest Highway","CHICAGO","60631","5,043","4,988","6,285","5,992","5,670","6,954","7,115","5,786","5,065","5,926","5,135","4,953","68,912"
"Rogers Park","6907 N. Clark Street","CHICAGO","60626","10,420","9,774","11,546","12,520","11,957","13,164","14,240","12,478","8,262","10,731","10,808","10,293","136,193"
"Roosevelt","1101 W. Taylor Street","CHICAGO","60607","5,722","5,229","6,487","6,328","5,982","6,606","6,920","6,440","6,049","5,648","5,378","4,925","71,714"
"Scottsdale","4101 W. 79th Street","CHICAGO","60652","3,360","3,460","3,917","4,037","3,472","3,685","4,270","3,719","4,474","4,941","3,847","3,516","46,698"
"Sherman Park","5440 S. Racine Avenue","CHICAGO","60609","674","656","1,003","1,261","1,119","1,356","1,394","1,389","1,206","1,155","1,017","805","13,035"
"South Chicago","9055 S. Houston Avenue","CHICAGO","60617","3,265","2,646","3,221","3,879","3,233","3,300","4,018","3,667","3,808","3,460","3,065","2,781","40,343"
"South Shore","2505 E. 73rd Street","CHICAGO","60649","3,208","2,552","3,770","4,088","4,313","4,399","4,965","4,712","4,168","4,153","3,473","3,624","47,425"
"Sulzer Regional","4455 N. Lincoln Avenue","CHICAGO","60625","39,313","36,663","44,573","42,385","40,709","44,758","46,766","42,998","39,963","39,551","38,722","34,266","490,667"
"Thurgood Marshall","7506 S. Racine Avenue","CHICAGO","60620","2,906","2,590","2,936","3,035","2,640","3,108","3,599","2,976","2,927","3,521","3,026","2,707","35,971"
"Toman","2708 S. Pulaski Road","CHICAGO","60623","7,251","6,599","7,482","7,939","6,321","7,446","8,572","7,132","6,702","7,710","7,172","6,273","86,599"
"Uptown","929 W. Buena Avenue","CHICAGO","60613","6,830","6,163","7,535","7,159","7,430","8,096","8,710","7,534","7,609","7,797","6,867","6,844","88,574"
"Vodak-East Side","3710 E. 106th Street","CHICAGO","60617","4,003","3,916","4,996","4,616","4,082","4,270","4,670","4,300","4,691","4,848","4,220","4,107","52,719"
"Walker","11071 S. Hoyne Avenue","CHICAGO","60643","2,326","2,343","2,417","2,597","2,264","2,761","3,448","2,897","2,532","2,639","2,072","2,280","30,576"
"Water Works","163 E. Pearson Street","CHICAGO","60611","2,906","2,629","3,335","3,443","3,442","3,697","3,603","3,753","3,353","3,207","2,736","2,783","38,887"
"West Belmont","3104 N. Narragansett Avenue","CHICAGO","60634","6,985","6,560","7,791","8,262","7,125","9,003","9,534","7,837","7,766","9,030","7,513","6,584","93,990"
"West Chicago Avenue","4856 W. Chicago Avenue","CHICAGO","60651","1,424","1,268","1,613","1,980","1,516","1,789","2,208","2,079","1,824","1,971","1,631","1,326","20,629"
"West Englewood","1745 W. 63rd Street","CHICAGO","60636","1,667","1,514","1,776","1,852","1,733","1,611","2,180","1,924","1,982","2,480","1,767","1,728","22,214"
"West Lawn","4020 W. 63rd Street","CHICAGO","60629","5,171","5,065","6,107","6,924","5,037","5,968","7,059","6,189","6,385","6,952","5,996","5,300","72,153"
"West Pullman","830 W. 119th Street","CHICAGO","60643","2,318","1,994","2,507","2,488","2,643","2,867","2,932","2,452","2,509","3,004","2,302","2,391","30,407"
"West Town","1625 W. Chicago Avenue","CHICAGO","60622","7,300","6,797","8,480","7,926","7,631","7,861","8,514","7,976","7,769","8,042","7,597","6,879","92,772"
"Whitney M. Young, Jr.","7901 S. King Drive","CHICAGO","60619","2,358","2,195","2,689","3,257","2,378","2,770","3,186","3,056","2,609","2,475","2,686","2,334","31,993"
"Woodson Regional","9525 S. Halsted Street","CHICAGO","60628","8,074","7,208","8,580","9,424","8,548","9,093","9,747","9,609","9,412","9,631","8,851","7,748","105,925"
"Wrightwood-Ashburn","8530 S. Kedzie Avenue","CHICAGO","60652","2,307","2,496","2,894","2,945","2,915","3,516","3,708","3,303","3,167","3,246","2,873","2,959","36,329"
"eBooks/Downloadable Media",,,,"47,023","41,299","46,942","54,642","55,598","57,774","61,783","63,758","61,432","62,406","66,028","71,276","689,961"
"Online Renewals",,,,"209,934","196,047","219,824","213,200","214,743","220,111","245,478","243,202","246,715","258,325","259,521","265,531","2,792,631"
"Talking Books",,,,"9,883","9,978","9,796","12,551","11,076","11,165","12,538","12,080","11,878","12,500","9,959","10,277","133,681"
