"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2019","320,100","320,100"
"February","2019","323,378","643,478"
"March","2019","364,293","1,007,771"
"April","2019","362,442","1,370,213"
"May","2019","353,028","1,723,241"
"June","2019","335,318","2,058,559"
"July","2019","380,454","2,439,013"
"August","2019","355,355","2,794,368"
"September","2019","324,903","3,119,271"
"October","2019","371,946","3,491,217"
"November","2019","328,263","3,819,480"
"December","2019","286,783","4,106,263"
