"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2016","311,588","311,588"
"February","2016","310,024","621,612"
"March","2016","345,530","967,142"
"April","2016","331,564","1,298,706"
"May","2016","308,416","1,607,122"
"June","2016","281,530","1,888,652"
"July","2016","347,354","2,236,006"
"August","2016","368,318","2,604,324"
"September","2016","332,612","2,936,936"
"October","2016","328,736","3,265,672"
"November","2016","321,219","3,586,891"
"December","2016","278,743","3,865,634"
