"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park ","5150 N. Kimball Avenue","CHICAGO","60625","1,531","1,638","1,746","1,738","1,673","1,812","2,162","2,122","1,001","0","0","0","15,423"
"Altgeld ","13281 S. Corliss Avenue","CHICAGO","60827","2,595","2,356","2,509","2,410","2,273","2,940","3,106","4,093","3,915","4,543","3,872","3,428","38,040"
"Archer Heights ","5055 S. Archer Avenue","CHICAGO","60632","1,784","1,731","1,684","1,777","1,813","1,866","2,048","2,316","2,268","2,491","2,394","2,092","24,264"
"Austin ","5615 W. Race Avenue","CHICAGO","60644","2,505","2,123","2,226","2,264","2,145","2,246","2,644","2,705","2,707","2,813","2,344","2,309","29,031"
"Austin-Irving ","6100 W. Irving Park Road","CHICAGO","60634","1,895","2,055","2,117","2,287","2,217","2,209","2,104","2,268","2,154","2,283","2,171","2,125","25,885"
"Avalon","8148 S. Stony Island Avenue ","CHICAGO","60617","3,833","3,675","3,732","3,820","3,618","3,925","4,489","5,162","4,765","5,156","4,400","3,904","50,479"
"Beverly","1962 W. 95th Street","CHICAGO","60643","2,394","2,387","2,882","2,506","2,479","2,749","2,525","3,164","3,023","3,298","2,858","2,506","32,771"
"Bezazian","1226 W. Ainslie Street","CHICAGO","60640","1,925","2,183","2,302","2,350","2,430","2,705","2,875","2,431","2,085","2,211","2,521","2,688","28,706"
"Blackstone","4904 S. Lake Park Avenue","CHICAGO","60615","2,298","2,340","2,548","2,355","2,574","2,739","2,926","2,962","2,968","3,309","2,906","2,775","32,700"
"Brainerd","1350 W. 89th Street","CHICAGO","60620","1,511","1,268","1,295","1,550","1,604","1,461","1,632","2,193","1,970","2,261","1,953","1,668","20,366"
"Brighton Park ","4314 S. Archer Avenue","CHICAGO","60632","2,295","2,225","2,288","2,318","2,087","2,268","1,955","2,577","2,251","2,238","1,537","1,299","25,338"
"Bucktown-Wicker Park","1701 N. Milwaukee Avenue","CHICAGO","60647","1,846","1,850","2,085","2,147","2,049","2,156","2,272","2,592","2,556","2,743","2,508","2,248","27,052"
"Budlong Woods","5630 N. Lincoln Avenue","CHICAGO","60659","2,033","2,180","2,545","2,543","2,357","2,300","2,437","2,896","2,572","2,671","2,556","2,154","29,244"
"Canaryville","642 W. 43rd Street","CHICAGO","60609","1,126","1,355","1,437","1,272","1,219","1,222","1,463","2,014","1,909","2,173","1,969","1,907","19,066"
"Chicago Bee","3647 S. State Street","CHICAGO","60609","1,818","1,551","1,625","1,658","1,592","1,498","1,393","1,873","1,868","2,195","1,947","1,614","20,632"
"Chicago Lawn","6120 S. Kedzie Avenue ","CHICAGO","60629","2,168","2,101","2,124","2,329","2,229","2,290","2,437","2,707","2,554","2,940","2,450","2,516","28,845"
"Chinatown ","2353 S. Wentworth Avenue","CHICAGO","60616","2,976","3,376","3,789","3,599","3,435","3,988","3,937","4,132","3,456","3,435","3,334","3,249","42,706"
"Clearing","6423 W. 63rd Place","CHICAGO","60638","1,568","1,714","1,694","1,604","1,751","1,667","1,700","1,826","1,778","1,850","1,456","1,292","19,900"
"Coleman","731 E. 63rd Street","CHICAGO","60637","2,724","2,604","2,793","2,982","2,889","2,509","2,881","3,597","3,283","3,926","3,660","3,383","37,231"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","1,970","2,148","2,187","2,129","2,221","2,099","2,287","2,519","2,183","2,439","5,791","2,147","30,120"
"Daley, Richard M.-W Humboldt","733 N. Kedzie Avenue","CHICAGO","60612","3,770","3,120","3,441","4,372","4,054","4,637","5,873","6,481","6,123","6,748","2,339","6,257","57,215"
"Douglass","3353 W. 13th Street","CHICAGO","60623","2,568","1,576","2,399","2,702","2,857","3,115","3,638","3,430","2,192","3,387","3,041","3,207","34,112"
"Dunning","7455 W. Cornelia Avenue","CHICAGO","60634","1,374","1,757","2,153","1,926","2,055","2,000","2,902","3,343","2,676","2,886","2,321","2,119","27,512"
"Edgebrook","5331 W. Devon Avenue","CHICAGO","60646","886","974","1,133","1,092","1,238","1,080","937","1,095","987","1,214","987","854","12,477"
"Gage Park","2807 W. 55th Street","CHICAGO","60632","1,421","1,452","1,535","1,361","1,252","1,579","1,659","2,109","1,728","1,820","1,452","1,610","18,978"
"Garfield Ridge","6348 S. Archer Avenue","CHICAGO","60638","1,358","1,317","1,322","1,324","1,495","1,535","1,557","1,680","1,631","1,682","1,587","1,203","17,691"
"Greater Grand Crossing","1000 East 73rd Street","CHICAGO","60619","2,327","2,065","2,307","2,360","2,236","2,697","3,094","3,765","3,368","3,727","3,233","2,860","34,039"
"Hall ","4801 S. Michigan Avenue","CHICAGO","60615","1,372","1,264","1,259","1,422","1,425","1,449","1,518","1,698","1,687","1,889","1,646","1,463","18,092"
"Harold Washington Library Center","400 S. State Street","CHICAGO","60605","32,231","30,958","32,833","33,996","33,032","33,400","35,459","37,572","34,360","38,195","33,527","32,245","407,808"
"Hegewisch","3048 E. 130th Street","CHICAGO","60633","647","811","792","796","760","858","824","851","651","823","742","745","9,300"
"Humboldt Park","1605 N. Troy Street","CHICAGO","60647","2,286","2,081","1,573","0","0","0","0","0","0","0","0","0","5,940"
"Independence ","3548 W. Irving Park Road","CHICAGO","60618","1,802","1,919","2,039","1,952","1,872","1,874","2,052","2,462","2,161","2,430","2,214","2,118","24,895"
"Jefferson Park","5363 W. Lawrence Avenue","CHICAGO","60630","1,333","1,496","1,566","1,624","1,527","1,675","1,797","2,037","1,751","1,642","1,196","1,077","18,721"
"Jeffery Manor ","2401 E. 100th Street","CHICAGO","60617","1,533","1,465","1,596","1,597","1,741","1,674","1,925","2,297","2,120","2,312","2,081","1,964","22,305"
"Kelly ","6151 S. Normal Boulevard","CHICAGO","60621","1,296","1,109","1,058","1,154","1,146","1,421","1,608","1,906","1,866","2,476","2,244","1,950","19,234"
"King","3436 S. King Drive","CHICAGO","60616","2,066","2,132","2,212","2,127","2,249","2,267","2,141","2,731","2,668","2,940","2,531","2,351","28,415"
"Legler","115 S. Pulaski Road","CHICAGO","60624","2,844","2,790","2,863","2,923","2,725","2,979","3,235","3,787","3,478","3,990","3,540","3,447","38,601"
"Lincoln Belmont ","1659 W. Melrose Street","CHICAGO","60657","1,937","2,160","2,341","2,243","2,232","2,223","2,222","2,553","2,227","2,542","2,408","2,313","27,401"
"Lincoln Park","1150 W. Fullerton Avenue","CHICAGO","60614","2,089","2,197","2,411","2,214","2,395","2,439","2,433","2,342","2,599","3,014","2,628","2,425","29,186"
"Little Village","2311 S. Kedzie Avenue","CHICAGO","60623","4,264","4,196","4,338","4,550","3,905","4,565","5,615","5,682","5,451","5,653","4,927","4,856","58,002"
"Logan Square","3030 W. Fullerton Avenue","CHICAGO","60647","2,951","3,025","3,244","3,409","3,295","3,161","3,878","4,467","4,017","4,480","3,757","3,315","42,999"
"Lozano","1805 S. Loomis Street","CHICAGO","60608","3,764","3,695","3,975","4,018","4,250","4,375","4,615","5,208","4,873","5,355","4,926","4,575","53,629"
"Manning","6 S. Hoyne Avenue","CHICAGO","60612","2,328","2,343","2,430","2,325","2,203","2,285","2,536","2,787","2,457","2,833","2,463","2,367","29,357"
"Mayfair ","4400 W. Lawrence Avenue","CHICAGO","60630","1,248","1,392","1,292","1,296","1,133","1,296","1,532","1,581","1,382","1,764","1,634","1,697","17,247"
"McKinley Park","1915 W. 35th Street","CHICAGO","60609","1,877","2,080","2,197","2,186","2,105","2,095","2,181","2,800","2,466","2,531","2,179","1,911","26,608"
"Merlo","644 W. Belmont Avenue","CHICAGO","60657","1,734","1,830","1,873","1,713","1,897","1,823","1,757","2,043","1,807","1,904","1,779","1,652","21,812"
"Mount Greenwood","11010 S. Kedzie Avenue","CHICAGO","60655","967","952","1,127","1,249","1,169","1,172","1,196","1,367","1,353","1,566","1,238","1,167","14,523"
"Near North","310 W. Division Street","CHICAGO","60610","2,131","2,161","2,332","2,316","2,278","2,385","2,540","2,603","2,513","2,833","2,369","2,343","28,804"
"North Austin","5724 W. North Avenue","CHICAGO","60639","1,778","1,748","1,687","1,825","1,753","1,863","2,275","2,204","1,921","2,248","1,949","2,183","23,434"
"North Pulaski","4300 W. North Avenue","CHICAGO","60639","1,202","1,188","1,282","1,533","1,338","1,639","1,799","1,805","1,479","1,709","1,449","1,762","18,185"
"Northtown","6435 N. California Avenue","CHICAGO","60645","1,946","2,093","2,513","2,543","2,346","2,751","3,252","3,067","2,530","2,557","2,584","2,659","30,841"
"Oriole Park","7454 W. Balmoral Avenue","CHICAGO","60656","1,115","1,339","1,498","1,339","1,243","998","1,025","1,185","1,186","1,326","1,277","1,057","14,588"
"Portage-Cragin","5108 W. Belmont Avenue","CHICAGO","60641","1,599","1,686","1,704","1,754","1,621","1,684","1,879","1,863","1,718","1,779","1,308","1,124","19,719"
"Pullman","11001 S. Indiana Avenue","CHICAGO","60628","1,612","1,564","1,680","1,643","1,938","1,603","2,104","2,070","1,804","2,140","2,159","2,107","22,424"
"Roden","6083 N. Northwest Highway","CHICAGO","60631","748","785","754","738","772","807","882","849","730","825","832","733","9,455"
"Rogers Park","6907 N. Clark Street","CHICAGO","60626","3,365","3,548","3,998","3,834","3,869","4,560","5,077","4,753","4,102","4,542","4,169","4,324","50,141"
"Roosevelt ","1101 W. Taylor Street","CHICAGO","60607","1,861","1,566","1,717","1,648","1,672","1,794","1,838","2,040","1,873","2,309","1,986","2,043","22,347"
"Scottsdale","4101 W. 79th Street","CHICAGO","60652","1,289","1,344","1,510","1,450","1,392","1,443","1,666","1,862","1,614","2,041","1,621","1,440","18,672"
"Sherman Park","5440 S. Racine Avenue","CHICAGO","60609","2,465","2,386","2,443","2,237","2,291","2,462","2,810","2,951","2,856","3,239","2,749","2,443","31,332"
"South Chicago","9055 S. Houston Avenue","CHICAGO","60617","2,649","2,521","2,617","2,715","2,586","2,724","3,034","3,388","3,220","3,392","2,916","2,661","34,423"
"South Shore","2505 E. 73rd Street","CHICAGO","60649","1,681","1,750","1,821","1,855","1,850","1,635","2,140","1,982","1,743","2,057","1,825","2,195","22,534"
"Sulzer Regional","4455 N. Lincoln Avenue","CHICAGO","60625","12,915","11,686","12,705","13,342","13,049","13,730","14,308","15,510","13,586","14,197","13,344","11,983","160,355"
"Thurgood Marshall","7506 S. Racine Avenue","CHICAGO","60620","3,815","3,705","3,726","4,453","3,643","3,818","4,173","4,991","4,731","5,475","4,823","4,741","52,094"
"Toman","2708 S. Pulaski Road","CHICAGO","60623","3,752","3,666","3,843","3,857","3,367","3,854","4,380","4,778","4,767","5,108","4,172","3,932","49,476"
"Uptown ","929 W. Buena Avenue","CHICAGO","60613","2,124","2,184","2,681","2,577","2,616","2,460","2,691","2,955","2,556","2,662","2,563","2,571","30,640"
"Vodak-East Side ","3710 E. 106th Street","CHICAGO","60617","2,832","2,565","2,550","2,827","2,752","2,816","3,005","3,398","3,389","3,600","3,291","2,808","35,833"
"Walker","11071 S. Hoyne Avenue","CHICAGO","60643","833","894","859","897","793","777","946","1,032","950","1,104","927","729","10,741"
"Water Works","163 E. Pearson Street","CHICAGO","60611","389","357","511","556","506","504","549","637","526","592","487","394","6,008"
"West Belmont","3104 N. Narragansett Avenue","CHICAGO","60634","1,684","1,674","1,694","1,557","1,783","1,688","1,765","1,953","1,811","1,858","1,780","1,705","20,952"
"West Chicago Avenue","4856 W. Chicago Avenue","CHICAGO","60651","2,308","2,006","1,996","2,123","2,124","2,097","2,421","3,024","2,967","3,124","2,752","2,847","29,789"
"West Englewood","1745 W. 63rd Street","CHICAGO","60636","2,977","2,629","2,792","3,116","3,146","3,396","3,626","4,227","3,799","4,371","3,392","3,522","40,993"
"West Lawn","4020 W. 63rd Street","CHICAGO","60629","1,350","1,367","1,432","1,577","1,208","1,240","1,523","1,622","1,369","1,621","1,437","1,343","17,089"
"West Pullman","830 W. 119th Street","CHICAGO","60643","2,047","2,088","1,893","2,392","2,404","2,252","2,535","3,164","3,118","3,548","3,037","2,726","31,204"
"West Town","1625 W. Chicago Avenue","CHICAGO","60622","2,959","3,188","3,382","3,500","3,427","3,706","4,093","4,853","4,461","3,999","3,382","3,139","44,089"
"Whitney M. Young, Jr.","7901 S. King Drive","CHICAGO","60619","3,045","2,918","3,073","3,314","3,253","3,273","3,753","3,874","3,804","4,267","3,693","3,874","42,141"
"Woodson Regional","9525 S. Halsted Street","CHICAGO","60628","13,531","11,964","11,898","13,206","13,434","12,444","14,799","15,498","15,414","17,344","15,053","13,674","168,259"
"Wrightwood-Ashburn","8530 S. Kedzie Avenue","CHICAGO","60652","1,058","1,155","1,160","1,284","1,275","1,281","1,388","1,603","1,468","1,789","1,590","1,459","16,510"
"YOUmedia","400 S. State Street","CHICAGO","60605","1,064","1,140","897","764","663","830","884","1,260","1,219","1,546","1,490","1,243","13,000"
