"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2017","309,343","309,343"
"August","2017","335,362","2,513,257"
"September","2017","317,941","2,831,198"
"October","2017","329,251","3,160,449"
"November","2017","304,832","3,465,281"
"December","2017","267,183","3,732,464"
"February","2017","289,538","598,881"
"March","2017","324,300","923,181"
"April","2017","307,825","1,231,006"
"May","2017","309,472","1,540,478"
"June","2017","319,421","1,859,899"
"July","2017","317,996","2,177,895"
