"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park  ","5150 N. Kimball Avenue","CHICAGO","60625","0","0","0","0","0","0","0","74","105","117","89","36","421"
"Altgeld  ","13281 S. Corliss Avenue","CHICAGO","60827","5,741","4,014","5,301","5,668","5,176","5,142","5,276","6,104","5,219","5,228","5,277","4,906","63,052"
"Archer Heights*","5055 S. Archer Avenue","CHICAGO","60632","9,744","7,994","9,405","9,712","8,054","8,470","10,180","9,768","9,347","10,915","9,448","7,382","110,419"
"Austin ","5615 W. Race Avenue","CHICAGO","60644","6,977","5,146","7,208","8,120","7,495","8,600","9,219","7,883","8,052","7,920","7,429","5,713","89,762"
"Austin-Irving  ","6100 W. Irving Park Road","CHICAGO","60634","10,501","9,760","10,781","10,977","10,542","10,172","12,077","11,090","10,710","11,275","10,448","8,064","126,397"
"Avalon*","8148 S. Stony Island Avenue ","CHICAGO","60617","10,903","8,801","9,864","11,433","11,864","11,495","12,639","12,746","11,460","11,817","5,994","5,034","124,050"
"Back of the Yards","2111 W. 47th Street","CHICAGO","60609","0","0","0","0","0","0","0","0","6,273","6,984","5,860","4,642","23,759"
"Beverly*","1962 W. 95th Street","CHICAGO","60643","8,380","6,961","8,314","8,949","7,719","8,835","10,792","9,391","9,071","10,016","8,073","6,474","102,975"
"Bezazian ","1226 W. Ainslie Street","CHICAGO","60640","14,615","12,971","15,317","15,310","15,801","14,648","16,781","15,559","13,767","15,129","13,110","11,998","175,006"
"Blackstone ","4904 S. Lake Park Avenue","CHICAGO","60615","12,761","9,941","11,334","11,870","11,166","12,764","13,032","11,882","10,636","12,695","10,725","10,748","139,554"
"Brainerd*","1350 W. 89th Street","CHICAGO","60620","4,619","3,894","4,810","4,486","4,178","5,410","5,750","5,683","4,431","5,227","4,581","3,447","56,516"
"Brighton Park ","4314 S. Archer Avenue","CHICAGO","60632","6,671","5,422","6,994","6,762","5,907","6,709","8,506","7,868","7,088","8,443","6,682","5,520","82,572"
"Bucktown-Wicker Park ","1701 N. Milwaukee Avenue","CHICAGO","60647","12,243","10,423","11,827","12,031","10,395","11,446","12,809","12,121","10,794","11,509","10,784","9,588","135,970"
"Budlong Woods*","5630 N. Lincoln Avenue","CHICAGO","60659","14,030","12,823","14,232","15,835","14,540","15,241","17,212","14,970","13,069","15,732","14,051","11,654","173,389"
"Canaryville ","642 W. 43rd Street","CHICAGO","60609","4,662","3,829","4,542","4,783","4,431","5,290","5,259","4,758","4,424","4,724","4,002","3,723","54,427"
"Chicago Bee*","3647 S. State Street","CHICAGO","60609","4,846","4,262","4,271","4,674","5,146","4,418","4,668","4,704","5,848","6,040","4,837","4,217","57,931"
"Chicago Lawn  ","6120 S. Kedzie Avenue ","CHICAGO","60629","7,277","5,762","6,780","7,146","6,349","6,977","8,746","9,168","7,400","8,765","7,294","6,333","87,997"
"Chinatown ","2353 S. Wentworth Avenue","CHICAGO","60616","18,520","15,389","19,276","21,200","21,082","20,566","21,921","21,665","19,131","21,401","18,844","16,062","235,057"
"Clearing*","6423 W. 63rd Place","CHICAGO","60638","7,150","6,865","8,168","7,952","6,994","7,858","9,391","5,546","7,104","7,378","6,403","4,550","85,359"
"Coleman*","731 E. 63rd Street","CHICAGO","60637","8,786","7,336","8,423","8,262","8,148","8,363","9,597","11,614","9,480","11,592","8,998","8,350","108,949"
