"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","8,300","6,585","8,041","8,120","7,676","8,232","9,308","9,776","8,026","8,796","7,976","6,611","97,447"
"Daley, Richard M.-W Humboldt*","733 N. Kedzie Avenue","CHICAGO","60612","13,762","11,076","13,057","14,380","12,661","13,987","14,424","17,122","13,121","13,781","12,295","11,088","160,754"
"Douglass  ","3353 W. 13th Street","CHICAGO","60623","8,937","7,331","8,540","8,723","8,177","8,764","10,741","11,956","10,794","11,357","11,432","10,372","117,124"
"Dunning*","7455 W. Cornelia Avenue","CHICAGO","60634","10,272","9,304","9,803","12,252","13,511","14,474","12,151","12,761","14,654","16,565","11,395","10,531","147,673"
"Edgebrook ","5331 W. Devon Avenue","CHICAGO","60646","8,365","7,472","9,105","8,917","8,129","9,042","10,420","9,116","8,285","9,015","8,096","7,213","103,175"
"Edgewater  ","1210 W. Elmdale Avenue","CHICAGO","60660",,,,,,"8,865","23,548","21,361","18,809","20,979","17,529","14,484","125,575"
"Gage Park ","2807 W. 55th Street","CHICAGO","60632","4,186","4,038","4,459","4,735","4,422","4,534","5,465","5,214","4,412","4,864","4,881","4,129","55,339"
"Galewood-Mont Clare ","6871 W. Belden Avenue","CHICAGO","60707","610","480","626","704","605","909","1,266","885","623","643","710","506","8,567"
"Garfield Ridge*","6348 S. Archer Avenue","CHICAGO","60638","6,939","5,794","7,050","7,235","6,282","7,563","9,589","8,129","7,792","8,474","8,022","6,682","89,551"
"Greater Grand Crossing*","1000 East 73rd Street","CHICAGO","60619","6,344","6,442","7,018","7,563","7,295","4,624","4,070","5,028","7,434","8,197","3,583","2,962","70,560"
"Hall ","4801 S. Michigan Avenue","CHICAGO","60615","5,542","4,672","4,935","5,653","4,930","5,481","7,167","7,135","6,455","6,955","5,943","5,440","70,308"
"Harold Washington Library Center*","400 S. State Street","CHICAGO","60605","134,015","116,989","133,348","133,408","128,772","131,358","131,049","128,948","128,125","134,888","116,495","112,182","1,529,577"
"Hegewisch*","3048 E. 130th Street","CHICAGO","60633","4,617","4,387","4,732","4,855","4,498","4,484","5,357","5,032","5,464","5,463","5,059","3,852","57,800"
"Humboldt Park*","1605 N. Troy Street","CHICAGO","60647","0","2,807","5,941","6,371","5,980","7,038","8,660","8,595","7,720","8,791","7,870","6,974","76,747"
"Independence ","3548 W. Irving Park Road","CHICAGO","60618","7,467","6,365","7,367","7,408","6,147","4,583","7,024","6,603","5,022","7,520","6,501","5,021","77,028"
"Jefferson Park ","5363 W. Lawrence Avenue","CHICAGO","60630","8,659","7,783","10,982","9,304","10,207","8,979","10,932","10,258","8,868","9,003","8,206","6,482","109,663"
"Jeffery Manor*","2401 E. 100th Street","CHICAGO","60617","5,865","5,680","5,128","6,396","5,885","5,501","6,931","5,897","6,246","6,643","5,589","5,627","71,388"
"Kelly*","6151 S. Normal Boulevard","CHICAGO","60621","5,058","4,285","4,833","5,029","5,194","5,191","5,640","5,962","5,152","5,804","5,606","4,917","62,671"
"King","3436 S. King Drive","CHICAGO","60616","6,448","6,093","6,634","7,097","6,690","6,545","7,475","7,868","7,237","8,656","6,853","5,931","83,527"
"Legler ","115 S. Pulaski Road","CHICAGO","60624","7,443","5,000","8,718","7,926","7,659","8,095","6,477","10,247","10,606","10,824","9,768","7,080","99,843"
"Lincoln Belmont*","1659 W. Melrose Street","CHICAGO","60657","13,878","11,810","13,798","11,916","12,487","14,389","15,868","15,086","14,333","13,664","13,033","10,572","160,834"
"Lincoln Park ","1150 W. Fullerton Avenue","CHICAGO","60614","12,134","10,272","11,710","11,084","9,932","10,841","11,829","10,053","10,048","10,708","10,617","8,962","128,190"
"Little Village*","2311 S. Kedzie Avenue","CHICAGO","60623","12,235","11,226","12,611","13,109","11,902","12,972","15,084","14,043","12,751","15,173","13,578","10,386","155,070"
"Logan Square*","3030 W. Fullerton Avenue","CHICAGO","60647","13,998","11,576","13,306","13,635","11,867","12,596","13,916","14,651","13,209","14,689","13,168","10,885","157,496"
"Lozano","1805 S. Loomis Street","CHICAGO","60608","15,549","14,200","16,638","16,260","13,902","14,141","15,263","14,967","13,441","16,102","15,020","12,208","177,691"
"Manning*","6 S. Hoyne Avenue","CHICAGO","60612","8,451","8,112","8,768","8,704","7,844","7,693","8,955","8,677","7,554","8,338","7,739","7,359","98,194"
"Mayfair  ","4400 W. Lawrence Avenue","CHICAGO","60630","5,619","4,970","5,785","6,162","5,928","6,386","7,407","6,655","6,980","7,126","5,918","4,509","73,445"
"McKinley Park*","1915 W. 35th Street","CHICAGO","60609","9,529","8,593","10,011","9,648","8,052","8,827","10,101","9,920","9,363","10,033","8,962","7,352","110,391"
"Merlo","644 W. Belmont Avenue","CHICAGO","60657","8,937","7,771","9,356","8,915","8,892","9,408","9,705","9,207","8,135","8,990","8,616","7,696","105,628"
"Mount Greenwood*","11010 S. Kedzie Avenue","CHICAGO","60655","10,319","6,544","7,323","7,617","6,464","7,934","8,931","7,766","7,096","7,406","6,588","5,377","89,365"
"Near North*","310 W. Division Street","CHICAGO","60610","13,204","11,142","12,737","13,335","11,975","12,961","14,751","14,181","12,336","12,971","11,940","10,524","152,057"
"North Austin  ","5724 W. North Avenue","CHICAGO","60639","6,284","5,456","6,723","6,194","5,370","5,161","6,372","6,547","4,592","5,432","5,983","5,635","69,749"
"North Pulaski  ","4300 W. North Avenue","CHICAGO","60639","5,993","4,903","6,471","6,107","5,228","6,439","6,958","7,065","6,360","6,711","5,476","4,797","72,508"
"Northtown ","6435 N. California Avenue","CHICAGO","60645","11,718","10,251","11,603","12,499","11,321","12,868","15,525","15,034","12,638","13,773","12,471","10,160","149,861"
"Oriole Park*","7454 W. Balmoral Avenue","CHICAGO","60656","9,040","8,408","9,178","9,262","7,941","9,429","11,148","9,885","9,795","9,002","8,129","7,015","108,232"
"Portage-Cragin ","5108 W. Belmont Avenue","CHICAGO","60641","8,184","6,637","7,890","8,047","7,343","7,252","9,048","8,002","7,388","7,692","10,473","5,690","93,646"
"Pullman ","11001 S. Indiana Avenue","CHICAGO","60628","6,075","5,211","5,754","6,277","5,279","5,968","6,825","7,340","6,291","6,582","6,280","5,636","73,518"
"Roden","6083 N. Northwest Highway","CHICAGO","60631","9,142","7,964","9,025","9,543","9,016","8,053","7,329","6,449","4,473","4,464","5,230","4,584","85,272"
"Rogers Park ","6907 N. Clark Street","CHICAGO","60626","16,459","14,031","17,650","17,852","17,369","18,257","19,606","17,979","15,913","16,840","14,376","12,930","199,262"
"Roosevelt*","1101 W. Taylor Street","CHICAGO","60607","8,318","7,521","8,550","7,702","8,640","8,966","10,803","10,304","9,202","10,165","9,622","8,595","108,388"
"Scottsdale  ","4101 W. 79th Street","CHICAGO","60652","6,078","5,316","5,955","6,067","5,446","6,141","7,383","7,002","6,208","7,282","5,896","5,245","74,019"
"Sherman Park ","5440 S. Racine Avenue","CHICAGO","60609","5,813","4,809","5,222","6,006","5,701","6,825","9,306","8,836","6,593","7,022","6,225","5,034","77,392"
"South Chicago ","9055 S. Houston Avenue","CHICAGO","60617","9,167","7,665","8,099","8,456","9,350","9,259","10,267","11,355","7,978","10,008","8,324","6,984","106,912"
"South Shore  ","2505 E. 73rd Street","CHICAGO","60649","9,263","8,608","7,952","9,268","2,241","0","7,837","9,921","9,929","11,190","8,881","7,898","92,988"
"Sulzer Regional*","4455 N. Lincoln Avenue","CHICAGO","60625","63,019","36,257","41,434","65,942","39,031","43,028","44,397","47,126","40,861","43,408","39,478","34,567","538,548"
"Thurgood Marshall*","7506 S. Racine Avenue","CHICAGO","60620","11,559","8,831","10,633","10,032","8,133","9,846","12,269","13,258","9,336","11,428","9,063","8,704","123,092"
"Toman* ","2708 S. Pulaski Road","CHICAGO","60623","6,975","6,272","6,989","8,741","7,103","8,105","11,178","8,183","8,275","9,069","7,683","6,253","94,826"
"Uptown*","929 W. Buena Avenue","CHICAGO","60613","13,110","11,516","12,253","12,698","12,378","12,125","12,818","12,624","12,274","13,983","12,346","10,402","148,527"
"Vodak-East Side*","3710 E. 106th Street","CHICAGO","60617","7,697","7,351","7,646","7,264","6,544","7,221","8,402","8,415","8,279","9,305","8,122","6,798","93,044"
"Walker ","11071 S. Hoyne Avenue","CHICAGO","60643","6,537","4,497","4,750","5,140","4,942","4,887","5,389","5,378","5,088","5,556","4,644","4,451","61,259"
"West Belmont ","3104 N. Narragansett Avenue","CHICAGO","60634","9,057","7,764","9,119","9,802","8,091","8,822","10,678","10,029","9,997","10,880","9,257","7,336","110,832"
"West Chicago Avenue*","4856 W. Chicago Avenue","CHICAGO","60651","14,326","12,268","14,210","14,151","12,960","15,660","19,150","16,685","17,018","14,544","8,894","7,532","167,398"
"West Englewood*","1745 W. 63rd Street","CHICAGO","60636","10,675","9,285","12,250","11,894","10,457","10,722","12,314","14,407","14,336","15,770","12,899","10,205","145,214"
"West Lawn ","4020 W. 63rd Street","CHICAGO","60629","7,966","6,778","8,302","8,637","7,574","7,927","10,022","9,312","8,333","9,385","8,630","6,686","99,552"
"West Pullman*","830 W. 119th Street","CHICAGO","60643","7,780","6,400","6,797","7,603","6,599","7,355","8,616","8,105","7,825","8,354","6,501","5,222","87,157"
"West Town","1625 W. Chicago Avenue","CHICAGO","60622","12,420","10,496","11,180","12,834","10,958","10,873","12,835","12,644","11,209","13,048","11,674","11,242","141,413"
"Whitney M. Young, Jr. ","7901 S. King Drive","CHICAGO","60619","9,514","8,327","8,826","9,765","8,422","8,947","9,577","9,608","9,015","10,461","8,028","7,476","107,966"
"Woodson Regional","9525 S. Halsted Street","CHICAGO","60628","62,921","56,154","50,345","30,794","23,600","27,080","28,676","29,217","28,298","29,623","23,983","20,847","411,538"
"Wrightwood-Ashburn*","8530 S. Kedzie Avenue","CHICAGO","60652","7,136","5,725","6,235","6,300","5,298","6,108","7,973","7,187","6,252","7,097","5,781","4,889","75,981"
