"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2024","424,828","424,828"
"February","2024","335,470","760,298"
"March","2024","337,704","1,098,002"
"April","2024","322,057","1,420,059"
"May","2024","333,245","1,753,304"
"June","2024","328,502","2,081,806"
"July","2024","366,368","2,448,174"
"August","2024","374,819","2,822,993"
"September","2024","356,087","3,179,080"
"October","2024","415,308","3,594,388"
"November","2024","355,126","3,949,514"
"December","2024","315,210","4,264,724"
