"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2023","231,960","231,960"
"February","2023","230,281","462,241"
"March","2023","278,190","740,431"
"April","2023","277,818","1,018,249"
"May","2023","287,552","1,305,801"
"June","2023","300,387","1,606,188"
"July","2023","309,127","1,915,315"
"August","2023","332,129","2,247,444"
"September","2023","317,310","2,564,754"
"October","2023","327,296","2,892,050"
"November","2023","293,409","3,185,459"
"December","2023","327,382","3,512,841"
