"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2022","197,046","197,046"
"February","2022","186,135","383,181"
"March","2022","240,962","624,143"
"April","2022","237,482","861,625"
"May","2022","257,982","1,119,607"
"June","2022","288,739","1,408,346"
"July","2022","280,049","1,688,395"
"August","2022","274,805","1,963,200"
"September","2022","273,468","2,236,668"
"October","2022","273,157","2,509,825"
"November","2022","247,135","2,756,960"
"December","2022","220,745","2,977,705"
