"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2025","333,763","333,763"
"February","2025","306,503","640,266"
"March","2025","356,066","996,332"
"April","2025","363,694","1,360,026"
"May","2025","357,751","1,717,777"
"June","2025","362,284","2,080,061"
"July","2025","408,825","2,488,886"
"August","2025","386,543","2,875,429"
"September","2025","404,853","3,280,282"
"October","2025","419,107","3,699,389"
"November","2025","348,265","4,047,654"
"December","2025","339,437","4,387,091"
