"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2021","180,224","180,224"
"February","2021","158,555","338,779"
"March","2021","198,186","536,965"
"April","2021","199,752","736,717"
"May","2021","191,632","928,349"
"June","2021","213,307","1,141,656"
"July","2021","212,000","1,353,656"
"August","2021","212,685","1,566,341"
"September","2021","212,040","1,778,381"
"October","2021","232,064","2,010,445"
"November","2021","203,446","2,213,891"
"December","2021","190,995","2,404,886"
