"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2020","312,738","312,738"
"February","2020","297,907","610,645"
"March","2020","0","610,645"
"April","2020","0","610,645"
"May","2020","0","610,645"
"June","2020","144,247","754,892"
"July","2020","163,230","918,122"
"August","2020","181,098","1,099,220"
"September","2020","191,218","1,290,438"
"October","2020","124,475","1,414,913"
"November","2020","177,682","1,592,595"
"December","2020","174,043","1,766,638"
