"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","1,118","1,047","1,048","970","1,096","1,063","1,078","1,049","998","1,015","987","1,008","12,477","POINT (-87.714061005 41.975447006)"
"Altgeld","955 E. 131st St.","Chicago","60827","527","449","530","510","393","460","518","477","344","431","435","314","5,388","POINT (-87.5985899 41.657217043)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","805","701","856","207","182","729","777","758","713","741","689","622","7,780","POINT (-87.726678032 41.800891986)"
"Austin","5615 W. Race Ave.","Chicago","60644","698","754","858","877","872","917","1,024","1,298","1,090","1,118","1,042","990","11,538","POINT (-87.765813976 41.88902598)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","610","542","770","675","758","683","737","114","0","556","531","493","6,469","POINT (-87.779555017 41.953195986)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1,352","1,301","1,475","1,432","1,393","1,430","1,521","1,512","1,433","1,584","1,320","1,305","17,058","POINT (-87.586262965 41.746330993)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","414","446","640","604","606","544","531","686","436","538","456","352","6,253","POINT (-87.678143963 41.807980981)"
"Beverly","1962 W. 95th St.","Chicago","60643","832","897","1,038","943","990","913","1,002","940","941","870","833","697","10,896","POINT (-87.672148974 41.721352)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","1,240","1,119","1,457","1,388","1,436","1,324","1,360","1,305","1,212","1,120","1,068","1,000","15,029","POINT (-87.660752017 41.971581984)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","893","960","1,230","1,076","976","1,037","948","1,112","1,000","1,070","924","916","12,142","POINT (-87.590339001 41.805839991)"
"Brainerd","1350 W. 89th St.","Chicago","60620","409","348","424","429","400","554","652","635","496","456","434","299","5,536","POINT (-87.65773998 41.732529016)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","381","481","635","705","702","624","647","680","490","630","642","504","7,121","POINT (-87.703195041 41.815067)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","657","683","836","884","777","837","815","979","839","877","783","735","9,702","POINT (-87.680352008 41.912560017)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","957","894","1,236","1,081","943","1,186","1,311","1,043","1,013","1,010","889","874","12,437","POINT (-87.696332022 41.983373017)"
"Canaryville","642 W. 43rd St.","Chicago","60609","238","255","313","315","279","238","283","327","308","334","312","222","3,424","POINT (-87.642596982 41.81648899)"
"Chicago Bee","3647 S. State St.","Chicago","60609","643","622","662","631","607","620","586","621","504","530","462","404","6,892","POINT (-87.626229975 41.828173991)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","1,024","885","1,081","1,016","999","1,022","1,035","1,120","970","970","991","832","11,945","POINT (-87.703539034 41.78196699)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","1,613","1,559","2,027","1,803","1,863","2,061","2,125","1,830","1,779","1,770","1,714","1,685","21,829","POINT (-87.632128991 41.853762014)"
