"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","1,621","1,484","765","0","0","276","511","561","621","565","509","457","7,370","POINT (-87.713595 41.975693)"
"Altgeld","13281 S. Corliss Ave.","Chicago","60827","258","249","111","0","0","0","0","0","1","0","129","104","852","POINT (-87.602139 41.653968)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","1,479","1,275","760","0","0","244","457","527","587","597","483","501","6,910","POINT (-87.726723 41.801206)"
"Austin","5615 W. Race Ave.","Chicago","60644","1,999","1,912","1,073","0","0","307","760","873","748","722","623","714","9,731","POINT (-87.766942 41.889281)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","1,174","1,073","463","0","0","235","316","362","371","379","234","241","4,848","POINT (-87.779388 41.953025)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","2,848","2,373","1,397","0","0","513","905","955","974","1,019","935","981","12,900","POINT (-87.585869 41.746322)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","917","940","509","0","0","187","295","302","290","293","261","290","4,284","POINT (-87.677601 41.808523)"
"Beverly","1962 W. 95th St.","Chicago","60643","1,089","931","534","0","0","184","374","396","339","407","314","314","4,882","POINT (-87.672288 41.721148)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","2,138","1,818","1,051","0","0","448","839","938","896","951","742","501","10,322","POINT (-87.66074 41.971414)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","1,537","1,262","668","0","0","299","505","518","583","606","589","643","7,210","POINT (-87.590213 41.80762)"
"Brainerd","1350 W. 89th St.","Chicago","60620","814","637","328","0","0","110","252","323","294","344","262","295","3,659","POINT (-87.657726 41.732282)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","841","751","451","0","0","166","293","300","330","340","263","307","4,042","POINT (-87.703067 41.814848)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","968","893","586","0","0","261","423","394","369","556","346","471","5,267","POINT (-87.680298 41.912224)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","1,087","1,096","601","0","0","266","458","560","588","561","555","522","6,294","POINT (-87.696439 41.983843)"
"Canaryville","642 W. 43rd St.","Chicago","60609","440","405","197","0","0","0","0","0","0","0","0","0","1,042","POINT (-87.642569 41.81627)"
"Chicago Bee","3647 S. State St.","Chicago","60609","773","826","451","0","0","221","312","372","359","375","308","336","4,333","POINT (-87.626436 41.828152)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","1,045","1,186","713","0","0","201","484","617","528","524","521","521","6,340","POINT (-87.703231 41.781967)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","2,219","1,891","972","0","0","321","632","758","753","671","571","670","9,458","POINT (-87.631794 41.854267)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","610","543","349","0","0","207","344","334","308","332","269","317","3,613","POINT (-87.782282 41.7768)"
"Coleman","731 E. 63rd St.","Chicago","60637","2,289","1,927","1,204","0","0","392","805","971","870","1,127","678","743","11,006","POINT (-87.60684900000001 41.780405)"
"Daley, Richard J. -Bridgeport","3400 S. Halsted St.","Chicago","60608","1,029","899","532","0","0","297","451","523","463","498","437","514","5,643","POINT (-87.646149 41.8327)"
"Daley, Richard M. -W. Humboldt","733 N. Kedzie Ave.","Chicago","60612","2,851","2,362","1,383","0","0","453","804","864","832","1,005","841","788","12,183","POINT (-87.706545 41.89433)"
"Douglass","3353 W. 13th St.","Chicago","60623","1,635","1,556","741","0","0","241","379","440","458","554","459","467","6,930","POINT (-87.709792 41.864527)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","759","700","418","0","0","269","343","409","415","451","405","498","4,667","POINT (-87.813899 41.94331)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","669","657","368","0","0","217","319","286","317","327","149","243","3,552","POINT (-87.762043 41.997245)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","3,395","3,133","1,921","0","0","804","1,356","1,262","1,210","1,241","1,006","1,148","16,476","POINT (-87.660344 41.990916)"
"Gage Park","2807 W. 55th St.","Chicago","60632","429","403","261","0","0","0","0","0","0","0","0","0","1,093","POINT (-87.694138 41.793722)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79846800000001 41.921134)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","817","680","386","0","0","211","352","342","351","370","320","353","4,182","POINT (-87.780098 41.792854)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","1,467","1,054","638","0","0","209","444","476","488","476","404","463","6,119","POINT (-87.600377 41.762277)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","1,137","1,267","804","0","0","333","529","635","617","670","66","0","6,058","POINT (-87.622776 41.807273)"
"Harold Washington Library Center","400 S. State Street","Chicago","60605","17,282","15,455","9,918","0","0","3,235","5,139","5,834","5,621","5,928","5,007","4,784","78,203","POINT (-87.627695 41.876301)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","701","543","351","0","0","151","221","299","280","282","131","241","3,200","POINT (-87.548914 41.65915300000001)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","1,202","1,002","656","0","0","252","484","593","612","770","546","514","6,631","POINT (-87.705655 41.910536)"
"Independence","4024 N. Elston Ave.","Chicago","60618","1,189","1,097","547","0","0","294","480","533","590","641","430","459","6,260","POINT (-87.719889 41.954219)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","1,075","989","619","0","0","364","570","477","458","601","444","528","6,125","POINT (-87.761964 41.967648)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","1,092","934","543","0","0","209","305","441","488","477","284","373","5,146","POINT (-87.565489 41.713513)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","1,123","811","543","0","0","261","493","594","484","480","394","404","5,587","POINT (-87.637516 41.78199)"
