"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","479","436","637","596","567","655","813","1,043","950","885","922","855","8,838","POINT (-87.713595 41.975693)"
"Altgeld","955 E. 131st St.","Chicago","60827","151","114","250","305","400","680","747","970","818","681","862","741","6,719","POINT (-87.5989 41.657262)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","500","402","626","546","533","563","693","695","697","688","668","612","7,223","POINT (-87.726723 41.801206)"
"Austin","5615 W. Race Ave.","Chicago","60644","645","532","733","684","663","745","783","841","770","779","772","607","8,554","POINT (-87.766942 41.889281)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","325","318","453","379","447","516","512","541","477","515","424","516","5,423","POINT (-87.779388 41.953025)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","885","786","630","986","1,035","1,072","1,187","1,250","1,261","1,328","1303","1,159","12,882","POINT (-87.585869 41.746322)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","287","301","399","339","395","413","456","465","470","527","447","458","4,957","POINT (-87.677601 41.808523)"
"Beverly","1962 W. 95th St.","Chicago","60643","408","317","425","435","493","435","576","656","579","670","764","745","6,503","POINT (-87.672288 41.721148)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","14","131","628","658","737","778","940","1,047","1,047","1,002","1071","1,089","9,142","POINT (-87.660739 41.971414)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","554","461","624","651","722","715","934","966","893","854","828","761","8,963","POINT (-87.590212 41.807619)"
"Brainerd","1350 W. 89th St.","Chicago","60620","310","291","397","32","105","289","292","375","353","359","305","334","3,442","POINT (-87.657726 41.732282)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","354","288","455","413","327","382","429","476","65","0","353","468","4,010","POINT (-87.703067 41.814848)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","394","344","475","455","499","496","602","673","555","582","576","568","6,219","POINT (-87.680298 41.912224)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","565","461","738","681","652","611","683","766","687","790","762","756","8,152","POINT (-87.696439 41.983843)"
"Canaryville","642 W. 43rd St.","Chicago","60609","0","0","0","0","0","0","27","186","274","241","266","260","1,254","POINT (-87.642569 41.81627)"
"Chicago Bee","3647 S. State St.","Chicago","60609","331","306","373","386","421","362","356","443","484","505","450","481","4,898","POINT (-87.626436 41.828152)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","518","478","756","701","672","755","873","1,087","846","846","817","779","9,128","POINT (-87.703231 41.781967)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","578","577","746","775","853","918","1,107","1,275","1,260","1,175","1184","1,023","11,471","POINT (-87.631794 41.854267)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","288","263","334","337","360","372","412","503","388","457","449","412","4,575","POINT (-87.782282 41.7768)"
"Coleman","731 E. 63rd St.","Chicago","60637","770","686","947","936","949","948","933","1,022","983","1,115","1080","1,002","11,371","POINT (-87.606849 41.780405)"
"Daley, Richard J. -Bridgeport","3400 S. Halsted St.","Chicago","60608","535","471","535","539","579","547","600","141","0","0","0","0","3,947","POINT (-87.646149 41.8327)"
"Daley, Richard M. -W. Humboldt","733 N. Kedzie Ave.","Chicago","60612","727","731","917","784","887","911","965","1,039","987","999","855","949","10,751","POINT (-87.706545 41.894322)"
"Douglass","3353 W. 13th St.","Chicago","60623","417","343","547","497","456","585","601","685","693","781","829","776","7,210","POINT (-87.709767 41.864527)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","429","406","582","499","483","538","758","896","854","793","691","516","7,445","POINT (-87.813908 41.94331)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","242","166","282","308","292","313","270","321","262","258","261","293","3,268","POINT (-87.76204 41.997245)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","1,106","1,003","1,267","1,277","1,384","1,493","1,644","1,683","1,614","1,602","1712","1,544","17,329","POINT (-87.660306 41.990923)"
"Gage Park","2807 W. 55th St.","Chicago","60632","0","0","0","0","0","0","0","4","139","132","129","186","590","POINT (-87.694138 41.793722)"
