"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.798468 41.921134)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","377","293","479","472","437","405","437","434","427","439","493","513","5,206","POINT (-87.780075 41.79286)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","467","372","532","481","509","503","285","0","367","550","565","503","5,134","POINT (-87.600377 41.762277)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","0","105","389","493","492","512","564","607","675","673","596","456","5,562","POINT (-87.622776 41.807273)"
"Harold Washington Library Center","400 S. State Street","Chicago","60605","4,392","4,036","5,292","5,124","5,405","5,684","5,811","6,276","5,992","5,929","7388","7,983","69,312","POINT (-87.627695 41.876301)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","270","211","306","274","252","270","289","253","288","281","329","300","3,323","POINT (-87.548914 41.659153)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","459","379","487","553","556","626","753","840","658","590","703","629","7,233","POINT (-87.705655 41.910536)"
"Independence","4024 N. Elston Ave.","Chicago","60618","430","390","561","493","573","590","599","660","731","716","700","616","7,059","POINT (-87.719889 41.954219)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","501","444","625","655","647","664","686","816","720","752","854","815","8,179","POINT (-87.761964 41.967648)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","336","261","406","420","89","99","411","537","419","427","462","416","4,283","POINT (-87.565489 41.713513)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","399","273","470","408","418","451","538","574","564","544","583","562","5,784","POINT (-87.637516 41.78199)"
"King","3436 S. King Dr.","Chicago","60616","715","575","785","771","733","760","830","841","912","837","853","816","9,428","POINT (-87.617335 41.832238)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","318","330","526","437","586","578","703","772","971","949","929","752","7,851","POINT (-87.725593 41.879302)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","308","334","468","513","537","620","617","686","640","606","502","560","6,391","POINT (-87.670433 41.940599)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","454","396","554","495","593","529","626","644","630","639","782","673","7,015","POINT (-87.658126 41.925316)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","362","248","435","372","455","473","560","615","714","658","639","581","6,112","POINT (-87.660263 41.869359)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","504","431","606","535","527","557","629","661","587","722","680","596","7,035","POINT (-87.705179 41.849599)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","780","685","977","965","860","916","1,016","994","1,041","1,071","1066","1,112","11,483","POINT (-87.703483 41.924806)"
"Lozano","1805 S. Loomis St.","Chicago","60608","622","638","849","833","767","721","817","858","847","917","1061","1,007","9,937","POINT (-87.661298 41.857604)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","0","0","0","0","0","0","1","2","90","334","356","462","1,245","POINT (-87.679091 41.881026)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","205","181","333","306","303","277","331","419","330","346","417","331","3,779","POINT (-87.738155 41.968148)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","18","206","342","343","335","380","374","491","570","521","477","463","4,520","POINT (-87.673442 41.830421)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","512","455","574","673","685","778","863","855","853","888","875","855","8,866","POINT (-87.646055 41.940054)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","372","292","417","357","369","334","344","498","415","231","430","353","4,412","POINT (-87.700878 41.692925)"
"Near North","310 W. Division St.","Chicago","60610","340","302","435","462","538","632","770","807","851","876","827","837","7,677","POINT (-87.636643 41.903838)"
"North Austin","5724 W. North Ave.","Chicago","60639","457","310","508","464","444","436","475","566","531","524","513","464","5,692","POINT (-87.768877 41.909401)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","297","248","435","342","338","383","387","446","438","451","425","406","4,596","POINT (-87.733923 41.909856)"
"Northtown","6800 N. Western Ave.","Chicago","60645","1,024","814","1,195","1,136","1,258","1,353","1,433","1,430","1,348","1,368","1207","1,227","14,793","POINT (-87.690175 42.00536)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","452","398","510","477","497","480","468","487","416","510","664","553","5,912","POINT (-87.813329 41.978015)"
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","641","590","841","835","709","746","824","859","897","876","933","807","9,558","POINT (-87.754876 41.938748)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","311","370","472","495","517","555","570","556","602","662","714","618","6,442","POINT (-87.618295 41.694366)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","236","207","274","285","236","310","346","392","355","335","317","358","3,651","POINT (-87.798265 41.991862)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","459","498","794","725","747","876","1,292","1,389","1,316","1,388","1367","1,376","12,227","POINT (-87.67344 42.006673)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","318","336","423","393","451","439","508","541","467","549","554","516","5,495","POINT (-87.724291 41.749388)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","234","212","299","316","313","298","328","401","382","391","357","388","3,919","POINT (-87.65487 41.794843)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","170","375","611","558","648","679","818","904","985","720","945","798","8,211","POINT (-87.549849 41.730371)"
"South Shore","2505 E. 73rd St.","Chicago","60649","683","579","849","914","928","967","967","1,202","1,137","1,141","1240","1,006","11,613","POINT (-87.563672 41.762654)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","1,468","1,276","1,797","1,759","1,980","2,068","1,900","2,297","2,062","1,974","2254","2,103","22,938","POINT (-87.684637 41.962677)"
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","689","647","908","840","867","884","852","1,122","1,112","1,048","1031","989","10,989","POINT (-87.65393 41.757373)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","670","566","754","775","710","732","768","802","731","676","655","704","8,543","POINT (-87.724477 41.842073)"
"Uptown","929 W. Buena Ave.","Chicago","60613","581","479","604","578","668","866","912","1,054","1,164","1,230","1286","1,214","10,636","POINT (-87.654217 41.95846)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","423","370","559","515","506","530","564","674","590","692","581","659","6,663","POINT (-87.533513 41.70272)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","170","116","228","208","209","222","223","236","287","308","317","292","2,816","POINT (-87.67426 41.692473)"
"Water Works","163 E. Pearson Street","Chicago","60611","0","0","0","0","0","0","0","63","84","71","86","65","369","POINT (-87.623234 41.897609)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","345","294","396","385","375","405","418","543","528","526","589","423","5,227","POINT (-87.785858 41.936833)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","417","330","460","422","450","465","475","538","617","664","613","568","6,019","POINT (-87.747411 41.895019)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","391","345","515","434","467","492","520","612","624","581","625","392","5,998","POINT (-87.66821 41.779364)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","419","337","462","509","453","202","286","0","0","0","0","0","2,668","POINT (-87.723756 41.778629)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","123","116","190","215","208","197","874","322","233","205","239","257","3,179","POINT (-87.654421 41.883595)"
"West Pullman","830 W. 119th St.","Chicago","60643","755","594","841","761","738","816","496","971","943","913","897","795","9,520","POINT (-87.643327 41.677819)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","398","289","506","529","502","550","1,344","590","671","642","648","607","7,276","POINT (-87.668233 41.89606)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","934","789","1,141","1,145","1,199","1,160","2","1,545","1,360","1,451","1406","1,330","13,462","POINT (-87.61416 41.751132)"
"Woodson Regional Library","9525 S. Halsted St.","Chicago","60628","1,886","1,771","2,436","2,329","2,277","2,249","2,313","2,794","2,663","2,644","2679","2,525","28,566","POINT (-87.643122 41.720675)"
"Wrightwood-Ashburn","8530 S. Kedzie Ave.","Chicago","60652","365","0","358","425","477","436","438","434","462","501","529","517","4,942","POINT (-87.702091 41.738331)"
